,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,850.5553724423662,1104.4102045699456,930.5451962888241,58.93498542465061,1.161
1,A-n33-k5,661,697.1375314569061,831.6495276097703,770.2012164146983,30.130273487829726,1.1336666666666666
2,A-n33-k6,742,797.279610637499,1001.2571571508897,874.4984818022238,47.63868262272423,1.2086666666666663
3,A-n34-k5,778,814.8362630557474,975.8229167998317,904.7179190207987,41.960555893616565,1.1546666666666667
4,A-n36-k5,799,847.247690980523,1016.0469742875771,932.0103346252852,40.9669647231897,1.1866666666666668
5,A-n37-k5,669,702.8362609255234,998.0734682305671,800.6828127064704,54.43391209773228,1.1743333333333337
6,A-n37-k6,949,1014.9904648906568,1233.8782397396371,1106.7911879202522,49.924127824324245,1.301
7,A-n38-k5,730,787.5889411032288,1024.0614629598863,915.8550721930075,60.496323181618976,1.2570000000000001
8,A-n39-k5,822,925.654223026391,1138.0934380380968,999.4250090613317,55.95859495350724,1.2066666666666668
9,A-n39-k6,831,928.2160972936059,1112.02612755017,1004.6904121887769,46.151200944205655,1.268
10,A-n44-k6,937,1052.6395504169009,1309.140491780855,1159.2656782696654,71.01597369501289,1.3110000000000002
11,A-n45-k6,944,1061.5129494122539,1338.5663185336882,1152.9078470992094,64.8902674465779,1.415
12,A-n45-k7,1146,1257.388093092576,1419.8000619701436,1335.2381986469168,45.304732339507815,1.4093333333333335
13,A-n46-k7,914,1033.732162687244,1446.6771362435306,1120.9891435202298,86.19559246031059,1.4006666666666667
14,A-n48-k7,1073,1182.036470557187,1456.6159986362225,1298.3206347232672,55.42394488680498,1.4530000000000003
15,A-n53-k7,1010,1175.8960566217597,1475.1533419233635,1275.7284362060561,70.79944952531424,1.6326666666666665
16,A-n54-k7,1167,1341.3651401614736,1621.7782259351866,1455.3143843459402,72.7816004748144,1.5130000000000001
17,A-n55-k9,1073,1254.6828468394729,1548.6298484061765,1364.6285564547734,77.57133501443695,1.6629999999999998
18,A-n60-k9,1408,1557.219698315862,1786.0817153156397,1662.9632020894735,61.8807090060434,1.6476666666666662
19,A-n61-k9,1035,1198.7645682734526,1474.4466875250653,1334.369947790511,71.45326008159638,1.7596666666666667
20,A-n62-k8,1290,1544.4235136643888,1766.135149313266,1634.0706002537231,56.04394425709755,1.6219999999999999
21,A-n63-k10,1315,1551.958164376439,1903.58587973183,1656.7648962144383,80.25035752835996,1.783333333333333
22,A-n63-k9,1634,1881.2243461053267,2132.7792322358314,1977.6109188720882,55.806091069035055,1.7773333333333334
23,A-n64-k9,1402,1668.390212141055,2002.8282591010093,1757.1490929757274,74.13115685045531,1.725
24,A-n65-k9,1177,1365.1268092225441,1706.6635079608677,1543.6621452205704,80.15477265856046,1.7556666666666667
25,A-n69-k9,1168,1378.5597424764364,1701.2373032197297,1537.406191602106,63.50233420559064,1.7396666666666667
26,A-n80-k10,1764,2138.240641690072,2584.744397836451,2319.519951750849,103.75758727923952,1.8619999999999999
27,B-n31-k5,672,684.5899732618842,857.0525834405569,742.6703807602117,46.98403165306312,1.1640000000000004
28,B-n34-k5,788,822.102087514528,1048.713290777224,905.7127458371065,56.25810468322196,1.1893333333333331
29,B-n35-k5,955,1006.6209928502639,1224.8901820308583,1089.0378196618585,53.278669676776,1.1630000000000003
30,B-n38-k6,805,830.0073746807129,1032.3822902158192,900.7803208726908,52.60184662207541,1.301
31,B-n39-k5,549,597.0272216035853,825.7837644271117,676.0722438591499,63.55278210187314,1.2143333333333335
32,B-n41-k6,829,932.0322349486744,1265.1597028644746,1067.1468534246535,93.29905836225973,1.2980000000000005
33,B-n43-k6,742,780.4244887368533,961.096702560865,868.0998401780377,44.847593507535606,1.3140000000000003
34,B-n44-k7,909,1007.9681711473787,1217.7732322579243,1099.9394559834332,48.50408243769543,1.4133333333333336
35,B-n45-k5,751,811.342247689246,1133.8702456101896,922.4806940956606,78.42757789536093,1.3133333333333332
36,B-n45-k6,678,734.2184983469938,936.4009453705967,828.3756104144383,56.60806027620911,1.4200000000000002
37,B-n50-k7,741,786.5822344365927,1202.3031509541393,905.5609316520752,86.73428359649719,1.5396666666666665
38,B-n50-k8,1313,1381.768475249714,1610.1273243012172,1477.4888657714791,47.95939184868722,1.512
39,B-n51-k7,1032,1079.2390613794694,1631.2161771823733,1335.5992748966448,157.3530650799651,1.5543333333333333
40,B-n52-k7,747,818.2241559155733,1186.4291937155929,948.6978640156548,76.33864991209344,1.485666666666667
41,B-n56-k7,707,801.4354705210467,1153.7246205302783,910.3088559952864,86.23267178127807,1.4756666666666667
42,B-n57-k7,1153,1295.9597165813532,1782.3899398723418,1465.0073395527022,105.05415529733847,1.5783333333333334
43,B-n57-k9,1598,1709.8575679912637,1994.1482187866632,1838.003413044017,60.948763690815035,1.701
44,B-n63-k10,1537,1683.0114272855683,1992.2264361679383,1838.4241572859978,80.65022963735406,1.7703333333333333
45,B-n64-k9,861,964.3900413821143,1304.755008019127,1117.2602841842343,80.54240730003369,1.8299999999999998
46,B-n66-k9,1374,1516.5140667576557,1777.7221406913586,1664.4796862409191,73.64300814487163,1.9416666666666664
47,B-n67-k10,1033,1188.9912388831046,1524.063331116138,1349.3182027467242,76.97330288453723,1.8736666666666666
48,B-n68-k9,1304,1450.6871694914282,1719.1474978213093,1589.597357171086,68.4362704543062,1.7723333333333333
49,B-n78-k10,1266,1531.9657062908607,1866.94920394162,1659.3403980324006,78.57694900573517,1.9033333333333335
50,P-n101-k4,681,1092.9671461353817,1361.524056532028,1202.2387915557495,49.85077472797116,1.7436666666666665
51,P-n16-k8,435,451.94709212981854,488.1351943603965,461.57171335147837,8.75632276167409,1.1346666666666665
52,P-n19-k2,212,212.6569041858923,274.315778868226,244.43585795921211,15.97637191854059,0.8513333333333335
53, P-n20-k2,220,220.03979504064705,290.24973777063894,250.64820886504972,17.912669777961945,0.8893333333333333
54,P-n21-k2,211,220.1114158198847,280.6085585022891,245.2647617239384,16.195042839582857,0.9129999999999999
55,P-n22-k2,216,224.83453201227655,295.2322888374398,260.58956194534716,18.93953285544417,0.9013333333333334
56,P-n22-k8,603,616.4967290675514,711.8922781815494,666.5400299176068,24.688792142595275,1.2963333333333333
57,P-n23-k8,554,543.50153579295,632.5490577528831,586.1891467713111,23.239589068266366,1.3216666666666668
