,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,794.9896687692379,1025.7406849290192,910.4542882938481,51.617952950198834,1.184666666666667
1,A-n33-k5,661,695.6048536972107,915.1385609100334,788.0540128090927,54.10800139994349,1.1443333333333332
2,A-n33-k6,742,772.5036623323724,955.3046072016291,864.663024690696,49.50332679956274,1.1930000000000003
3,A-n34-k5,778,811.6811616899973,1011.3421207531175,896.4834092608012,59.21934202506466,1.1223333333333332
4,A-n36-k5,799,841.5267564450996,1015.53429900323,924.9469677435161,46.183748320306464,1.135333333333333
5,A-n37-k5,669,722.3623102364182,916.020300764253,789.7166867882996,47.58055517613554,1.286
6,A-n37-k6,949,1016.1150054764885,1326.9173463143336,1112.5780827262654,66.41529868652972,1.327333333333333
7,A-n38-k5,730,751.7668998646748,1027.1937283748443,892.6822567497028,63.61805304637304,1.233666666666667
8,A-n39-k5,822,925.7752866707572,1112.9898897121643,995.0948319707705,46.13001087309139,1.1789999999999998
9,A-n39-k6,831,866.2690338595851,1039.9756153209719,956.8133336381446,48.21695534066957,1.2849999999999997
10,A-n44-k6,937,1021.1145906254206,1273.4759622408283,1122.4248161701564,58.64044336570139,1.274
11,A-n45-k6,944,1058.7045340782884,1295.0655639539111,1139.6722809995788,51.962629865912156,1.3336666666666666
12,A-n45-k7,1146,1254.5949864356533,1441.4053220213916,1333.2593821438486,47.60833564743539,1.3103333333333336
13,A-n46-k7,914,997.5213183059273,1307.3615321372968,1125.711951338205,59.96583872775296,1.358
14,A-n48-k7,1073,1201.76532688467,1392.228959646199,1270.6695850762633,45.1567199359797,1.341
15,A-n53-k7,1010,1146.0752382993835,1539.5548803420068,1271.0995478423147,79.66151183417145,1.4243333333333332
16,A-n54-k7,1167,1311.0801907248251,1634.1670559795843,1456.2268617487832,81.01435527059866,1.456
17,A-n55-k9,1073,1208.5242773968591,1557.4998472735665,1349.639012754772,79.25357426384954,1.603333333333333
18,A-n60-k9,1408,1565.3297682922203,1775.0307516956093,1655.9323898051398,54.55796081529825,1.6039999999999999
19,A-n61-k9,1035,1199.945269313887,1460.1228005686671,1326.399193351222,75.97576666412834,1.7013333333333336
20,A-n62-k8,1290,1482.309691067347,1750.6124348715898,1607.520186725377,57.98258610102002,1.5546666666666669
21,A-n63-k10,1315,1513.7299352089128,1889.8241616847013,1649.5639756781513,70.52524906915677,1.7963333333333338
22,A-n63-k9,1634,1871.8420153996758,2174.3518597440643,1985.2296417497664,73.2439445657545,1.7006666666666665
23,A-n64-k9,1402,1603.006629249166,1931.6375173344604,1737.8370977500338,73.7406087013296,1.662
24,A-n65-k9,1177,1426.1826495047042,1710.9453201071615,1539.918750257066,82.55474488729249,1.7963333333333333
25,A-n69-k9,1168,1374.411964240823,1646.049363582991,1518.0742789788674,70.53693379070363,1.7743333333333333
26,A-n80-k10,1764,2169.3728006865654,2439.112282468177,2285.139744012514,75.44544267755964,1.8256666666666668
27,B-n31-k5,672,686.2417678291602,830.2057840160847,733.5273261693444,42.360194139074984,1.1276666666666666
28,B-n34-k5,788,802.7379136477809,1095.9224923793904,925.5677061667906,63.78336271857418,1.21
29,B-n35-k5,955,996.8031518347505,1275.9749708506981,1091.7102193143642,70.08124242322685,1.1313333333333333
30,B-n38-k6,805,830.2461753193561,1019.9462331198338,894.0873735344428,42.71334159789045,1.2223333333333335
31,B-n39-k5,549,581.4637180677175,775.5590631839199,652.1201213150024,53.84646008549705,1.2073333333333334
32,B-n41-k6,829,887.6415663362768,1235.9802369183985,1024.9077552329163,86.82441536196116,1.2793333333333334
33,B-n43-k6,742,799.9576312494685,960.3854538098251,862.7926926113126,38.36516059913111,1.2383333333333333
34,B-n44-k7,909,971.6650450831179,1265.7898537695391,1108.0471895294443,62.932822740118986,1.4160000000000004
35,B-n45-k5,751,790.0888170168225,1082.563417403595,905.7677515984761,78.23683227783398,1.2663333333333333
36,B-n45-k6,678,768.491479451326,967.5251347887836,844.3217405078716,53.21584686941541,1.3423333333333332
37,B-n50-k7,741,829.6474151240061,1098.8670782803697,923.2684263472015,66.77079468473917,1.416
38,B-n50-k8,1313,1381.066608624341,1579.7983505444429,1469.456579493826,52.21655531543048,1.461666666666667
39,B-n51-k7,1032,1035.7458823781394,1519.1854598270534,1295.6803435682086,115.80838504431009,1.4773333333333334
40,B-n52-k7,747,830.2399262379802,1112.3870331702929,896.7583264101216,61.97719622259624,1.4093333333333333
41,B-n56-k7,707,770.3489632741129,1006.1044910344724,880.5469494868848,65.38637046777129,1.4656666666666665
42,B-n57-k7,1153,1320.3437882768035,1720.9130591949454,1475.9938416060488,72.24202053595826,1.527666666666667
43,B-n57-k9,1598,1717.8625983887923,1950.5580362172532,1835.1135319112814,48.23442818987875,1.57
44,B-n63-k10,1537,1701.3963685467015,2166.7302642918094,1876.5688173444607,105.81928755943677,1.722
45,B-n64-k9,861,1013.642992025266,1444.365369746013,1166.8861237182193,103.91547330486841,1.7139999999999997
46,B-n66-k9,1374,1469.7431033699788,1766.2196461409153,1610.905459194724,81.28162531474645,1.7939999999999998
47,B-n67-k10,1033,1229.7629177828924,1542.489187718027,1368.750247575023,80.33874394327556,2.2903333333333333
48,B-n68-k9,1304,1460.2540941796055,1779.5543992272974,1602.4661388330953,70.43679204171312,1.7826666666666666
49,B-n78-k10,1266,1473.6926263875148,1823.3832351817111,1634.473168247275,86.65549356775391,1.8316666666666666
50,P-n101-k4,681,1066.4795942265187,1252.641975829827,1185.4701112114503,41.432273712791584,1.8066666666666669
51,P-n16-k8,435,451.335080208618,492.720705176329,462.8785816382444,10.049878340946828,1.1076666666666668
