,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,820.153101082032,1072.1841412634944,900.4733403669601,49.907147524006504,1.1466666666666667
1,A-n33-k5,661,675.9794056652493,908.4580648337397,759.5871351951944,48.5778314430608,1.1556666666666666
2,A-n33-k6,742,754.7056207884016,964.9757808823307,858.9257584025992,47.89724829437039,1.2240000000000002
3,A-n34-k5,778,801.8652159420367,1009.1892823978394,879.6447962720883,52.143172857674955,1.1526666666666665
4,A-n36-k5,799,849.6225937052299,1015.1218928181844,898.0277559338728,33.480578828999654,1.1793333333333331
5,A-n37-k5,669,709.8362096137884,875.2951767794839,776.2228637624293,42.03427983751313,1.1736666666666664
6,A-n37-k6,949,1003.5270170078542,1233.4156662693993,1105.263824745357,51.29837105321734,1.3093333333333335
7,A-n38-k5,730,808.1724694174513,1066.78419104694,897.3820676465743,64.25719925689317,1.2149999999999999
8,A-n39-k5,822,876.1897991188794,1086.1215387161371,977.4708562676873,50.34530586970228,1.2109999999999999
9,A-n39-k6,831,879.0362670095421,1106.1824466975202,972.5771938162214,55.30737103205944,1.2843333333333333
10,A-n44-k6,937,1040.1996283062413,1247.7209336839096,1119.5278484246967,51.52903444267943,1.3219999999999998
11,A-n45-k6,944,997.7715807461187,1269.3702449489654,1143.6080314754129,61.190290019008536,1.4183333333333332
12,A-n45-k7,1146,1208.5465013455228,1387.4176311162007,1317.6789540322943,42.36418461047549,1.4003333333333334
13,A-n46-k7,914,1004.1018968424463,1271.6856846744122,1080.0628610929916,54.458798980290474,1.3896666666666668
14,A-n48-k7,1073,1160.2648463238927,1354.9175475257034,1253.0528307639406,47.2380937691957,1.4353333333333333
15,A-n53-k7,1010,1140.6978660496188,1360.8062921436879,1241.8617810257458,55.41485139984402,1.5143333333333333
16,A-n54-k7,1167,1324.0237802344384,1589.8364785531048,1428.6735631230413,56.89415005984304,1.4973333333333332
17,A-n55-k9,1073,1224.7655394508272,1461.5765771184592,1317.7602446787887,60.5252026982714,1.6390000000000002
18,A-n60-k9,1408,1532.9888868118292,1738.9997364470332,1630.3800797069723,54.22727515708982,1.6466666666666663
19,A-n61-k9,1035,1203.247713045464,1468.4687322825052,1316.9284675575755,65.62675591108093,1.7610000000000001
20,A-n62-k8,1290,1486.7234047619954,1815.9040535213596,1615.3619287654572,75.01717449510703,1.5939999999999999
21,A-n63-k10,1315,1485.497165352609,1675.559110814121,1606.9201778682614,42.02168893054391,1.8413333333333335
22,A-n63-k9,1634,1833.1535365261325,2076.4845566405857,1948.456680295398,58.7170068299328,1.7703333333333333
23,A-n64-k9,1402,1616.559366298642,1855.6122557519775,1727.2656823200437,56.78217576378438,1.7870000000000001
24,A-n65-k9,1177,1377.7535039794188,1636.8513552014783,1494.2916270065823,63.207545246817084,1.7993333333333332
25,A-n69-k9,1168,1399.7152630228293,1648.2017727965315,1509.4822095154361,61.9836116773947,1.7876666666666665
26,A-n80-k10,1764,2117.5975707811613,2413.487362245221,2249.4339906400037,75.4678327196527,1.939666666666667
27,B-n31-k5,672,686.4479106193933,834.9235279246756,714.9473126403695,35.32427113533306,1.1290000000000002
28,B-n34-k5,788,794.0444864948009,1019.3754345765286,881.832153848353,63.40151289802362,1.2093333333333336
29,B-n35-k5,955,978.675321008337,1224.4000977869787,1045.112396490206,52.7751528386498,1.1553333333333333
30,B-n38-k6,805,825.1859741808831,969.5459221156734,876.6242630954762,36.91855411857069,1.2696666666666667
31,B-n39-k5,549,566.6657052010161,700.0188977856341,621.2220363474286,36.948765630629836,1.239
32,B-n41-k6,829,898.7387048740904,1214.1945050281138,1018.6870263598829,82.71960653957036,1.2896666666666665
33,B-n43-k6,742,791.932214170371,937.4579294060545,842.686107320869,35.21538955115379,1.315
34,B-n44-k7,909,1000.1667401859115,1172.6745047487525,1067.4167889111254,36.09205035888206,1.4050000000000002
35,B-n45-k5,751,783.6525164152415,1150.956244727632,891.0812562405063,78.41971632923995,1.309666666666667
36,B-n45-k6,678,733.0614367491003,993.6363924467931,821.0301297735656,62.002421541027616,1.436666666666667
37,B-n50-k7,741,801.2974015613569,1103.0023257042458,913.2434489257662,65.91158103552172,1.452333333333333
38,B-n50-k8,1313,1362.6724148083617,1611.6758127813584,1464.150032353514,52.16893120900166,1.5193333333333336
39,B-n51-k7,1032,1087.865862345941,1426.7708521994673,1260.8474911230273,71.48135247221525,1.5533333333333332
40,B-n52-k7,747,794.1645634791014,1051.5516207965181,894.2597617139397,62.15558539768272,1.4766666666666666
41,B-n56-k7,707,790.989241037737,943.1090662787389,848.6630112928643,47.01353843959125,1.5176666666666667
42,B-n57-k7,1153,1267.2084230604971,1663.5306390765402,1434.1645443003808,91.05678490706836,1.5819999999999999
43,B-n57-k9,1598,1669.8960057274182,1938.8722831932914,1795.113507001663,56.53542224180942,1.6690000000000005
44,B-n63-k10,1537,1680.8558820117323,2027.8698258193517,1849.1330121803626,78.15018321001018,1.8166666666666667
45,B-n64-k9,861,965.9980447558135,1336.9565849329276,1110.9544355691933,74.92742225652076,1.8490000000000002
46,B-n66-k9,1374,1510.8948845812085,1778.6401781151576,1629.727822907299,65.3158287273918,1.801
47,B-n67-k10,1033,1215.551217417089,1475.7006412055714,1349.3145545900354,79.55545191889124,1.8446666666666667
48,B-n68-k9,1304,1459.6507608028246,1744.2870693972047,1584.0700265269888,71.02391851635635,1.7750000000000001
49,B-n78-k10,1266,1448.7799147371372,1822.468363028458,1617.641464940814,84.7213842463265,1.947333333333333
50,P-n101-k4,681,1048.6482712453503,1232.396236348075,1143.2468687500398,43.45466855006702,1.7606666666666664
51,P-n16-k8,435,451.94709212981854,487.74932601171446,462.0429974456458,9.834068120358777,1.146666666666667
52,P-n19-k2,212,219.75413715136335,297.159813343547,246.72388867569467,17.996471780588106,0.7913333333333334
53, P-n20-k2,220,217.41558334616656,286.98999865317325,241.15784235161055,19.008211003559605,0.8053333333333333
54,P-n21-k2,211,212.71153970290385,256.0744611950206,227.19253433252862,12.433971308111051,0.8406666666666667
55,P-n22-k2,216,217.85215074022966,273.39135034925584,237.1177352208347,16.288849561056114,0.8296666666666667
56,P-n22-k8,603,625.5520675899907,722.0585861318746,658.0360948138467,25.954759602917544,1.3620000000000005
