,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,871.6059853618367,1098.922341786404,941.5237991712617,56.581761505306396,1.3913333333333333
1,A-n33-k5,661,706.8759494531934,868.114077107382,761.5921386671472,34.12082273837,1.417
2,A-n33-k6,742,772.9646166431188,943.4311886195401,853.112505343471,43.46099585842359,1.4163333333333332
3,A-n34-k5,778,839.1887437962757,922.0917689401941,880.6642404242588,22.440200125967426,1.1889999999999998
4,A-n36-k5,799,902.1026502966507,1038.6674097841592,947.8426371647263,38.55207545820467,1.6006666666666667
5,A-n37-k5,669,722.5398723844833,929.0257160317809,831.4664166208445,46.908125877207254,1.3150000000000002
6,A-n37-k6,949,1025.02281706496,1236.1483993280501,1128.471041463915,40.18570219645976,1.4089999999999998
7,A-n38-k5,730,787.6142387607581,1057.2326297389777,924.9633133554587,59.32931180213704,1.3023333333333331
8,A-n39-k5,822,925.0090746411423,1155.267184929885,1014.8692968805684,50.806775209380746,1.2143333333333335
9,A-n39-k6,831,903.8037867262026,1189.5179386281907,1013.2949233746352,60.42661536400105,1.3923333333333334
10,A-n44-k6,937,1078.4053727980572,1281.917756251558,1165.5964410617198,50.76982493551199,1.3770000000000002
11,A-n45-k6,944,1090.7910037673485,1273.486353355153,1177.0776183479022,36.28239870191318,1.4966666666666666
12,A-n45-k7,1146,1234.877865659207,1394.6236225441503,1328.2117596834112,35.33454577653123,1.5066666666666668
13,A-n46-k7,914,1036.4133678982776,1250.7804987827722,1113.3071081825597,44.307717976309426,1.5769999999999997
14,A-n48-k7,1073,1230.5034984610402,1374.0102783303626,1297.4280276708391,37.846605952793155,1.4756666666666662
15,A-n53-k7,1010,1262.8160177849556,1470.7716496580185,1339.8004234160833,54.57300084024088,1.5379999999999998
16,A-n54-k7,1167,1375.91058270257,1612.467420547202,1469.9831028805181,46.38140444048083,1.555
17,A-n55-k9,1073,1237.6840360714182,1514.7997455890427,1360.5521797718886,67.79299073322423,1.7836666666666665
18,A-n60-k9,1408,1594.8472905343801,1774.5103129528634,1670.962997280524,41.04248293165938,1.8890000000000002
19,A-n61-k9,1035,1282.6667176433423,1438.9017002225999,1344.7007191708317,42.01497851897749,2.2053333333333334
20,A-n62-k8,1290,1592.1668503068117,1799.2155470480714,1674.608650733315,51.30144046713746,1.739666666666667
21,A-n63-k10,1315,1540.820973873631,1806.1648985313998,1676.1685537949845,66.46485344415548,1.8016666666666667
22,A-n63-k9,1634,1906.7005654962156,2148.5313006134775,2042.14863178751,50.85439675940594,1.9803333333333333
23,A-n64-k9,1402,1704.269727020251,1901.958504328427,1789.6007796963506,51.80658070639191,1.88
24,A-n65-k9,1177,1472.5044709290291,1703.1995328468042,1595.3821333815629,63.26973249283745,2.14
25,A-n69-k9,1168,1432.7643147565834,1705.43824223479,1581.7988284689006,56.41430579685748,2.0443333333333333
26,A-n80-k10,1764,2189.1631927385642,2468.2963901331746,2342.73744946861,63.92498896797503,2.0403333333333333
27,B-n31-k5,672,693.3943137139897,755.0436965586249,715.5142063335363,14.201154856571685,1.2926666666666666
28,B-n34-k5,788,812.4916443169889,921.5427703948922,858.3375792195858,29.748550907386655,1.4186666666666667
29,B-n35-k5,955,999.4203313248194,1172.4255964151068,1059.1175770111497,38.966976033282336,1.9663333333333333
30,B-n38-k6,805,848.2717117657667,962.3877601349345,887.7051428085468,32.14992955448249,1.6469999999999996
31,B-n39-k5,549,593.1658960230958,847.0171436749819,673.9075735725712,47.07962522599787,1.586
32,B-n41-k6,829,895.9504435482384,1153.813712528668,991.2044292873869,60.39951082675028,1.3733333333333333
33,B-n43-k6,742,801.9531391495362,915.8300601287002,856.73546717849,31.46734253148707,1.508333333333333
34,B-n44-k7,909,1009.7217540850237,1165.2700440367732,1058.8987320186984,35.429981060053706,1.6209999999999998
35,B-n45-k5,751,822.996668828376,1101.706750466994,953.7603724146702,71.0015563203168,1.568
36,B-n45-k6,678,758.432140005184,908.2747143674676,828.3585744445718,34.33199351444897,1.5630000000000002
37,B-n50-k7,741,823.4722178224873,1073.6788976417263,959.3804037821769,61.203973257249196,1.6906666666666665
38,B-n50-k8,1313,1385.765136019887,1530.7100936703955,1454.7417349303175,43.07046927990061,1.7400000000000004
39,B-n51-k7,1032,1175.0914499956423,1499.5334506843678,1269.3834850424819,69.38205075610978,1.8636666666666666
40,B-n52-k7,747,849.8777096227363,1082.1585047792546,944.5555418551318,57.9819794618749,1.8263333333333334
41,B-n56-k7,707,817.9751610681452,991.426822770295,902.8086013435121,44.58093610559338,1.6543333333333332
42,B-n57-k7,1153,1339.633174621094,1614.897917555627,1461.6412863633245,77.30445252815667,1.8043333333333333
43,B-n57-k9,1598,1712.7658302430189,1940.9437838686745,1831.0587785789576,54.34339300004465,2.021
44,B-n63-k10,1537,1712.1702433610023,2014.5920355831945,1844.5333487708185,69.92492794828718,2.118666666666667
45,B-n64-k9,861,1015.7194233887706,1303.5663142616181,1124.8212877281596,66.82272966237495,1.962
46,B-n66-k9,1374,1528.6961682963151,1778.7642028238054,1655.607292333893,59.60329603617729,1.8709999999999998
47,B-n67-k10,1033,1212.1662413592016,1497.8288375074549,1336.2409630184354,68.84574539194209,1.8963333333333334
48,B-n68-k9,1304,1506.6834043886822,1713.745087538779,1589.6667210439534,63.11643991233684,1.8156666666666665
49,B-n78-k10,1266,1493.134282788076,1789.8553760141394,1662.397451018539,72.4478693437059,1.99
50,P-n101-k4,681,1285.5836541906087,1483.350610945029,1378.1599714318238,47.89868686177315,1.960333333333334
51,P-n16-k8,435,451.33508020861797,470.2776040594392,457.9356312741055,5.6552529867894865,1.1583333333333334
52,P-n19-k2,212,246.12624565151523,329.9567741647302,286.09453172241234,17.52330647437282,0.8003333333333333
53, P-n20-k2,220,250.53153205425684,336.4013164530986,293.2019560287758,22.00965871038586,0.818
54,P-n21-k2,211,216.87881249749654,292.9522031394355,257.28051391013724,21.490030524935406,0.9056666666666667
55,P-n22-k2,216,247.63279256510015,359.53400961257256,297.3916828044122,26.596010293563676,0.847
