,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,914.4809556705902,1260.146952759541,1063.069495517655,74.81542066164371,1.5543333333333336
1,A-n33-k5,661,787.4909309748452,985.951732095217,866.0171359603781,52.228174889908736,1.538666666666667
2,A-n33-k6,742,844.9634790302018,1069.4362618456403,941.5470337722061,54.89778308106964,1.5776666666666666
3,A-n34-k5,778,896.9224646575256,1106.138913453472,1018.3260679966502,52.84518856199567,1.5236666666666667
4,A-n36-k5,799,984.2418347198131,1287.6505732963933,1071.6441475397567,70.80223173532146,1.5936666666666666
5,A-n37-k5,669,816.6106315036545,1162.551061156693,953.4982578684977,72.91913812989561,1.580333333333333
6,A-n37-k6,949,1083.3906355313438,1309.7077236270732,1184.4064171496798,52.38649781063617,1.6863333333333332
7,A-n38-k5,730,923.1227073443812,1190.813634510932,1026.7633556775775,67.07797544814161,1.627333333333333
8,A-n39-k5,822,980.5285594940229,1212.6426455694389,1099.3089112760936,59.91172006393866,1.615666666666667
9,A-n39-k6,831,1024.4598323067523,1282.9780523633146,1144.6042975064972,64.33269207919115,1.675666666666666
10,A-n44-k6,937,1132.9225184021939,1390.4197159383757,1260.5608323287267,59.31517610886138,1.7076666666666669
11,A-n45-k6,944,1191.948075755916,1499.4634353285423,1362.5699842681472,74.71989398069617,1.762
12,A-n45-k7,1146,1302.8527932132645,1552.6060778950487,1387.3000023996735,60.633665978298914,1.7579999999999996
13,A-n46-k7,914,1090.153763426115,1524.6800314423904,1230.4570694195281,82.45680757165685,1.7726666666666668
14,A-n48-k7,1073,1301.096439718651,1591.2218821904405,1420.84575383229,81.85920753712112,1.806
15,A-n53-k7,1010,1293.151151729958,1583.4636287356902,1457.1298732409969,70.64435734380116,1.8783333333333332
16,A-n54-k7,1167,1476.6277837085754,1769.4852721800987,1590.3471911106853,73.05975675273439,1.868333333333333
17,A-n55-k9,1073,1342.7673779687632,1798.867055747648,1502.0889344128664,88.67579895677989,2.0353333333333334
18,A-n60-k9,1408,1649.3901485174113,1964.223452448934,1806.6067723692538,89.0484215662683,2.052
19,A-n61-k9,1035,1319.8234015805288,1669.7677553733088,1471.2158489369697,79.69401569715632,2.1373333333333333
20,A-n62-k8,1290,1642.2845206001048,1955.601082424745,1822.004063443784,81.59097445648298,1.9703333333333333
21,A-n63-k10,1315,1590.8246438829215,1932.979813256061,1796.9621107530988,78.34985736696879,2.187666666666667
22,A-n63-k9,1634,1926.5209480370715,2248.2002631991045,2111.442055268816,65.96641679380329,2.1606666666666667
23,A-n64-k9,1402,1778.954338687519,1988.5675105205846,1881.4014567005352,52.61174327681526,2.1006666666666662
24,A-n65-k9,1177,1609.736650701849,1918.7881770970043,1783.4881273180808,88.01556498708464,2.1643333333333334
25,A-n69-k9,1168,1563.225959413397,2000.5743856013992,1763.4113239212659,99.33275913808825,2.121
26,A-n80-k10,1764,2322.496328063085,2647.5726355848715,2509.2261658618813,80.33031766131093,2.313
27,B-n31-k5,672,710.2392449466299,916.2846146981975,789.7888110926635,61.02742685731037,1.5590000000000002
28,B-n34-k5,788,892.6529957457051,1149.7167945443955,998.3885952064306,69.23167898120923,1.5343333333333338
29,B-n35-k5,955,1060.4818397236781,1404.8021743507566,1220.0582130959226,71.21902027661889,1.5610000000000002
30,B-n38-k6,805,863.519118154021,1106.3301239790853,973.5857800039173,54.30637605972495,1.6679999999999997
31,B-n39-k5,549,704.3634006166367,975.7211095124712,803.1871001248746,64.2073096057115,1.6516666666666668
32,B-n41-k6,829,925.5016428242033,1319.0490955601472,1089.3561024620856,78.76623631849071,1.714
33,B-n43-k6,742,856.5056386377439,1127.849298391894,968.5015087114581,61.430067716517975,1.7183333333333335
34,B-n44-k7,909,1067.7357488939504,1371.6685007929996,1159.8908456031897,73.70525042953253,1.7703333333333333
35,B-n45-k5,751,957.9304007904967,1366.5606936309184,1107.342128772346,85.96881669840114,1.6973333333333334
36,B-n45-k6,678,846.6369244145893,1050.6353362798511,933.975446872912,55.143833577439956,1.8056666666666668
37,B-n50-k7,741,968.6116718829824,1245.9565336926928,1118.4970257329653,71.53305730048776,1.8156666666666665
38,B-n50-k8,1313,1431.41827759839,1630.7228187378757,1523.6840720041046,46.347555862227274,1.8746666666666667
39,B-n51-k7,1032,1281.9838662068844,1836.5015084110494,1510.2829614769637,135.25959260901197,1.8886666666666667
40,B-n52-k7,747,962.2393629589208,1375.4367811969782,1169.9558525250113,111.94140971090906,1.8466666666666671
41,B-n56-k7,707,869.1901847980425,1311.1905268952285,1111.7314769892214,109.80107996189183,1.8929999999999998
42,B-n57-k7,1153,1468.1664083929131,1874.941913677167,1659.613782597575,95.72656216470331,1.978333333333333
43,B-n57-k9,1598,1787.564125974793,2128.7972997631364,1958.254476325845,71.75849996082863,2.021
44,B-n63-k10,1537,1776.7432774214985,2227.5786512270597,2024.8536554110276,101.88010283441629,2.167666666666667
45,B-n64-k9,861,1193.7466420071667,1528.662897653444,1331.9367636384,66.60318235631581,2.1496666666666666
46,B-n66-k9,1374,1688.9998574542158,2077.119297351408,1816.1306221681514,89.41481623892318,2.1613333333333333
47,B-n67-k10,1033,1415.3255805077342,1692.1827075362305,1538.7571314174083,84.73036299262012,2.1863333333333332
48,B-n68-k9,1304,1590.8108971476317,2003.1409560462032,1811.308688185661,91.34610077932514,2.122333333333333
49,B-n78-k10,1266,1704.236151178003,2084.6131098579194,1888.0051772473234,104.02950534074273,2.279666666666666
50,P-n101-k4,681,1311.7529771287464,1595.5216892221395,1490.5640079572747,62.69951909175633,2.449333333333333
51,P-n16-k8,435,451.9470921298185,487.46277242115946,466.27284880118594,10.486467100563237,1.5013333333333336
52,P-n19-k2,212,248.63689577181196,310.5848871240679,285.46376549328875,16.176546099864037,1.1906666666666665
53, P-n20-k2,220,258.982864817892,333.96994605433014,299.1243500446908,18.006567421905533,1.212
54,P-n21-k2,211,254.71863963482537,344.6737000644103,283.3921882797896,20.16381133947491,1.3503333333333332
55,P-n22-k2,216,263.8832037181227,348.8995707753511,302.8299601721574,17.439261123618017,1.2929999999999997
56,P-n22-k8,603,610.9296959989213,702.7646406228424,652.5986042778902,19.855741111874412,1.6526666666666672
57,P-n23-k8,554,547.111136768066,604.9656335706827,574.6586322296288,16.13096527569224,1.648666666666667
