,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,852.5017620822683,1153.8773948443627,1018.8049933675507,69.63306180773628,1.2063333333333333
1,A-n33-k5,661,757.3385980520954,960.3746462690451,849.1355442914029,48.80965285896572,1.2229999999999999
2,A-n33-k6,742,807.8199332642306,1042.891920024595,916.9946969975579,47.6307340552799,1.2906666666666669
3,A-n34-k5,778,876.4304809021171,1042.2911160464064,956.0781437353812,48.19527825115327,1.219
4,A-n36-k5,799,931.1755706846963,1189.4966754231355,1004.2439200242299,55.459365407821316,1.2489999999999999
5,A-n37-k5,669,782.8574379335474,983.0438978079354,905.7531172165912,45.74546616890097,1.2573333333333336
6,A-n37-k6,949,1075.3544915228194,1229.2369059794344,1159.1097825477061,41.54916120606665,1.4146666666666667
7,A-n38-k5,730,863.9735198390565,1074.7614144415918,965.1009484233405,55.80108944940376,1.315333333333333
8,A-n39-k5,822,956.178405111895,1169.9412320574836,1059.5278570196203,45.509252253492946,1.268
9,A-n39-k6,831,959.9092174921728,1159.0588280388483,1083.7597366914079,55.35965114829952,1.3423333333333332
10,A-n44-k6,937,1130.2159494248037,1352.837953149103,1229.6704688171933,56.410056600007785,1.3936666666666666
11,A-n45-k6,944,1227.7714495151997,1459.8610426507014,1336.5551452027403,65.4511239621737,1.45
12,A-n45-k7,1146,1311.8258403757175,1446.5492125291755,1380.5965379432357,36.01601438805688,1.4449999999999998
13,A-n46-k7,914,1115.639779446151,1366.407012352066,1233.4551124900966,62.18390146308427,1.463
14,A-n48-k7,1073,1287.9383339649576,1540.7439510666197,1417.6746148220395,55.0744015976056,1.476
15,A-n53-k7,1010,1259.5005929496135,1579.5549394059212,1408.3077535196358,84.19665555161694,1.5523333333333336
16,A-n54-k7,1167,1425.6962524203846,1665.6336436285246,1559.4063921013528,50.944977211737886,1.5636666666666665
17,A-n55-k9,1073,1395.764544291367,1663.1944392535383,1502.288371259118,67.84911180346997,1.7156666666666667
18,A-n60-k9,1408,1629.528459898554,2004.4233230277152,1826.6148146043058,71.03565696584079,1.742666666666667
19,A-n61-k9,1035,1336.645695687664,1619.8250364563469,1492.8990900648728,68.07539983160389,1.8120000000000005
20,A-n62-k8,1290,1622.5569919383142,1980.2388050259203,1811.4892891088598,90.45459780982146,1.6736666666666669
21,A-n63-k10,1315,1638.5786155941537,1929.557191503493,1824.7790251666142,67.42901718528437,1.8523333333333338
22,A-n63-k9,1634,2058.5540608769443,2308.1041024169967,2186.5978204806365,60.93495745793535,1.7989999999999997
23,A-n64-k9,1402,1825.8021024473678,2060.702147276438,1935.2786280848677,61.472729491242916,1.802
24,A-n65-k9,1177,1615.3967693908023,1999.9727869506644,1819.120560931608,80.2536777083733,1.8373333333333333
25,A-n69-k9,1168,1609.4483588349303,1925.6519115429655,1780.8065286488315,56.90553942174235,1.7993333333333332
26,A-n80-k10,1764,2431.0795886684364,2756.728415622919,2565.6745453774124,76.82717798181021,1.9839999999999995
27,B-n31-k5,672,700.2772832374089,839.9137509466269,758.8949386409341,38.93243718078799,1.213666666666667
28,B-n34-k5,788,830.3353632057364,1074.301350312311,942.8204812827256,58.34349630165153,1.2283333333333333
29,B-n35-k5,955,1056.3684495889754,1289.189027371111,1168.3517125905992,66.55948056557754,1.239666666666667
30,B-n38-k6,805,876.7858826504219,1114.6694134507716,974.4141315652477,58.91076170519605,1.3403333333333336
31,B-n39-k5,549,587.8396032000709,1096.907603311693,844.5463398753036,97.87506921361717,1.2880000000000003
32,B-n41-k6,829,1020.087577959087,1238.0515303566854,1102.768526292815,57.95388186101103,1.3733333333333333
33,B-n43-k6,742,850.9078660190492,1008.980373212494,941.0207161858287,44.2883079168271,1.3490000000000002
34,B-n44-k7,909,1062.2798651785788,1347.3551111737652,1150.3302398650792,67.4922888359217,1.5826666666666667
35,B-n45-k5,751,925.3418255742779,1136.9343282120813,1053.0794719280452,56.17685353509965,1.4766666666666663
36,B-n45-k6,678,813.6984321012205,1031.300348865281,903.0067265370019,48.68703210790379,1.5176666666666665
37,B-n50-k7,741,916.9434149104153,1235.3914463600545,1124.928238100464,84.92595912804046,1.5506666666666666
38,B-n50-k8,1313,1441.2892393719662,1618.0035855987885,1533.6671067783254,41.10196714355058,1.5873333333333335
39,B-n51-k7,1032,1262.3927079861066,1773.8843516298862,1525.6833113946025,119.7418170987704,1.5966666666666665
40,B-n52-k7,747,983.9397304825515,1396.3388505916894,1196.9110840832416,108.87497585528733,1.5319999999999998
41,B-n56-k7,707,967.7850665488251,1347.862133291306,1138.8334787189342,81.54781440132837,1.5593333333333337
42,B-n57-k7,1153,1504.0923307645348,1941.2531393310971,1714.8515983682462,111.61664081475126,1.680333333333334
43,B-n57-k9,1598,1815.2006611272657,2077.908779662067,1953.8156281470447,63.48666506895077,1.702333333333333
44,B-n63-k10,1537,1896.9777287807105,2276.649197934383,2085.3534402886853,102.69489428239744,1.8616666666666668
45,B-n64-k9,861,1128.5298156998997,1495.6953639367628,1353.5805592922297,83.68402713174686,1.852
46,B-n66-k9,1374,1685.7567313605518,1960.281052507059,1839.8377859004127,68.45550923626925,1.8569999999999998
47,B-n67-k10,1033,1487.7235330601764,1773.3002177186627,1604.261773481267,82.37850991604704,1.8813333333333337
48,B-n68-k9,1304,1617.711080808582,1990.4446027982262,1832.7203003430768,80.1502188040568,1.8056666666666665
49,B-n78-k10,1266,1759.899461260347,2135.2907904028248,1928.3184617496286,90.3202108384584,2.001333333333333
50,P-n101-k4,681,1291.2054851813998,1522.0156250118396,1390.1092482682752,54.381797686416945,1.9009999999999998
51,P-n16-k8,435,451.33508020861797,484.7860328833198,459.5163207590853,10.10073640615994,1.2506666666666666
52,P-n19-k2,212,232.7901548953699,277.06372273193966,254.44001958312734,12.598744691052074,0.8990000000000002
53, P-n20-k2,220,234.41087437251025,279.11852098035797,257.2066137974355,12.355311362108402,0.9296666666666665
54,P-n21-k2,211,220.71708446595517,287.1859674648491,250.64588680938547,15.395043136559032,0.9973333333333333
55,P-n22-k2,216,232.5937651610468,302.9097569711764,260.1890683085316,14.37554766151377,0.9563333333333334
56,P-n22-k8,603,611.1671707475352,698.5159395723597,655.0906190888036,17.19925559519926,1.4126666666666663
57,P-n23-k8,554,536.710999034598,620.2683730721078,575.1239024640162,19.248145940479322,1.4326666666666665
58,P-n40-k5.vrp,458,558.2623118850497,668.4447192766977,609.966958473408,25.306185815720227,1.3016666666666667
59,P-n45-k5,510,640.0605087211275,770.6532546512277,711.2239394133449,35.16727029569654,1.3553333333333333
60,P-n50-k10,696,841.7087082249384,942.4846093080271,887.0912138714929,26.992410141481255,1.8243333333333334
61, P-n50-k7,554,678.4831901319604,822.6782472281841,759.205426177678,33.146875283256676,1.5413333333333332
62,P-n50-k8,649,742.8988675826503,944.1882761161606,830.5375743423085,43.799584928519764,1.692
63,P-n51-k10,745,912.8442087243903,1015.0333060027477,956.0697094550584,30.413499936402378,1.8260000000000003
64,P-n55-k10,669,818.9655343570057,979.8620677772843,907.6645856771654,36.10829996863896,1.7893333333333332
65,P-n55-k15,856,1042.237399299914,1221.6682042284058,1126.3860274488175,34.821713041389174,2.3903333333333334
66,P-n55-k7,524,754.4796817050684,906.6831004795066,822.9086358614609,37.02070173049198,1.6
67,P-n55-k8,576,760.3532365351789,937.1524683228216,818.110697555606,38.12241559534648,1.5756666666666668
68,P-n60-k10,706,960.3687317566508,1124.3713916401252,1026.6952225581767,31.405736585269285,1.8730000000000002
69,P-n60-k15,905,1141.989474982491,1285.891372064928,1211.0258357460361,36.14893941664484,2.371666666666667
70,P-n65-k10,792,1014.6393875017205,1236.5922398191744,1143.2104597016466,51.79799931054488,1.9166666666666663
71,P-n70-k10,834,1117.168326420413,1326.7681657311482,1223.223305749421,51.53545919724556,1.9826666666666666
72,P-n76-k4,589,934.0350916123728,1106.7293946386812,1029.0615544580214,42.25857269527035,1.5936666666666668
73,P-n76-k5,631,969.6909341363483,1151.1192949635863,1060.9147778260062,44.24143462985801,1.6989999999999996
