,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,860.308165568226,1129.780591209838,981.826708717137,67.03572512710694,1.809666666666667
1,A-n33-k5,661,752.4759636506712,870.3431668756253,811.8060613398587,31.662337582833946,1.5919999999999999
2,A-n33-k6,742,813.5476146995874,971.6405142949781,880.4293321295996,35.26099238945052,1.680333333333333
3,A-n34-k5,778,851.6262069828304,1047.942323746498,945.7641358776242,42.802148744133824,1.649666666666667
4,A-n36-k5,799,873.0293209074694,1099.4992785081454,963.3125613147345,40.31648074612915,1.6713333333333331
5,A-n37-k5,669,790.6872166725927,945.4593314075181,871.4898671482019,43.39191335961465,1.6693333333333333
6,A-n37-k6,949,1061.626656397492,1215.5136919482964,1136.0319417770525,35.90816390435059,1.7366666666666668
7,A-n38-k5,730,827.4200911767025,1039.281794450695,945.1657853051488,48.6025356117898,1.6746666666666665
8,A-n39-k5,822,925.4122851867512,1117.1498290374147,1023.4868445709483,43.35316325650143,1.6610000000000003
9,A-n39-k6,831,957.4761510783259,1183.4621896038634,1047.261660747775,60.91989864178873,1.7029999999999998
10,A-n44-k6,937,1109.9591123385421,1331.8435535047379,1185.4883520537526,42.18846548593475,1.8016666666666665
11,A-n45-k6,944,1079.6354651809816,1331.6950330348566,1217.4981974392635,57.156253467100896,1.8606666666666665
12,A-n45-k7,1146,1259.7471671375483,1416.5486178945275,1332.22865097277,35.90794614732397,1.8166666666666664
13,A-n46-k7,914,1064.3817721769865,1248.5295535587547,1158.54131145701,34.78359725521999,1.8776666666666668
14,A-n48-k7,1073,1251.5812405981656,1480.1590296123773,1327.9480697537006,49.3924340989619,1.886666666666667
15,A-n53-k7,1010,1244.289366170875,1465.4153466935163,1361.2740654901359,53.19333409789477,1.9406666666666668
16,A-n54-k7,1167,1381.9321444877894,1553.9019407837247,1480.5030633481401,47.020462534018826,2.1116666666666672
17,A-n55-k9,1073,1185.6558459642283,1505.6109463683629,1380.7680722317602,67.81427379052838,2.231666666666667
18,A-n60-k9,1408,1630.076545969968,1778.2037448618228,1704.9047572132051,43.68107730687234,2.3986666666666663
19,A-n61-k9,1035,1283.3163998820569,1474.955798186287,1367.91155183851,44.848635505288314,2.198
20,A-n62-k8,1290,1595.7890123312086,1845.6274931206876,1701.2394432200501,63.10763719333937,2.0116666666666667
21,A-n63-k10,1315,1595.6800749265642,1774.4264221985986,1686.648281120334,42.335179547960664,2.2653333333333334
22,A-n63-k9,1634,1949.8245146518536,2176.6492449571947,2018.343735097305,49.74694868061856,2.1936666666666667
23,A-n64-k9,1402,1648.4055184180893,1923.6095209407279,1820.2681522644623,56.3241325344753,2.1756666666666664
