,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,978.2742717934207,1220.636557513038,1109.3878945297197,63.41997328493852,2.8509999999999995
1,A-n33-k5,661,880.2845653574477,1090.0075594365608,971.3904814120742,48.36838671467686,2.6879999999999997
2,A-n33-k6,742,909.3417659239061,1191.572796488379,1029.4746416198266,65.500935143355,2.7913333333333323
3,A-n34-k5,778,974.0257214478052,1351.0501803041557,1103.4890983840971,96.00018701055347,2.6446666666666663
4,A-n36-k5,799,979.099315122435,1296.073413442696,1143.103519838032,89.07205162567159,2.7416666666666667
5,A-n37-k5,669,885.4550009538409,1384.6773404334785,1008.8936203717147,109.78122154912865,2.819666666666666
6,A-n37-k6,949,1165.6014662265384,1565.779625293499,1330.845927485442,103.47046647588981,2.891
7,A-n38-k5,730,927.9695768779027,1414.6121147315873,1142.2555604658285,136.1965947323551,2.801666666666667
8,A-n39-k5,822,1027.525593219594,1459.4944227071578,1250.3520880456117,105.28717263359327,2.8216666666666663
9,A-n39-k6,831,1083.0627578761507,1387.7436127503631,1233.5194181973907,80.07589724606834,2.888999999999999
10,A-n44-k6,937,1240.6623356289574,1667.9909838406702,1425.470655234182,125.2629037189638,2.9873333333333334
11,A-n45-k6,944,1219.5419627701724,1834.220345326924,1427.3568193832084,141.6570111019009,3.108333333333334
12,A-n45-k7,1146,1352.0726485497205,1807.303329070865,1506.9012155716764,86.90150561515041,3.0763333333333334
13,A-n46-k7,914,1188.6692597116792,1459.1788821530242,1343.627926201134,68.32558452885455,3.1569999999999996
14,A-n48-k7,1073,1384.9299885858454,1692.1715998467212,1537.552772624266,74.14901973115062,3.1583333333333328
15,A-n53-k7,1010,1407.6763084156237,1877.2619365626738,1601.4815940775375,135.1339287795002,3.3013333333333335
16,A-n54-k7,1167,1515.5966019022894,1972.8122412124126,1705.380804574485,118.75920702242838,3.3876666666666666
17,A-n55-k9,1073,1451.5747602024967,1807.914257702513,1598.1505467305635,97.05926886662053,3.6103333333333336
18,A-n60-k9,1408,1719.0752826236371,2236.682712898292,1941.4612260348251,139.12993616700214,3.6566666666666667
19,A-n61-k9,1035,1416.531366137938,1742.1590771635567,1535.2679151852656,65.89656608049025,3.7760000000000002
20,A-n62-k8,1290,1808.2582113486976,2106.4993781673647,1945.2556139010555,80.03238139606312,3.5066666666666673
21,A-n63-k10,1315,1686.8577706808385,2208.126096434002,1885.9817631729325,123.81574495798418,3.8996666666666666
22,A-n63-k9,1634,2021.5024942561467,2437.7618502500045,2203.0703452251423,88.9319257061853,3.8223333333333334
23,A-n64-k9,1402,1893.1007414540147,2357.254176564194,2083.2808249280683,122.72231651746569,3.742
24,A-n65-k9,1177,1660.483010222159,1938.8536804311836,1811.6606438576835,74.43126204845485,3.8293333333333335
25,A-n69-k9,1168,1587.6445601262137,2139.5029486085764,1851.4130008703812,157.04421987037404,3.8103333333333333
26,A-n80-k10,1764,2351.2412802579433,2917.3140329408398,2615.0453742780232,149.1946450540666,4.093
27,B-n31-k5,672,741.814859491731,933.3440467420265,806.5298568870496,67.11997305974926,2.680333333333335
28,B-n34-k5,788,962.0642735401385,1167.4066029847222,1043.7988071373231,52.51799228082204,2.790666666666666
29,B-n35-k5,955,1106.939741647627,1422.305651980076,1245.1219386824025,72.84120001031751,2.7703333333333338
30,B-n38-k6,805,916.0391351669458,1217.7242216174063,1038.5766621278533,65.06562715352176,2.9749999999999996
31,B-n39-k5,549,719.9278138400135,1149.6218446169964,853.2324589641826,89.23741209574058,3.055333333333333
32,B-n41-k6,829,1022.6018389778304,1596.8484268081233,1277.1544192365716,131.97495776145672,3.0826666666666664
33,B-n43-k6,742,911.4475177137303,1162.598355843462,1000.6991689414773,59.31011911797379,2.9910000000000005
34,B-n44-k7,909,1105.346853578337,1433.5670909679886,1277.9565424367922,91.81659181022276,3.178666666666667
35,B-n45-k5,751,946.944625289367,1616.6307516045863,1160.0478665183973,181.38221197149815,2.9633333333333343
36,B-n45-k6,678,818.2682370680068,1357.565604892629,971.8659857976173,121.19566724084362,3.174333333333333
37,B-n50-k7,741,906.8204726877593,1256.2211744602507,1122.9879956714428,84.61105607002519,3.2240000000000006
38,B-n50-k8,1313,1545.4892348296435,2008.9651191112748,1671.0151907974728,95.81367879163294,3.369333333333333
39,B-n51-k7,1032,1229.866908897019,2141.423317015523,1588.8848923920343,212.1766064244492,3.3353333333333333
40,B-n52-k7,747,986.2335449071304,1287.3575109273295,1106.7136517872318,81.15569038726589,3.3033333333333332
41,B-n56-k7,707,871.287963363797,1252.901631616767,1061.8583522716317,112.02032045048966,3.3303333333333334
42,B-n57-k7,1153,1414.0650556833868,2020.9231454955968,1667.5715086807597,158.4805282249791,3.462666666666666
43,B-n57-k9,1598,1823.4224945940107,2169.0689215827356,1971.6689369224302,79.97654465260052,3.583
44,B-n63-k10,1537,1885.8603777433677,2506.5397502185447,2104.303672046833,137.35078111009355,3.8656666666666673
45,B-n64-k9,861,1091.660166383804,1617.045642206282,1294.5855819103792,113.05495983173776,3.848333333333333
46,B-n66-k9,1374,1662.1166160820962,2123.6348722784055,1812.7528495557015,121.59616334399212,3.885
47,B-n67-k10,1033,1369.1779572968078,1804.774836059593,1563.808746497279,106.40957155180864,3.8589999999999995
48,B-n68-k9,1304,1553.6196311624205,2137.921538217905,1757.6679043511292,142.10183774021215,3.7786666666666675
49,B-n78-k10,1266,1529.1347272008366,2056.9095533571044,1852.269120013307,127.66601033366186,4.080333333333334
50,P-n101-k4,681,1191.106089057029,1485.2357976107419,1329.0684285911352,72.79733754633993,4.484
51,P-n16-k8,435,451.94709212981854,480.8651598919387,468.2720347829997,5.7840072511738825,2.4623333333333335
52,P-n19-k2,212,264.3464096898746,350.58301133854593,322.142304810138,19.218999231246503,1.8776666666666668
53, P-n20-k2,220,292.3331742696461,375.4924023988657,337.84758872278843,21.7427762477264,1.8940000000000003
54,P-n21-k2,211,284.83362703048687,371.85396014528044,334.6364390620034,17.431913380453278,1.9576666666666667
55,P-n22-k2,216,317.2963169840182,382.53124787267205,357.0545546947605,15.580623656242178,1.9133333333333333
56,P-n22-k8,603,667.5551141580539,747.3818843458932,700.6040035808219,19.545276568988804,2.856666666666667
57,P-n23-k8,554,556.1994050092269,643.1016411315744,611.3660019226861,19.751064732911537,2.9530000000000003
58,P-n40-k5.vrp,458,593.4493553844538,851.6138651585354,706.6808060197371,52.69820563917143,2.821
59,P-n45-k5,510,770.4052059795173,954.1062842048365,841.0260842650283,45.17563597763446,2.8776666666666673
60,P-n50-k10,696,871.2638008361636,1115.8861450396375,962.1702570278683,55.2372748712214,3.7346666666666675
61, P-n50-k7,554,775.3129104171558,936.3315215987166,856.3425532737205,48.13519995195515,3.179666666666667
62,P-n50-k8,649,775.0173646946747,1034.804069167971,904.7719156264958,54.91548678824667,3.4480000000000004
63,P-n51-k10,745,928.760990045835,1163.1329866012602,1051.5088094783005,50.80373222157737,3.8056666666666668
64,P-n55-k10,669,889.9557838542388,1220.153527063036,1003.5427761513617,68.93528934195558,3.6510000000000002
65,P-n55-k15,856,1120.2284857156553,1299.2714529006123,1213.6299050880777,43.55525040643731,4.848
66,P-n55-k7,524,810.6646391202929,919.9941373872462,871.379367904394,30.906713758751867,3.3133333333333335
67,P-n55-k8,576,816.4730544654258,1065.507113363888,936.2919919564176,61.07851520470971,3.2586666666666675
68,P-n60-k10,706,986.4018578740232,1260.678618505088,1084.9269948570209,63.21991285343329,3.841666666666667
69,P-n60-k15,905,1224.2278741267235,1398.1668832878488,1291.9526374043633,49.48200561502849,4.696999999999999
70,P-n65-k10,792,1066.5513260814346,1337.4511985258423,1183.1610342047136,59.86985819443844,3.8939999999999997
71,P-n70-k10,834,1097.2265230939772,1591.3611871824573,1225.49342539923,95.45194326409765,4.0329999999999995
72,P-n76-k4,589,932.4840598890489,1602.2938405104128,1373.0201944396258,139.09594640522496,3.346333333333333
73,P-n76-k5,631,946.1989808379095,1558.8113885818093,1309.3426593026888,181.12228289290107,3.4403333333333337
