,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,847.7522232939286,1044.7135364405922,943.1842212250582,42.67518974895784,2.728
1,A-n33-k5,661,725.5568695804352,889.4118038316643,816.9763518405658,43.76832252831035,2.379
2,A-n33-k6,742,870.5974923378793,1064.5939004062182,929.74132290882,50.10714438262421,2.491333333333334
3,A-n34-k5,778,903.929899903195,1092.5923954810428,981.9957764931584,53.270504618188944,2.375
4,A-n36-k5,799,898.1790953786143,1097.3991781059783,976.3554664916322,43.68658760310471,2.4680000000000004
5,A-n37-k5,669,775.9966426306527,947.0783345784906,828.1665938265943,36.010166317291734,2.5653333333333337
6,A-n37-k6,949,1048.5325830867196,1377.2016337006442,1188.537705731739,90.07003011249317,2.6319999999999997
7,A-n38-k5,730,841.7971947466103,1331.329183876499,1007.8551434801126,144.67999786319263,2.5639999999999996
8,A-n39-k5,822,966.2297996243703,1314.3092330088043,1092.4413935740126,89.64310961381976,2.677666666666667
9,A-n39-k6,831,923.6399725701009,1154.664668981406,1032.661266308473,50.9286287202167,2.748
10,A-n44-k6,937,1133.7969730503737,1487.3798508983887,1309.88055030546,104.57978485909665,2.806
11,A-n45-k6,944,1101.0695597568842,1311.555105279632,1203.1755414102101,54.95451908038802,3.078
12,A-n45-k7,1146,1326.6761377640207,1501.2875797597126,1392.2862962435563,48.15822452953368,3.4496666666666664
13,A-n46-k7,914,1062.5938815618329,1334.100262041054,1152.8253173090077,54.42599988824844,3.373333333333334
14,A-n48-k7,1073,1283.659535971705,1574.4408073540944,1360.4306108309381,51.73445945836263,3.286
15,A-n53-k7,1010,1249.7066601334031,1733.7261977802973,1389.0607779578606,131.40498943078512,3.089666666666666
16,A-n54-k7,1167,1379.1871819784978,1758.5891266101823,1522.3076232613685,94.9815960181771,3.043666666666667
17,A-n55-k9,1073,1275.8311769027273,1599.4329472408608,1397.3950965243996,85.11555296319645,3.3503333333333343
18,A-n60-k9,1408,1511.055380244141,1896.7700036487759,1704.2104681980961,77.7562843778269,3.3656666666666677
19,A-n61-k9,1035,1251.6011842032997,1436.6840629735848,1339.3952555281066,38.1619606221745,3.6653333333333333
20,A-n62-k8,1290,1536.0406575668726,1844.394874785805,1682.3021592594312,80.43593280634614,3.2803333333333327
21,A-n63-k10,1315,1566.6306249233758,1986.4929057685163,1719.9070846255786,105.88102099620839,3.607333333333334
22,A-n63-k9,1634,1922.254840413681,2228.4216751416047,2046.3562633883969,70.8347919904198,3.9236666666666666
23,A-n64-k9,1402,1687.770805434413,2004.7386594350655,1832.9031770050128,84.38502621201602,3.478
24,A-n65-k9,1177,1431.4234754593067,1721.422191777157,1540.3936723430693,65.03970391675782,3.642333333333333
25,A-n69-k9,1168,1354.0393034656793,1757.3106077860684,1553.5298660006238,98.23230502243719,3.6236666666666673
26,A-n80-k10,1764,2216.332038373833,2503.2843519986113,2358.9065152285298,67.52428933138745,3.8586666666666662
27,B-n31-k5,672,706.5743417645909,804.8921576753951,726.9791825695878,25.966027581034705,2.495
28,B-n34-k5,788,832.1842465277239,1056.1579502512566,915.5309994880517,55.01262892809442,2.386333333333333
29,B-n35-k5,955,1011.6013123503919,1141.6220856049163,1058.6498117145588,33.09436999043298,2.4836666666666667
30,B-n38-k6,805,853.8657937624384,952.0999783934021,887.1247114932315,23.588258375446298,2.6793333333333327
31,B-n39-k5,549,597.4930461361394,827.9470152969188,686.4581121604169,60.61893183603565,2.553333333333333
32,B-n41-k6,829,934.353754420692,1503.5635601160498,1129.2504338773892,136.17473465287117,2.687333333333334
33,B-n43-k6,742,803.93196362038,1008.4735347083807,882.6358273425303,50.852718764079604,2.7733333333333334
34,B-n44-k7,909,1013.8887644225645,1333.786460286751,1107.0489097174384,60.0992197389932,2.8473333333333333
35,B-n45-k5,751,816.4816179402272,1240.7934059685722,905.5320369473054,73.97879705428996,2.818333333333334
36,B-n45-k6,678,748.2359910275294,955.2129160800318,814.0568088227525,44.93820599041541,2.9566666666666674
37,B-n50-k7,741,811.4975971340862,1029.14072336405,900.621159327073,56.226885369916,3.049333333333334
38,B-n50-k8,1313,1399.9499090154202,1615.848290754041,1492.4585692921362,54.193828021392285,3.062333333333333
39,B-n51-k7,1032,1115.6399617531574,1808.3383691258118,1237.4665205807678,122.60514135037855,3.1619999999999995
40,B-n52-k7,747,853.0069435739449,999.1157359462717,897.4872038908619,39.947636090572345,3.0833333333333335
41,B-n56-k7,707,785.8766455958034,977.2263177948059,857.6526633069562,41.4990605100405,3.1130000000000004
42,B-n57-k7,1153,1263.8880154575104,1552.538649609967,1408.6269399958874,73.61358015243934,3.335666666666667
43,B-n57-k9,1598,1727.2254010029305,1953.225491840973,1836.4376538184151,63.75554596803369,3.378333333333333
44,B-n63-k10,1537,1754.0589808241423,2115.0530536323386,1890.8587321373122,99.50674885522272,3.5566666666666666
45,B-n64-k9,861,963.2278926847391,1250.6515660565005,1065.7808272921038,61.30700800197879,3.7216666666666667
46,B-n66-k9,1374,1496.6064719898827,1806.80827826203,1647.5680702237698,73.14614692270722,3.621333333333333
47,B-n67-k10,1033,1177.1247840503165,1664.9774642365423,1298.8846251232542,97.44215611715427,3.693
48,B-n68-k9,1304,1448.655890519028,1712.5953211702285,1575.185764353777,61.077789214557455,3.5463333333333327
49,B-n78-k10,1266,1463.15705191706,1884.453350130241,1596.186201823634,75.1233400442489,3.9003333333333337
50,P-n101-k4,681,1017.8239825455813,1192.4978025863402,1083.5394781885382,39.84591610614025,3.7323333333333344
51,P-n16-k8,435,455.0309968558884,485.810601619316,466.923378378087,8.007924514234707,2.3746666666666667
52,P-n19-k2,212,236.83238588320677,352.1225951654343,312.70767956047325,29.2255525968646,1.8006666666666669
53, P-n20-k2,220,254.3305023291916,363.1951240074439,322.28705321261066,29.55699959633643,1.8163333333333331
54,P-n21-k2,211,262.52272491885736,375.62355391407107,332.8549100847189,25.82797052867078,1.8823333333333332
55,P-n22-k2,216,295.179389198422,394.27034282271904,350.7421950431274,23.362834110153226,1.8560000000000003
56,P-n22-k8,603,615.7570481916198,705.6615520987023,665.7988054848788,20.168629070438882,2.643333333333333
57,P-n23-k8,554,558.2166434374618,632.423850566383,600.0280435166283,19.1510808881193,2.687666666666667
58,P-n40-k5.vrp,458,530.8266631238624,656.5737352196833,577.9765324838156,25.20645698068927,2.6073333333333335
59,P-n45-k5,510,642.8030975529379,789.9914763913526,706.0102043029615,39.7484340437945,2.599333333333333
60,P-n50-k10,696,779.0050800122742,1065.1065752627537,858.926166846962,69.08754797217232,3.5799999999999996
61, P-n50-k7,554,641.199527612337,807.2767564123952,710.779027107681,32.483833246209976,2.975666666666667
62,P-n50-k8,649,713.7369452798285,837.286830208799,768.93896760926,25.044174917034972,3.2790000000000004
63,P-n51-k10,745,841.075678660796,993.0128785943713,906.2070905772117,33.786569510864304,3.604333333333332
64,P-n55-k10,669,803.1442476467379,1029.894823560999,864.4966828443012,55.13103396888987,3.433666666666667
65,P-n55-k15,856,1033.6071920316579,1246.4899841698407,1134.6506428838518,47.68276362808808,4.527
66,P-n55-k7,524,640.2395962547105,770.7907532937666,711.2824349881959,33.97557023968793,3.138
67,P-n55-k8,576,695.3780934833119,915.5402674514798,798.868655034678,54.77253993157693,3.029666666666667
68,P-n60-k10,706,881.3901043929503,1131.1526588594738,960.4270662757045,49.786634453366894,3.678
69,P-n60-k15,905,1092.162960235699,1258.971790518994,1160.7735770329475,41.28220260374482,4.4416666666666655
70,P-n65-k10,792,931.8476589170474,1254.6398390794789,1070.007258647563,84.19417527776199,3.669
71,P-n70-k10,834,968.0057372458795,1473.3556057411515,1058.5172946208763,84.7843300563346,3.883
72,P-n76-k4,589,766.6929021891985,1382.044465989693,1065.8575071124337,210.0056208754766,3.2279999999999998
73,P-n76-k5,631,821.5145551740856,1589.1250394805343,997.8751855580962,205.10100156845942,3.345999999999999
