,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,897.7152325903443,1108.167813796051,972.6483929544759,51.942591290352745,2.8920000000000003
1,A-n33-k5,661,756.3804188246597,889.0380405458427,819.5287875751047,34.32252859003626,2.618333333333333
2,A-n33-k6,742,847.2750645236658,1003.2494430222987,908.6091178501312,38.40358264684563,2.765666666666667
3,A-n34-k5,778,889.4941432412802,1088.2938587275437,950.8905397246293,46.386313860592935,2.616333333333333
4,A-n36-k5,799,888.0049497536496,1082.9087238194716,968.5720366572261,46.79382396315412,2.664333333333334
5,A-n37-k5,669,787.0729695962439,904.0561739125976,841.7089566841136,31.803166894444264,2.7456666666666667
6,A-n37-k6,949,1049.4404697083264,1236.8006617385224,1133.458941317923,38.06153424768398,2.8926666666666674
7,A-n38-k5,730,825.8223987162213,1040.3545235570884,941.2112414934527,49.802217728479135,2.8843333333333323
8,A-n39-k5,822,956.1370511452313,1188.0505029149954,1037.5057040874322,48.620757180398265,2.7239999999999998
9,A-n39-k6,831,971.8117978269113,1161.1548069892735,1041.8217822268564,45.93656557894117,2.921
10,A-n44-k6,937,1084.7679989791936,1286.9138763362523,1179.937606732504,49.817957751656074,3.012666666666667
11,A-n45-k6,944,1133.3494252655216,1349.833062990756,1213.1225224084033,51.764583674168925,3.145666666666666
12,A-n45-k7,1146,1293.276939939673,1432.1836872205304,1358.9228837857195,35.36507953817457,3.0379999999999994
13,A-n46-k7,914,1075.5140173045434,1220.2559261219942,1147.7508221264227,43.66207195669445,3.140333333333333
14,A-n48-k7,1073,1224.278478760723,1427.9113330362115,1311.3662777745865,52.588802181314705,3.147666666666667
15,A-n53-k7,1010,1227.9518225931445,1482.2334249494133,1316.9046086261371,58.497408503318795,3.3296666666666663
16,A-n54-k7,1167,1370.693685722381,1592.1664405861352,1449.8817723475954,48.244688682029924,3.3493333333333326
17,A-n55-k9,1073,1243.043422249488,1416.4692920892776,1341.1820886986013,48.570731615064126,3.6649999999999996
18,A-n60-k9,1408,1572.6783290774886,1783.862631276763,1648.8233887452418,50.81657658571257,3.688
