,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,879.055653624202,1060.930421353372,970.8868230914446,42.53282647972278,2.8609999999999998
1,A-n33-k5,661,725.7368117604244,910.6525350675767,807.0168837848556,40.990292412976096,2.558
2,A-n33-k6,742,826.6258505034499,992.9389805268163,886.8630409459485,44.547932245371456,2.8890000000000002
3,A-n34-k5,778,847.8322059101813,1028.4007212569654,941.9908458725293,43.6443930770474,2.903666666666666
4,A-n36-k5,799,910.429951152779,1043.593976976861,971.7579628648709,32.59305701625345,2.995333333333333
5,A-n37-k5,669,745.7877019237014,934.2021991594466,855.1684761921747,51.45306551502716,2.845
6,A-n37-k6,949,1045.7725612109716,1197.0264182598507,1130.4741334436073,37.004030356211764,2.9816666666666665
7,A-n38-k5,730,830.415999547317,1041.4479455984124,911.9892951018829,51.002847064241294,2.8233333333333324
8,A-n39-k5,822,952.1563012859184,1107.6696736451943,1028.2921621071034,40.839227294582294,2.7626666666666666
9,A-n39-k6,831,958.6024882089048,1147.2700783867708,1046.9604939684175,50.36507642114214,2.779666666666666
10,A-n44-k6,937,1083.3331750945797,1267.6590617618601,1158.3843635909316,38.45756228263285,2.9290000000000003
11,A-n45-k6,944,1092.380153182313,1318.706057373895,1185.8150865119292,51.95235704692144,3.072333333333333
12,A-n45-k7,1146,1274.2950557491522,1412.359115151417,1329.877099143574,33.26960484836382,2.965333333333333
13,A-n46-k7,914,1052.0075170521884,1231.3022634146066,1122.0115068819077,41.68344870125041,3.0579999999999994
14,A-n48-k7,1073,1234.8208145589615,1453.7464657695564,1300.9939840735287,49.045552320961804,2.9629999999999996
15,A-n53-k7,1010,1214.924557112929,1469.5472797467357,1297.5804143896578,57.98477615765911,3.231666666666667
16,A-n54-k7,1167,1376.450155212136,1576.0244601553368,1441.1986579520772,47.771844550900184,3.240333333333333
17,A-n55-k9,1073,1231.398286328951,1431.2444659559742,1341.891288535401,53.55460679779477,3.4806666666666666
18,A-n60-k9,1408,1509.224193590059,1740.075114409707,1637.8442904916176,50.107222764371386,3.4963333333333333
19,A-n61-k9,1035,1220.1690614150903,1367.4523804497849,1297.582418091227,37.566345041732085,3.6149999999999998
20,A-n62-k8,1290,1533.4614844213168,1751.5558735195368,1614.4909587649959,51.803056821969875,3.325
21,A-n63-k10,1315,1471.59912039088,1756.1870940319782,1616.8150147289302,56.150174844847484,3.6490000000000005
22,A-n63-k9,1634,1858.6072495387662,2032.2244193301894,1949.861980217866,43.54813753226867,3.6223333333333327
23,A-n64-k9,1402,1658.952945277013,1868.97555630107,1741.9679955319627,43.96503815766602,3.502333333333333
24,A-n65-k9,1177,1422.0723196567822,1587.9548281725013,1515.7570019967031,48.54704923539687,3.710333333333333
25,A-n69-k9,1168,1368.062182235673,1717.7311403317606,1501.2625420224888,68.30364126767978,3.6509999999999994
26,A-n80-k10,1764,2131.568031179481,2379.1336634629442,2238.6515869057093,55.75219443867851,3.9206666666666674
