,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,961.2959126612325,1416.1443637541524,1055.1657481967015,84.20966524683183,2.6853333333333333
1,A-n33-k5,661,787.6602126956639,956.1405075784489,863.9721385094616,40.154640683035495,2.622
2,A-n33-k6,742,820.8942701129798,1037.739900483612,938.586783039233,46.37863358295507,2.7939999999999996
3,A-n34-k5,778,916.0421005087538,1188.915276867666,1010.6886191842617,62.5876833688319,2.635
4,A-n36-k5,799,951.6535143300338,1170.2745148956085,1046.7500952861385,60.39379428747567,2.6929999999999996
5,A-n37-k5,669,796.127879139694,1219.4824992430374,909.0410755223455,79.0743785349029,2.7893333333333326
6,A-n37-k6,949,1089.663880131111,1363.990018482861,1200.029796730876,67.57707450790951,2.9110000000000005
7,A-n38-k5,730,895.043922078064,1253.8859796202303,1035.9764920477924,91.20989726167221,2.7393333333333336
8,A-n39-k5,822,972.9707344043728,1310.0730188307537,1137.078347510712,74.34687979090852,2.772666666666666
9,A-n39-k6,831,1005.213704928384,1291.0870148902125,1126.2691858238202,76.20198911409081,2.870666666666667
10,A-n44-k6,937,1141.564231480778,1430.4858527833132,1257.486585698402,72.4879560089997,2.962666666666667
11,A-n45-k6,944,1091.0607871625537,1452.9744401650948,1273.9777091217886,77.27862997382783,3.1060000000000003
12,A-n45-k7,1146,1271.0016676912624,1520.247144233118,1410.4023600316661,53.2444275952083,3.0533333333333332
13,A-n46-k7,914,1138.43403256174,1466.9460428342609,1224.443490167956,69.49932562203418,3.123
14,A-n48-k7,1073,1273.721077805915,1456.879280284391,1377.6000951032256,43.57037282243733,3.127666666666667
15,A-n53-k7,1010,1308.6770574424033,1594.0035076700824,1423.1084096508432,80.0920004775196,3.2833333333333337
16,A-n54-k7,1167,1405.4669050099856,1801.746403389642,1557.841202485405,92.82924168792329,3.2796666666666665
17,A-n55-k9,1073,1324.1290310890115,1648.710027119646,1449.7130637901248,92.23702927468261,3.605666666666666
18,A-n60-k9,1408,1644.0614524584325,1922.5262187212684,1761.925831689583,72.43995433763095,3.629
19,A-n61-k9,1035,1312.8461000228046,1588.234548855907,1396.2886092671772,62.06675736429724,3.7773333333333334
20,A-n62-k8,1290,1653.4830657481607,1999.9117044257105,1763.6238030914742,79.17928708805943,3.4699999999999993
21,A-n63-k10,1315,1611.0443038279209,1945.5620251333362,1729.2173855664005,98.6126202296748,3.880666666666667
22,A-n63-k9,1634,1910.4232218512402,2180.770959807054,2024.1061462477808,69.86553291307987,3.8136666666666668
23,A-n64-k9,1402,1713.496294928173,2031.4878046319818,1865.0343793421735,92.45241362399557,3.731666666666667
24,A-n65-k9,1177,1540.4770845859655,1756.479155160117,1615.9978443918883,61.93102510322749,3.8566666666666665
25,A-n69-k9,1168,1478.0316072915477,1799.5878405124172,1640.4829179993721,92.36487707215903,3.8156666666666665
26,A-n80-k10,1764,2130.422701962773,2568.0630291005386,2368.652129301174,93.59576963604758,4.133
27,B-n31-k5,672,711.9207328993516,851.4071966396448,747.9707125331536,36.03265118374518,2.702333333333333
28,B-n34-k5,788,859.0560568840525,1056.1498846232416,955.3640498863361,46.29648111234823,2.6919999999999993
29,B-n35-k5,955,1030.4512067005078,1265.2583628963553,1121.963817221674,65.17363229425673,2.692666666666667
