,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,849.5672482876344,1047.6808285413463,934.9836953484222,51.65804331817057,1.7263333333333335
1,A-n33-k5,661,683.3056619480562,884.7266796619382,780.8149304957965,55.18798417827829,1.6823333333333332
2,A-n33-k6,742,777.4315938683322,1021.5742950066883,876.6967627837005,59.66513159448188,1.8579999999999999
3,A-n34-k5,778,876.9020811572955,1063.3732561597565,956.0465439247165,51.93261689678685,1.7316666666666667
4,A-n36-k5,799,887.4827725996445,1153.9158547142374,963.2109403844227,60.6357959795512,1.8336666666666663
5,A-n37-k5,669,756.8246423690068,967.5992746613072,842.7758334587446,54.56857815722551,2.0230000000000006
6,A-n37-k6,949,1068.5144419268725,1521.9907802666553,1293.4810491862752,92.3259456192019,1.9913333333333334
7,A-n38-k5,730,927.030512863995,1575.7036370723058,1215.7816977282257,181.17798191030573,1.8676666666666668
8,A-n39-k5,822,997.9993896706635,1356.1605206767897,1173.1322580761662,83.63347178229505,1.7160000000000002
9,A-n39-k6,831,940.4365667645803,1303.0020028256927,1053.768765421777,76.80863544939871,1.9943333333333333
10,A-n44-k6,937,1171.8603777934961,1566.8605253544752,1352.8837773033542,90.04536308049036,2.0669999999999997
11,A-n45-k6,944,1050.5083881604228,1325.619995907071,1185.816981179545,69.63783457954992,2.3790000000000004
12,A-n45-k7,1146,1267.879454388855,1480.9030950000965,1376.4537327234996,53.115170262897195,2.488
13,A-n46-k7,914,1055.748360203838,1328.067273016826,1138.8254120528081,58.37455824791956,2.287
14,A-n48-k7,1073,1142.596026370351,1538.0779836294594,1325.3144378227664,73.8331821313088,2.1526666666666667
15,A-n53-k7,1010,1233.8163632538985,1842.176787232595,1507.975687080864,139.03437541979818,2.364666666666666
16,A-n54-k7,1167,1485.3343926393281,2048.8736136262874,1706.5939497592412,153.75402925720175,2.232666666666667
17,A-n55-k9,1073,1254.342076706915,1529.3422104791723,1400.065157234141,75.86368861180928,2.6569999999999996
18,A-n60-k9,1408,1611.0851717542346,1946.4717515357765,1741.334690488937,75.48859150944217,2.6256666666666666
19,A-n61-k9,1035,1202.558069274297,1477.8358554824379,1357.8420456195392,59.27200700205124,3.0233333333333334
20,A-n62-k8,1290,1571.8159163963103,1862.5093780087184,1718.3515465115468,81.08109675765462,2.5570000000000004
21,A-n63-k10,1315,1551.9821025395192,1878.869131006412,1732.1123971595814,81.8859532307639,2.794333333333334
22,A-n63-k9,1634,1950.1845489259613,2413.7472574043913,2129.087777667218,120.54013543136789,2.716666666666667
23,A-n64-k9,1402,1671.0523753355876,2074.144042564028,1845.4203932712485,101.59130328039612,2.5869999999999993
24,A-n65-k9,1177,1489.6888726417603,1798.2961749707165,1629.6608458983644,78.3925411790471,2.886666666666667
25,A-n69-k9,1168,1484.089400017715,1897.5675510769483,1669.693733308269,102.85748896812959,2.8823333333333334
26,A-n80-k10,1764,2221.591721784712,2700.447151004835,2393.0141297239707,104.06811771577901,3.150666666666667
27,B-n31-k5,672,692.9486489618965,835.6702878654214,734.0689556222674,35.6148129226552,1.729666666666667
28,B-n34-k5,788,823.5698332995387,983.8520579116891,899.9061291093172,40.97193610103137,1.7873333333333332
29,B-n35-k5,955,1021.842561758254,1234.107478896133,1089.0247275501415,54.33125570900141,1.8003333333333333
30,B-n38-k6,805,837.7447236520516,1004.8792919682929,906.0942355767131,36.911650264151085,2.042
31,B-n39-k5,549,597.4364868310329,793.7549449875373,678.5432075617804,50.57198365056042,1.7946666666666666
32,B-n41-k6,829,937.1144882730803,1488.4189676699743,1135.6407359660336,106.72826077026376,1.8859999999999997
33,B-n43-k6,742,777.9045893472914,975.4964659776049,873.7569137170944,49.02328430661206,2.02
34,B-n44-k7,909,970.6205095461169,1157.5254339423586,1091.3280709756161,45.479997578669675,2.1160000000000005
35,B-n45-k5,751,850.9034635177678,1678.6344836131213,1150.7620475771205,216.25259585544043,1.789
36,B-n45-k6,678,783.1719056087629,1464.8052880618209,873.8493328988751,120.81075048685425,2.1846666666666668
37,B-n50-k7,741,841.6830047563486,1118.138788202616,1000.1983449674311,68.56111207316302,2.2566666666666664
38,B-n50-k8,1313,1373.6911955872547,1650.3611049182207,1495.9519991649183,66.10338159085738,2.284666666666667
39,B-n51-k7,1032,1122.6608341496726,1832.7965453540073,1317.523136648874,132.33065621623743,2.4703333333333335
40,B-n52-k7,747,888.3785530001044,1140.670787479432,982.1988708164184,57.30306378346607,2.4106666666666667
41,B-n56-k7,707,804.4812048136557,1077.1943898207012,934.1513144375368,63.85561832545532,2.2946666666666666
42,B-n57-k7,1153,1351.4770578718617,1712.3851522928262,1510.1876047439525,90.65018983826128,2.4923333333333333
43,B-n57-k9,1598,1755.900663593053,1984.9845836044171,1874.8948024556662,63.009156582622204,2.7010000000000005
44,B-n63-k10,1537,1757.0803040512842,2062.6882664664154,1887.8856339156996,82.68283466373076,2.733
45,B-n64-k9,861,1067.0868430967587,1351.8253755741866,1198.9043576839126,74.81680606724332,2.7596666666666665
46,B-n66-k9,1374,1491.910996578908,2321.4636584242317,1884.347104232362,198.98458633926012,2.6233333333333335
47,B-n67-k10,1033,1233.1985382638836,1625.3075457671575,1377.815392222519,95.66385954086455,2.9283333333333332
48,B-n68-k9,1304,1529.9372495849334,1897.637423446826,1665.3296833846684,85.35958307346374,2.756333333333333
49,B-n78-k10,1266,1521.0507224852054,2179.265053772755,1767.9923726378413,133.23897648185692,3.0776666666666666
50,P-n101-k4,681,1149.70038475095,1329.980051645791,1243.008196919257,45.214981683347624,2.677666666666666
51,P-n16-k8,435,451.94709212981854,477.3022112439101,462.1695526945028,6.750857110808434,1.94
52,P-n19-k2,212,284.0347538269052,352.6255548124942,328.59223520738107,14.92827003408868,0.9309999999999999
53, P-n20-k2,220,262.2271466785856,355.38391377592114,329.19272283493507,22.124947389302253,0.922
54,P-n21-k2,211,227.5916122742348,325.6282249812917,263.48310326333626,22.738239766567172,1.0423333333333331
55,P-n22-k2,216,286.1807137371263,388.8041087205859,343.9560855387146,24.064442845406578,0.9289999999999998
56,P-n22-k8,603,589.391693693543,705.9663911901043,625.3032780548349,30.448073749130067,2.1486666666666663
57,P-n23-k8,554,545.1799350460775,606.9281960569319,567.4524931386422,13.165899183567838,2.2216666666666662
58,P-n40-k5.vrp,458,513.945923470831,659.2057345899885,557.7553799561576,30.95586668589738,1.7813333333333332
59,P-n45-k5,510,577.5200420310124,732.4140337710467,659.6255334537387,43.87907985843824,1.8233333333333335
60,P-n50-k10,696,782.0226380615535,1301.7601435734357,923.9818609868356,143.67695635906014,2.630666666666667
61, P-n50-k7,554,631.0738117159361,793.7696589817193,687.8790443531386,39.359076638472615,2.136333333333333
62,P-n50-k8,649,704.9146547772732,812.6302378927463,751.5762702177477,29.61096337523851,2.432666666666667
63,P-n51-k10,745,833.0357355372545,1213.5313375968376,913.4951207146155,77.96718531991615,2.778333333333334
64,P-n55-k10,669,766.0444559855995,903.4449776609716,833.0025501394498,37.399229055030524,2.7346666666666666
65,P-n55-k15,856,1022.823564924246,1326.5914782557668,1142.9531355464778,81.68878765177384,3.619333333333334
66,P-n55-k7,524,647.0418149304785,811.378615238218,733.113429401217,40.543860575883635,2.3656666666666673
67,P-n55-k8,576,688.6334599827,946.875331088545,760.9287108741347,57.835131239672805,2.1750000000000003
68,P-n60-k10,706,911.9535429927349,1277.723600478888,1020.9417603215485,74.73658804868467,2.7033333333333336
69,P-n60-k15,905,1103.5174510724883,1331.898910141844,1182.0488516008313,59.492079602773664,3.6793333333333327
70,P-n65-k10,792,932.6438373370612,1226.6332709549229,1089.0152138257283,82.01775070537902,2.8186666666666667
71,P-n70-k10,834,990.3003844924957,1221.502837939382,1074.5468885029356,55.80109141849689,3.273
72,P-n76-k4,589,882.7382038151983,1211.7666687957053,1077.0456754211923,79.82292071629648,2.084
73,P-n76-k5,631,1028.8931253372316,1514.5931699999978,1264.374763120138,123.51436796797499,2.1456666666666666
