,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,796.0250505390184,1043.3682134676578,910.0324004591624,47.95125101621755,2.7830000000000004
1,A-n33-k5,661,699.055842304529,894.2358426474248,755.9179227109041,47.969418424199056,2.6959999999999997
2,A-n33-k6,742,777.8134760747314,920.7119929415024,836.3230149285445,38.060345801698915,2.7686666666666673
3,A-n34-k5,778,811.2261839815517,949.8244861573261,867.3967218797764,32.0298921615208,2.775666666666667
4,A-n36-k5,799,835.047027048091,984.7863882280062,926.0399627809704,33.89516527733022,3.074
5,A-n37-k5,669,724.8475380207879,877.3642134882494,804.072467982861,37.88615417913313,2.9636666666666667
6,A-n37-k6,949,1025.3674718674044,1230.512929323717,1108.581043019444,43.575703871873685,2.9
7,A-n38-k5,730,838.8935037067292,1051.5732183974476,931.9937762463334,52.36540050132186,2.8016666666666667
8,A-n39-k5,822,910.8563334075751,1090.3649385811218,990.9272994019223,43.590948053377204,2.7986666666666666
9,A-n39-k6,831,897.5437236264354,1086.0604304782737,994.4751669307282,45.72522144499048,3.0423333333333327
10,A-n44-k6,937,1047.8291858079822,1209.0501300877277,1135.4098946657452,45.38214034594326,3.050333333333334
11,A-n45-k6,944,1055.9017180183405,1338.573396100806,1185.009463178595,57.68958154370822,3.3970000000000002
12,A-n45-k7,1146,1232.148596919614,1403.7868669942854,1310.0001942314818,41.60190519193928,3.4283333333333332
13,A-n46-k7,914,1047.0834183524003,1221.9317148249863,1118.6677371947474,45.057366087591866,3.501
14,A-n48-k7,1073,1203.306641864063,1381.0999920342185,1289.3065338886051,50.4992787630206,3.5566666666666666
15,A-n53-k7,1010,1202.2341432755807,1414.0346437039602,1290.4820503995504,59.91865195475711,3.469
16,A-n54-k7,1167,1296.342902004607,1582.7629696692504,1439.5430049382812,58.77611150809426,3.420666666666668
17,A-n55-k9,1073,1200.143924017439,1432.99533442501,1310.177686766186,55.37079704734842,4.168333333333333
18,A-n60-k9,1408,1556.5078205454554,1733.4643435581645,1650.547868773498,45.869409542207656,3.8713333333333333
19,A-n61-k9,1035,1249.2585298426234,1452.0244151226577,1343.9755574327169,53.73567408423712,4.218666666666667
20,A-n62-k8,1290,1525.5466580189213,1733.9908699463456,1624.7386053034875,55.66288700815709,3.960666666666666
21,A-n63-k10,1315,1502.3644716490003,1746.7258594511995,1611.9893956928213,65.03247088712347,4.041
22,A-n63-k9,1634,1898.7828516974505,2303.3770758250566,2034.9261088403214,79.58115658769009,4.101333333333334
