,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,886.7959464012106,1107.5359005254104,996.1376411439436,47.256441590672374,3.0543333333333336
1,A-n33-k5,661,779.999456427695,1014.4072551141421,845.4243184497592,53.165816036077516,2.85
2,A-n33-k6,742,814.9768659056338,951.3549298075717,894.3965242701792,32.265124060179865,2.9473333333333334
3,A-n34-k5,778,883.5223931600547,1033.8338268343189,956.2426699426932,37.72111061520853,2.9036666666666666
4,A-n36-k5,799,914.3795941089072,1056.2738994297943,992.4633843774308,37.82287151871972,2.935666666666667
5,A-n37-k5,669,801.7787520861423,1008.7888000526136,880.870165410906,43.08432288418416,3.0480000000000005
6,A-n37-k6,949,1077.71210011443,1306.4401591999301,1166.5918688991371,52.52736810207294,3.0873333333333335
7,A-n38-k5,730,857.8557792847641,1035.9800631188327,955.1692057681178,46.56486495747093,3.165
8,A-n39-k5,822,954.5548035338265,1161.9476072005173,1057.3506413818398,53.05161775525297,2.9556666666666667
9,A-n39-k6,831,962.648906948446,1163.667318439271,1059.427520998213,53.22449140595647,3.2819999999999996
10,A-n44-k6,937,1106.0945209348845,1385.9957787862484,1229.6811866212388,60.2371062145331,3.282000000000001
11,A-n45-k6,944,1100.171177648626,1435.0377397686273,1223.481409354059,60.88094685745431,3.4740000000000006
12,A-n45-k7,1146,1313.5760451796066,1489.226953798098,1386.186609023395,44.930703952060355,3.4166666666666665
13,A-n46-k7,914,1089.8146172791965,1288.3935443853893,1168.3520978896993,45.52126330233814,3.4393333333333334
14,A-n48-k7,1073,1240.3223416625285,1425.029053441151,1333.9566783816308,41.87610220733821,3.3963333333333328
15,A-n53-k7,1010,1238.7286083308784,1463.1387992471905,1332.369575050436,52.38201502031535,3.6129999999999995
16,A-n54-k7,1167,1375.4589346764892,1663.430753542785,1496.0307197338213,66.86295290338575,3.662333333333334
17,A-n55-k9,1073,1269.7972848831896,1529.1338563605173,1380.3064190354976,61.4987848973056,3.7479999999999998
18,A-n60-k9,1408,1564.0591998083025,1798.830130099714,1702.981026856071,56.86994166921386,3.7916666666666665
19,A-n61-k9,1035,1235.8402600320162,1525.5412985223702,1333.5411534390266,53.930649692405645,4.144666666666667
20,A-n62-k8,1290,1531.153857428929,1796.243668030322,1681.056917869216,59.126179969039526,4.146
21,A-n63-k10,1315,1570.6399841711093,1800.964320395369,1669.6161284920288,56.425318195642774,4.296
22,A-n63-k9,1634,1901.6872124852816,2135.702038546754,2006.1572960863934,53.30303238534657,4.260333333333333
23,A-n64-k9,1402,1703.1400822631738,2005.1077852611618,1797.750476135019,72.82885505676444,3.9626666666666663
24,A-n65-k9,1177,1474.5467459469407,1737.2537378518448,1592.988197423594,72.28899787854314,4.170333333333333
25,A-n69-k9,1168,1460.2019296964345,1679.0766657727083,1564.2882304996776,52.09601315352836,4.391666666666667
26,A-n80-k10,1764,2173.048441993407,2430.4539847611773,2303.576635903179,63.81605353476539,4.972
27,B-n31-k5,672,707.5087848940476,838.1560314149691,737.1210666673159,27.371394186322508,3.447666666666666
28,B-n34-k5,788,825.5354131373917,1015.4393908410225,911.8309744137387,41.244932350019226,3.379666666666667
29,B-n35-k5,955,1029.7528280005486,1363.4626661572831,1102.9744661107761,67.44381381966055,3.4853333333333336
30,B-n38-k6,805,860.528043662746,976.7296461616623,912.6254658308851,27.947323226935552,3.3210000000000006
31,B-n39-k5,549,613.3706311818687,786.1445337815705,702.0310368699669,42.68431122141071,3.319
32,B-n41-k6,829,896.9259793094814,1171.6203749651288,1049.1680343209368,63.79163543025184,3.383666666666666
