,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,864.9525887990283,1041.7960231775571,941.5736636228563,49.023871414179204,2.363666666666667
1,A-n33-k5,661,732.7358119464961,925.2593105559115,794.7517303081331,44.464737683153885,2.315
2,A-n33-k6,742,797.9922389024593,962.4626480996454,891.0676703341691,43.45317257632932,2.442333333333333
3,A-n34-k5,778,841.2514952799095,1026.4038359431875,917.6288803223869,49.904219391122005,2.3219999999999996
4,A-n36-k5,799,894.294512922382,1081.9600816840248,973.2734098889716,41.07978263117598,2.3603333333333336
5,A-n37-k5,669,742.6093204883497,926.8666205713782,848.0331365085659,42.884814455972574,2.429666666666667
6,A-n37-k6,949,1069.9454226850528,1257.1555583856107,1154.453313192142,47.58232748089573,2.564333333333333
7,A-n38-k5,730,840.0486478170692,1041.809515885673,920.3762192356808,43.83267131490494,2.4856666666666665
8,A-n39-k5,822,954.2175220789884,1118.2993696752997,1035.4952036674324,43.791783444566896,2.4560000000000004
9,A-n39-k6,831,956.8184929403592,1109.58132760836,1028.1009403042613,39.12636606876716,2.545666666666667
10,A-n44-k6,937,1079.6681465011002,1227.5564319249452,1163.4600280976117,40.57561000250013,2.727333333333333
11,A-n45-k6,944,1104.3053539795899,1350.068074664157,1200.5845139901623,66.8241590679564,2.7883333333333336
12,A-n45-k7,1146,1266.543915986307,1430.7975954453248,1368.5693576436995,40.324835784061136,2.742
13,A-n46-k7,914,1078.7388727523517,1252.25038826818,1146.7098857152646,44.80202624482858,2.793666666666667
14,A-n48-k7,1073,1259.9876599700485,1433.8192651020588,1337.422472560007,44.39699221829558,2.8043333333333336
15,A-n53-k7,1010,1186.8350230099418,1417.0074806757389,1311.4399277579603,58.86253530690036,3.0090000000000003
16,A-n54-k7,1167,1347.7595076302844,1610.7667510922847,1496.3432656767664,57.45758697252631,2.995333333333333
17,A-n55-k9,1073,1260.2526280911595,1449.4279791665044,1367.8165720966629,52.46889790103881,3.306
18,A-n60-k9,1408,1602.2726266741583,1767.6325693933297,1699.0207562520804,45.671122588212384,3.3063333333333333
