,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,850.2575324115455,994.6723172802051,904.3441118132135,33.00681947188642,2.2296666666666667
1,A-n33-k5,661,691.6945486675075,825.5900651202812,768.8565304584547,35.75795417133472,2.212333333333333
2,A-n33-k6,742,770.807159071185,935.5582054493408,838.9432215936275,36.66437931786722,2.1506666666666665
3,A-n34-k5,778,817.7392230231085,978.6925247892723,876.8520210613082,38.309348149937776,1.991
4,A-n36-k5,799,864.115418129755,967.4542389112507,922.0452910548601,26.683933822052296,2.0766666666666667
5,A-n37-k5,669,740.7375016949491,965.3293954381029,812.8778854687831,44.181133959281944,2.1046666666666667
6,A-n37-k6,949,1039.1320404028459,1251.2192381775485,1120.9656727498998,51.34277105000604,2.2353333333333336
7,A-n38-k5,730,819.7315188220507,1051.8016788141715,910.2110534428906,60.34518123861322,2.436
8,A-n39-k5,822,900.3270731008208,1183.604785529707,994.5370106543039,58.28656105438386,2.217
9,A-n39-k6,831,918.6830115966179,1070.3049083605708,979.417476160813,45.339917579625485,2.2953333333333332
10,A-n44-k6,937,1086.2914685981061,1257.0976993079428,1157.520819424564,46.704898844517366,2.2506666666666666
11,A-n45-k6,944,1061.2174379570079,1287.960820022464,1148.9031606383562,44.21793742151396,2.5103333333333335
12,A-n45-k7,1146,1238.5292183665392,1407.8105618973198,1319.6601407522073,37.598465674013916,2.483
13,A-n46-k7,914,1022.243695693873,1182.0801765042636,1085.6093699805335,38.915839161504294,2.452666666666666
14,A-n48-k7,1073,1196.8517544468095,1369.4826171141794,1276.385677412942,38.7116896762807,2.4669999999999996
15,A-n53-k7,1010,1189.2642567484108,1442.4032554144806,1296.303883875643,69.24086145150999,2.4473333333333334
16,A-n54-k7,1167,1319.042227172723,1554.9741617436205,1426.3365658567013,55.3673626464005,2.506
17,A-n55-k9,1073,1196.1287160350535,1444.8162799634806,1287.8687452126687,49.203615286951255,2.734
18,A-n60-k9,1408,1512.2912207851966,1733.6878624768372,1619.534930962792,50.362317568363906,2.831
19,A-n61-k9,1035,1187.1546230517788,1471.0200106832085,1279.0439296621278,56.94416611700475,3.0066666666666664
20,A-n62-k8,1290,1499.3615661761771,1718.910792879538,1590.7868574818497,60.61299624134617,2.7613333333333325
21,A-n63-k10,1315,1495.437499507389,1824.0831946884255,1627.3095296140136,71.5360288441106,3.0273333333333334
22,A-n63-k9,1634,1863.6095153026888,2168.9558798362077,2001.895706187613,78.28951395399243,2.9939999999999998
23,A-n64-k9,1402,1622.1158797626604,1865.1272018256043,1711.010261618646,52.82546990807541,2.8683333333333336
24,A-n65-k9,1177,1386.8627183257897,1622.66245204429,1503.73076671562,57.308197762142846,3.063
25,A-n69-k9,1168,1372.8398984885712,1579.0353171683876,1478.4539201290052,59.00095487622499,2.961666666666666
26,A-n80-k10,1764,2105.0005659410044,2408.1655962108857,2229.4274025885975,61.36232088560112,3.2329999999999997
27,B-n31-k5,672,691.9317935281379,732.919957514338,705.1785296972265,9.309072835025061,1.9996666666666665
28,B-n34-k5,788,816.3920047552135,944.0177300740623,853.6864246083449,33.85881435544548,1.915
29,B-n35-k5,955,1003.0218469100307,1161.9493952476118,1050.5652296782716,40.70136390598972,2.023333333333333
30,B-n38-k6,805,834.5936239995025,930.6500648083332,879.6339855948822,26.70736330811968,2.208666666666667
31,B-n39-k5,549,589.940333925242,749.5009764020366,645.1181612937962,37.882230007740695,2.0973333333333333
32,B-n41-k6,829,908.7544693171028,1198.759928687143,997.7697960414818,62.648695492784874,2.1383333333333336
33,B-n43-k6,742,791.0569042051139,899.3981896857852,845.2406482218652,31.85408421908011,2.294
34,B-n44-k7,909,972.3188778598676,1192.9834414973948,1049.8767787137137,44.263865899325715,2.3666666666666667
35,B-n45-k5,751,793.0614806132768,1066.7894848765818,917.5088193469729,67.50026253182943,2.2473333333333327
36,B-n45-k6,678,739.8481962385156,880.9796884042927,803.1508092138614,35.45269642900906,2.4243333333333337
37,B-n50-k7,741,800.3601530611147,1062.213455451215,906.3993547055749,56.88891096242754,2.5229999999999992
38,B-n50-k8,1313,1364.4935168981174,1539.0972685294312,1432.9949799414433,44.00596834787115,2.5660000000000003
39,B-n51-k7,1032,1083.3832620120156,1337.972271346029,1210.7590507441685,69.31799883934286,2.691
40,B-n52-k7,747,833.194174761459,1040.1164933987852,913.4083877737497,46.33369565820201,2.566666666666666
41,B-n56-k7,707,795.987858872582,994.2144838488003,866.2381973578962,47.073138362574845,2.6090000000000004
42,B-n57-k7,1153,1284.291071356258,1631.535981301401,1414.7692686446428,81.65446667677583,2.683
43,B-n57-k9,1598,1711.933210158665,1917.5834993151227,1797.7768536271042,49.984986549809335,2.797333333333334
44,B-n63-k10,1537,1654.1029756534226,1882.3699221120148,1755.104723553359,63.15951257099619,3.044666666666666
45,B-n64-k9,861,931.6955080464672,1194.1177238552177,1075.609788420573,70.90585168100694,3.05
46,B-n66-k9,1374,1476.4444686210966,1759.010682053904,1627.4135298300785,59.22242993965657,2.9619999999999993
47,B-n67-k10,1033,1197.5177848066357,1423.4783251653414,1280.5878262183012,55.593561748400795,3.095
48,B-n68-k9,1304,1435.3531228567824,1697.0841834396304,1537.5374262906446,64.81780128183004,2.957666666666667
49,B-n78-k10,1266,1466.2604712261875,1711.4416943664237,1576.8657037157413,68.62114198748796,3.196666666666667
50,P-n101-k4,681,1070.9099063883136,1299.687916511297,1157.0868870681888,48.478865311095944,3.0820000000000003
