,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,915.2005352316635,1174.0241284056324,1013.3734106569995,58.87368094371231,2.8566666666666665
1,A-n33-k5,661,779.2851183333046,949.2021302703697,850.5490134276063,39.98367996691252,2.6296666666666666
2,A-n33-k6,742,826.1718707227038,999.6367110876131,911.2222866994646,44.26367412303031,2.742
3,A-n34-k5,778,856.39973529545,1071.2941234839486,987.2578532622742,44.80184430416761,2.6073333333333326
4,A-n36-k5,799,904.5357012257265,1126.6859375432355,1020.3521464487269,48.4528838060129,2.7576666666666667
5,A-n37-k5,669,788.2623835616911,1127.6031855623794,904.8834668602391,77.86471740740406,2.7230000000000003
6,A-n37-k6,949,1047.950662102007,1404.2460306685266,1171.545314449452,63.58299844759931,3.250333333333333
7,A-n38-k5,730,822.9773377537658,1215.4036586466848,991.4548884805866,80.59231711583519,2.922
8,A-n39-k5,822,958.0106886073215,1216.6725519551906,1088.9505437846724,61.87720506982521,2.8549999999999995
9,A-n39-k6,831,992.7913621168883,1230.5458509398456,1102.731672039673,61.164637900383774,2.9753333333333334
10,A-n44-k6,937,1167.6743935007134,1428.0500327572192,1247.8462444821478,58.4358720172759,3.3156666666666665
11,A-n45-k6,944,1130.7226189685248,1426.6700840690833,1289.3869137518304,78.12146902234957,3.6316666666666664
12,A-n45-k7,1146,1323.9998751852577,1439.7832989543244,1387.2673424095133,33.38874271818809,3.2776666666666663
13,A-n46-k7,914,1080.3616441715337,1318.031106699003,1198.78719305353,63.49924135823447,3.455333333333334
14,A-n48-k7,1073,1236.2063015656784,1463.3815654597458,1353.7499396798005,60.51569335916233,3.3520000000000008
15,A-n53-k7,1010,1247.1657167636347,1613.5667702289963,1411.4694665130557,80.59351792492325,3.666666666666667
16,A-n54-k7,1167,1426.3040792616312,1815.8727899837504,1549.4184762213306,96.90599817794164,3.450666666666667
17,A-n55-k9,1073,1317.1558916150022,1540.7722155025306,1407.8692956967943,63.53747761352213,3.761333333333333
18,A-n60-k9,1408,1610.0827857200295,1870.1936638369389,1728.5647676776714,62.87940941814936,3.637
19,A-n61-k9,1035,1242.0892332739738,1484.5032701227192,1388.9543716958103,56.93876585640773,3.725333333333333
20,A-n62-k8,1290,1623.3133582050912,1998.926168953039,1740.1270504582233,81.53077935610537,3.681333333333334
21,A-n63-k10,1315,1566.5055459847927,1849.821420081465,1710.835526735951,70.99414481477292,3.982999999999999
22,A-n63-k9,1634,1928.8223169153175,2226.315699469822,2031.959014126439,62.375056146671305,4.096666666666667
23,A-n64-k9,1402,1714.4061964080697,2048.994789992288,1835.644616558362,76.13286536302601,4.299666666666667
24,A-n65-k9,1177,1541.8413900519463,1862.3627833923656,1667.7513722393837,76.05245435535207,4.0969999999999995
25,A-n69-k9,1168,1506.2486863035986,1832.440757191883,1650.5542941370743,86.76914481599182,3.941333333333334
26,A-n80-k10,1764,2245.2321390676766,2455.9221925931483,2350.5804414181493,58.40928812091467,4.082333333333334
27,B-n31-k5,672,707.9590808221653,856.7435609877803,759.5964590936127,42.69447518759756,2.636666666666667
28,B-n34-k5,788,858.956161275207,1111.7849136368652,958.20622451336,61.244551543199655,2.5886666666666676
29,B-n35-k5,955,1052.2219476777154,1441.8215890655313,1140.996109974869,76.13550587418334,2.643666666666667
30,B-n38-k6,805,853.6593061908625,1066.195974234208,949.007736631147,48.28766248590411,2.8470000000000004
31,B-n39-k5,549,664.1535371313091,983.005703779274,789.2482071381186,72.41504181798189,2.681333333333334
32,B-n41-k6,829,924.6450091641248,1338.248803662794,1089.500537570796,79.10278447223256,2.901666666666666
33,B-n43-k6,742,857.3411476891292,1024.640004855628,926.0968071117419,40.1761482143823,2.8913333333333333
34,B-n44-k7,909,1040.4760380150524,1218.181853054062,1121.5592113585851,53.810561608232305,3.305333333333333
