,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,849.2682886777397,1005.5887400415511,925.2312329797888,37.57474044644072,4.179666666666667
1,A-n33-k5,661,697.5736226999384,888.5586206669692,769.2576395896862,44.66546945521274,3.4596666666666662
2,A-n33-k6,742,768.0601379456787,899.2129091446745,838.8730590470954,35.33715790828498,3.550666666666666
3,A-n34-k5,778,810.2689022971484,935.5575704041569,888.6137722229556,30.38332223046519,3.488
4,A-n36-k5,799,859.1200135531515,1021.3200133187978,916.7844634856007,34.8476095549255,3.5540000000000003
5,A-n37-k5,669,728.32811795133,892.6654822002754,817.6513410704865,39.784610576524415,3.6643333333333326
6,A-n37-k6,949,1028.0666833965004,1197.5483933716846,1089.9637272183459,38.25240582095057,3.7100000000000004
7,A-n38-k5,730,799.7288823786716,970.2619477605432,887.3500536239337,38.61899524999795,3.6919999999999993
8,A-n39-k5,822,900.7343387230262,1041.7856655421444,977.9082826432289,40.116843539983996,3.6606666666666667
9,A-n39-k6,831,919.6011710013084,1085.5032861225334,994.8126450775385,47.94580153264579,3.7536666666666667
10,A-n44-k6,937,999.265964682218,1207.0322425966092,1111.204125478422,46.93754867746658,3.8886666666666665
11,A-n45-k6,944,1079.6104988612199,1278.392288794233,1177.830722365773,56.26906135441945,4.113
12,A-n45-k7,1146,1247.5510212839595,1366.8379424185468,1307.9319469016443,31.58232278828751,4.004999999999999
13,A-n46-k7,914,1020.1749922986718,1217.2276359641417,1113.097113926261,42.989310260323606,4.137666666666666
14,A-n48-k7,1073,1173.6785236695102,1395.874871668295,1299.5912436073393,42.708961326675,4.134333333333334
15,A-n53-k7,1010,1160.6112851066541,1409.8320234243554,1270.2821219832524,61.22253937566947,4.191666666666666
16,A-n54-k7,1167,1368.228520649751,1600.0998911728134,1462.3244381017282,50.59537730952947,4.261666666666667
17,A-n55-k9,1073,1233.4453276400473,1442.6680256783663,1334.7791775619237,62.42832102185068,4.457
18,A-n60-k9,1408,1570.449812501755,1742.1837622242585,1662.3566238678443,43.514538514142245,4.514666666666668
19,A-n61-k9,1035,1214.5706753081947,1486.882854669115,1314.7106020995684,59.44425384887406,4.6946666666666665
20,A-n62-k8,1290,1495.2598236970234,1705.2832432664927,1611.7316609012955,55.9559868090483,4.463
21,A-n63-k10,1315,1504.6899731986118,1761.024973597706,1635.7605917808116,70.29646031831935,4.835666666666667
22,A-n63-k9,1634,1840.572569954704,2172.3147376068528,1994.59840499285,59.90954086069907,4.727333333333334
23,A-n64-k9,1402,1619.2083128925642,1906.5928983309564,1749.5316068042675,62.31124145811806,4.632666666666667
24,A-n65-k9,1177,1439.4463387019387,1728.1667146165469,1574.8383467041504,73.90287615171079,4.815333333333333
25,A-n69-k9,1168,1465.6818903941466,1760.6749783380349,1587.557286345741,62.06171483974583,4.831999999999999
26,A-n80-k10,1764,2244.5529681615794,2481.046143559166,2337.6267758342597,61.25495708542539,5.069333333333334
27,B-n31-k5,672,690.9324852097731,774.9458326440645,711.9202984193591,16.046703832572092,3.6373333333333333
28,B-n34-k5,788,807.6600583712438,980.160214541823,875.754375338823,45.08006732826318,3.622333333333334
29,B-n35-k5,955,964.608673390014,1179.5459161349224,1045.3686947211847,49.15988626630526,3.680333333333334
30,B-n38-k6,805,833.6854857496174,950.2107078425807,873.7447240857462,30.476721079774723,3.897666666666667
31,B-n39-k5,549,581.9046510888529,833.5825011095178,679.9232541531989,59.46512081014768,3.842333333333334
32,B-n41-k6,829,894.3818087313715,1119.8025689420033,985.9755526772074,59.096863107025285,3.7933333333333334
33,B-n43-k6,742,797.4043977928112,947.5785703319985,864.0699084233642,42.656826856269866,3.841666666666667
