,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,856.9123696634592,1188.1156363920943,1013.9332791163016,73.43449153126055,2.385333333333333
1,A-n33-k5,661,711.6371193302685,928.3879400449791,811.9416358965029,52.053395467526684,2.3753333333333333
2,A-n33-k6,742,810.614179196104,995.2237044004016,917.9881594855158,43.19352339355129,2.5436666666666667
3,A-n34-k5,778,838.0827163766411,1020.2132997373333,932.5910968532934,46.993932524127494,2.3833333333333333
4,A-n36-k5,799,869.1985309820974,1097.892538818071,967.3851214194173,60.96167812476946,2.4293333333333327
5,A-n37-k5,669,778.277035397995,960.8837136567945,862.7902878963929,52.25988682299162,2.436
6,A-n37-k6,949,1056.1959134281212,1269.8886900284313,1136.5119521569497,50.91622674549913,2.6716666666666664
7,A-n38-k5,730,855.2351709090345,1078.8787764409344,967.3285959437337,55.0316870040781,2.518333333333333
8,A-n39-k5,822,928.969502695373,1110.5272704159368,1021.0882909202688,48.07827770385469,2.5260000000000007
9,A-n39-k6,831,965.3331406442817,1234.976852945827,1074.9594338799113,60.01516009091245,2.628
10,A-n44-k6,937,1079.91701763025,1305.069889983928,1183.2389145159314,54.60905656305942,2.7603333333333335
11,A-n45-k6,944,1136.8199341858997,1445.080618495418,1268.1118822765575,71.28033549690753,2.8350000000000004
12,A-n45-k7,1146,1208.4570138851177,1428.4564745393159,1342.8903873999982,44.70427539982574,2.8123333333333336
13,A-n46-k7,914,1044.0027964419037,1311.1370325072276,1191.234939481251,66.03123287702255,2.833
14,A-n48-k7,1073,1209.5193471579764,1446.213697537549,1351.5044184846731,46.98790190507558,2.8636666666666666
15,A-n53-k7,1010,1257.4196784893911,1606.9191936861162,1391.1783122300576,79.49628332621371,3.0286666666666666
16,A-n54-k7,1167,1359.8298877540687,1627.0254987025992,1491.0604621320329,63.98503565404164,3.0676666666666663
17,A-n55-k9,1073,1232.6945452096606,1573.8786039317254,1447.0684026133094,71.30967655284734,3.359666666666666
