,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,798.9433619570968,992.0144395976215,905.1235649607139,50.05178764520351,2.369333333333333
1,A-n33-k5,661,692.3195362480291,815.300877006533,742.2454774384079,33.869292117695295,2.3116666666666665
2,A-n33-k6,742,746.7429846841343,914.4061048842975,821.9932763500766,32.66759369225094,2.3946666666666667
3,A-n34-k5,778,798.9401631845519,967.5446445815953,873.8326425523442,38.110866242837396,2.263666666666666
4,A-n36-k5,799,853.8453365600476,1006.9000380841587,916.9420552801519,38.54947119804814,2.378
5,A-n37-k5,669,718.2701485428175,951.3881960250883,818.3122345680464,51.6759349655746,2.3449999999999998
6,A-n37-k6,949,966.9766939783503,1133.8220936244302,1053.0783567561236,43.88568404144523,2.389333333333334
7,A-n38-k5,730,783.4419894962916,983.1942127748905,883.5101557824346,45.155372981818054,2.181333333333333
8,A-n39-k5,822,883.9451627389818,1021.406818441515,960.9584942535945,31.475325592708316,2.219666666666667
9,A-n39-k6,831,913.9662987943946,1134.959663273782,1015.8509371082304,51.03571180954667,2.46
10,A-n44-k6,937,1022.9524548755217,1197.3909577087547,1096.451474696721,50.163790346419574,2.501333333333333
11,A-n45-k6,944,1123.576625547244,1336.795731098336,1209.914311163203,54.130191154883605,2.7693333333333334
12,A-n45-k7,1146,1249.906132206689,1388.4729380341644,1316.9568630858344,41.18120671345137,2.7150000000000007
13,A-n46-k7,914,1061.7813403248615,1249.4329191931022,1138.2237112110722,51.84852891408202,2.7479999999999998
14,A-n48-k7,1073,1205.9703262445887,1427.5935544429028,1305.078625951483,55.06310665311122,2.827
15,A-n53-k7,1010,1161.4475414595104,1426.1907561084165,1268.5991838193672,70.11534304553982,3.0286666666666666
16,A-n54-k7,1167,1315.7502886138898,1550.0591505129391,1421.1000477612213,49.38398500478379,2.821
17,A-n55-k9,1073,1186.4525338963845,1421.8818416807953,1309.7693323728352,49.02624931623884,3.3893333333333326
18,A-n60-k9,1408,1600.359866143728,1798.736797316802,1689.2808193153135,48.02030450093021,3.4530000000000003
19,A-n61-k9,1035,1235.9657708499576,1552.3854518769156,1384.790247744449,67.76399641593031,3.513666666666667
20,A-n62-k8,1290,1532.604710707321,1856.7441775028587,1682.508832814882,80.63647393157342,3.19
21,A-n63-k10,1315,1475.4711939944318,1821.0722932176352,1640.9263328459963,74.77397278957775,3.537999999999999
22,A-n63-k9,1634,1812.577330460646,2199.6852263759647,2005.161783368391,91.9139964435086,3.355
23,A-n64-k9,1402,1577.7379017912995,1782.1629343392183,1707.0388051873467,40.428343285620954,3.3183333333333334
24,A-n65-k9,1177,1482.030763167596,1815.0276257683463,1663.542394092837,77.8832812058719,3.5573333333333337
25,A-n69-k9,1168,1424.94515144366,1790.9554618766715,1603.9410626542704,73.59318459599822,3.5686666666666667
26,A-n80-k10,1764,2129.343981319408,2530.4624350678373,2293.5531883057038,78.54346521272346,3.848666666666666
