,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,834.59877403166,1092.3756428017205,935.110708765419,62.93223598205329,2.737333333333334
1,A-n33-k5,661,702.3813427096699,857.3782230866796,781.6025953321655,42.553008558364795,2.6223333333333323
2,A-n33-k6,742,760.1555752949805,929.9249598720678,842.7034651624236,37.508531146070645,2.6983333333333337
3,A-n34-k5,778,814.7325512958705,1044.8275989040696,895.6996986928758,45.345691421168006,2.466666666666667
4,A-n36-k5,799,851.547321655215,1102.6894585807952,947.8569727780634,53.86664535511584,2.529000000000001
5,A-n37-k5,669,737.8025790663319,922.8657515738203,846.7158802559771,48.78212116367407,2.5379999999999994
6,A-n37-k6,949,1027.469842303491,1186.3029588503975,1098.4091086146107,40.88432286937588,2.586666666666667
7,A-n38-k5,730,816.2895005740855,1070.2990646956825,952.4931011694255,58.09846835491847,2.444666666666666
8,A-n39-k5,822,919.0181242501322,1103.4242492177927,1003.1562705479404,53.32409631704088,2.471333333333333
9,A-n39-k6,831,950.757752597963,1121.588885912271,1012.1214566660053,45.648481103070644,2.625666666666667
10,A-n44-k6,937,1048.1446116343375,1267.762877652929,1151.6230255879657,50.68773078736921,2.6483333333333334
11,A-n45-k6,944,1093.3306391972194,1288.599252936518,1177.961442918311,52.93365726604984,2.9579999999999997
12,A-n45-k7,1146,1220.9049357232104,1421.210559032071,1310.6069536774473,51.715062822448495,2.9016666666666664
13,A-n46-k7,914,1007.8240752470165,1242.4432022877256,1128.116233978052,50.648407097616605,2.9466666666666663
14,A-n48-k7,1073,1170.0369546325605,1369.8983013405034,1271.378641263138,41.57020465739225,2.9336666666666664
15,A-n53-k7,1010,1223.5589680180642,1427.5216720907217,1321.4360588950053,58.25503572785279,3.006333333333333
16,A-n54-k7,1167,1359.1880344699973,1617.2640551337968,1455.2821354165555,67.61118618421855,2.977
17,A-n55-k9,1073,1239.658334600738,1564.6821638841304,1347.120288109571,71.80730469609568,3.298666666666667
18,A-n60-k9,1408,1499.4518626765587,1838.2297518713929,1663.944102361687,81.49791480929534,3.393333333333333
19,A-n61-k9,1035,1204.9609419537478,1426.2669873640486,1321.3379386466138,56.70526096641562,3.5623333333333336
20,A-n62-k8,1290,1536.834822279214,1801.7075179283183,1683.7876878274951,65.45046361765579,3.245
21,A-n63-k10,1315,1494.7201489093682,1829.5129502775671,1610.9335460624923,77.14595773164726,3.5649999999999995
22,A-n63-k9,1634,1865.0442390618814,2114.143903578326,1985.0766367200235,60.731235552278704,3.4763333333333337
23,A-n64-k9,1402,1585.55100542714,1870.2124919739483,1733.7820921676748,68.32163499167893,3.3936666666666673
24,A-n65-k9,1177,1446.4277032147716,1781.1711916776476,1579.1929729855444,70.58285096715856,3.6236666666666664
25,A-n69-k9,1168,1427.1534365568314,1694.3685219062122,1557.2658944198454,53.20257224883799,3.503999999999999
26,A-n80-k10,1764,2130.8614941568308,2467.000299103735,2266.7757247092763,74.31324103782401,3.805666666666667
27,B-n31-k5,672,694.3160575062942,810.4108092864006,720.8900977865259,27.60944413670023,2.447666666666666
28,B-n34-k5,788,810.6285085011873,977.1868942459146,878.8381671518222,37.870369813523496,2.3920000000000003
29,B-n35-k5,955,975.5016262115848,1279.7131227023344,1066.9954127079675,59.76188276959245,2.4499999999999997
30,B-n38-k6,805,828.6461954969363,1001.6881054253414,899.481285650908,47.45934846356856,2.6453333333333338
