,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,830.3998640968712,1090.0702686601355,943.9988086684223,55.02146747991061,2.369333333333333
1,A-n33-k5,661,732.7517849816101,897.6657600273879,814.465208919569,40.385461221620496,2.2743333333333333
2,A-n33-k6,742,807.2619254305407,990.5786064565089,882.04909218327,48.06201842771786,2.380666666666667
3,A-n34-k5,778,840.7604400637993,1048.1768303608296,956.7323655717988,53.58115308156417,2.250666666666667
4,A-n36-k5,799,892.4481349426369,1049.507005023634,984.6115749428817,34.84552071108995,2.3376666666666663
5,A-n37-k5,669,780.0377805484143,956.0518323723473,843.8627875696016,38.62659234479164,2.433333333333334
6,A-n37-k6,949,1092.9005447186928,1252.9397197519943,1185.762024871332,43.84376090622877,2.4546666666666668
7,A-n38-k5,730,828.4536382539985,1159.0631996519817,936.1760385966473,72.41629412449639,2.441666666666667
8,A-n39-k5,822,935.7654353718738,1153.6952289849237,1046.8558287459502,52.73476073438304,2.3329999999999997
9,A-n39-k6,831,944.1084247859278,1086.4212759885977,1016.5516354304167,40.71056697995478,2.500333333333333
10,A-n44-k6,937,1085.4023175244445,1392.9795345822563,1203.9536884868935,75.2092228409503,2.595
11,A-n45-k6,944,1081.051402510021,1313.7422979851606,1187.534698150231,63.33051101223052,2.7973333333333334
12,A-n45-k7,1146,1274.8539524359912,1515.229512732931,1372.0853570146817,45.403549716067,2.701
13,A-n46-k7,914,1034.1723632101134,1205.6695282592154,1127.5546456898003,36.7746654787116,2.792666666666667
14,A-n48-k7,1073,1230.1410522598203,1408.2140994793745,1321.301776732976,42.14338137061284,2.7576666666666663
15,A-n53-k7,1010,1209.3058844168363,1531.599721288352,1339.562899276152,72.5488535200119,2.883666666666666
16,A-n54-k7,1167,1383.3087236990023,1619.9772389368231,1504.9981446208565,57.6041457796613,2.9043333333333337
17,A-n55-k9,1073,1243.1993991361564,1443.3064870996204,1357.4941578589257,51.962704190479435,3.1846666666666668
18,A-n60-k9,1408,1564.2801150336559,1849.4337705867865,1671.7167570600059,59.677171523076986,3.2159999999999997
19,A-n61-k9,1035,1232.495591812766,1467.925415240853,1335.8167275542978,46.0639818275082,3.4013333333333335
20,A-n62-k8,1290,1552.3480068641647,1843.3231408592305,1654.2671620248773,70.74125025303401,3.1189999999999998
21,A-n63-k10,1315,1508.4785938521397,1838.5494383472792,1685.9244467465533,65.73757664322797,3.431666666666667
22,A-n63-k9,1634,1902.76793979954,2154.289738085153,2021.3041949518476,57.536838258129045,3.4596666666666667
23,A-n64-k9,1402,1688.9208554466607,1890.5841701624151,1784.9131663358703,49.30271257381601,3.2920000000000003
24,A-n65-k9,1177,1453.9071471742554,1662.0534452179868,1543.349093859117,54.87574836979644,3.512666666666667
25,A-n69-k9,1168,1456.8261262380697,1797.0830857141923,1573.6511661507636,62.55291783544924,3.4120000000000004
26,A-n80-k10,1764,2174.693240752141,2488.642259319269,2314.015155933387,73.58526904269864,3.7149999999999994
