,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,884.5507843769607,1099.648447097215,986.4463213309482,53.95361297686782,2.438
1,A-n33-k5,661,741.3615154445421,944.6733922372084,843.0453729696015,50.34559083793162,3.9683333333333337
2,A-n33-k6,742,781.8513696545859,1033.220969601647,895.3669916225986,55.653287973115305,5.082
3,A-n34-k5,778,876.2303092379716,1073.336179342964,956.1779130830787,55.39748648953191,4.739999999999999
4,A-n36-k5,799,923.3506366881536,1136.1905367150066,1009.943866416868,51.87736250493212,4.813000000000001
5,A-n37-k5,669,804.7005372613157,1005.1041024157365,899.8542195087648,44.200560578919564,4.772333333333332
6,A-n37-k6,949,1007.2013550997937,1199.726754347403,1128.1931986782615,49.15520502299626,5.316000000000001
7,A-n38-k5,730,866.4069943937744,1112.8375109043682,955.6368609765435,56.8034568957262,5.056
8,A-n39-k5,822,925.3498362946925,1138.919078364663,1042.038005236261,56.35955828589022,4.923
9,A-n39-k6,831,946.2405426518862,1192.2553773546713,1075.8834883366355,67.35535336964429,5.168000000000001
10,A-n44-k6,937,1093.6637085951133,1299.8624898471148,1182.5159967987136,53.514866020458,5.390000000000001
11,A-n45-k6,944,1100.525018555511,1402.7734483777112,1250.8198171883612,74.69053332966479,5.621333333333334
12,A-n45-k7,1146,1238.1325833508904,1463.2506570296825,1348.1534462471934,47.52265244849402,5.604333333333332
13,A-n46-k7,914,1088.945506404723,1358.7501170641744,1205.263447607847,68.51685556823429,5.569333333333334
14,A-n48-k7,1073,1236.5352551099131,1490.1701821112545,1376.264717619482,60.46969504816508,5.717666666666665
15,A-n53-k7,1010,1257.522880779171,1491.3825318885283,1381.6621420137014,65.11896181895233,5.941333333333334
16,A-n54-k7,1167,1325.436914721445,1696.7002608281662,1515.4510887631227,69.32503745048983,6.034000000000001
17,A-n55-k9,1073,1309.6811559302637,1557.7939732342136,1427.5526862179527,66.70454652819922,6.521999999999999
18,A-n60-k9,1408,1582.360053822165,1923.7884179305715,1715.1049177880045,74.96676998562101,6.543000000000001
19,A-n61-k9,1035,1300.2628072905266,1560.142229539835,1411.522557877065,75.68041997508766,6.930000000000001
20,A-n62-k8,1290,1612.9145063375245,1887.309742684018,1729.3581561581539,64.92543448020278,6.358999999999998
21,A-n63-k10,1315,1581.5219490371228,1904.6767450139446,1732.9900467186553,74.30140009893353,5.785
22,A-n63-k9,1634,1877.3221573416963,2180.4427706960073,2060.5800082389032,71.66532013660787,3.478
23,A-n64-k9,1402,1690.426992524198,2011.0178363642704,1830.4997794322976,76.07423910934722,3.4073333333333338
24,A-n65-k9,1177,1584.6358852061362,1895.3596388258773,1728.1195342464985,76.86130366310037,3.4876666666666662
25,A-n69-k9,1168,1578.6044922459894,1808.5857430840015,1688.4904835023917,63.582511055889825,3.4666666666666672
26,A-n80-k10,1764,2304.7597725782275,2558.807953991982,2419.651015251926,71.07845224970556,3.7363333333333335
27,B-n31-k5,672,712.1500440333924,855.0616607796671,766.5004251624252,45.70906012124547,2.3506666666666667
28,B-n34-k5,788,826.7341511557163,1039.8050972884355,945.5342610914753,61.92904104559876,2.3816666666666664
29,B-n35-k5,955,1028.3424679812067,1281.5065724182841,1155.6779998379093,80.4824702551679,2.4283333333333332
30,B-n38-k6,805,871.2147644924315,1091.131759862142,954.4707808314199,59.37073987277731,2.5733333333333333
31,B-n39-k5,549,643.8120798549947,992.0010165209228,811.5422155773414,79.37184298130856,2.457
32,B-n41-k6,829,961.906694073493,1255.159111161428,1078.682428485131,73.67889132985019,2.5153333333333334
33,B-n43-k6,742,775.2434070930132,1043.63100864985,934.8835846994157,55.28710492983318,2.4536666666666664
34,B-n44-k7,909,1014.3752225667085,1314.6449771518146,1142.7914558515079,71.00125409830788,2.6516666666666664
35,B-n45-k5,751,845.9026183897722,1220.4856623078742,1056.2814784819573,84.13010506192543,2.4726666666666666
36,B-n45-k6,678,792.8845628856681,1036.241834446913,892.1148043842594,48.91136366218345,2.6216666666666666
37,B-n50-k7,741,936.0538628719697,1312.7227067916847,1110.4754763519663,89.11051798957129,2.7206666666666663
38,B-n50-k8,1313,1395.7523321321041,1617.9298748151275,1486.1217419450015,56.85132625665681,2.8239999999999994
39,B-n51-k7,1032,1283.5454195232553,1795.7560119909347,1530.4464367049618,132.93865669283545,2.9306666666666668
40,B-n52-k7,747,962.0499064887465,1422.463420073698,1126.441008280775,91.81374490301765,2.8196666666666674
41,B-n56-k7,707,913.5769026416167,1278.7855948843917,1100.2832169702924,96.87540399087787,3.0560000000000005
42,B-n57-k7,1153,1439.554217417126,1873.2336524652799,1654.6950339527589,103.2603169868955,3.2376666666666667
43,B-n57-k9,1598,1789.3975720580067,2060.337060334012,1921.0664084754649,78.9783974646333,3.3813333333333335
44,B-n63-k10,1537,1856.4591591385338,2360.7566607443814,2008.6984691853916,109.97103617106035,3.5313333333333334
45,B-n64-k9,861,1166.1536656179198,1455.999000473906,1328.3617348178127,77.51925927579892,3.4496666666666664
