,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,844.4912686812776,784,2.82
1,A-n33-k5,683.2670525281369,661,1.88
2,A-n33-k6,746.7429846841342,742,1.84
3,A-n34-k5,795.5128259645364,778,1.9
4,A-n36-k5,882.7988581292905,799,1.89
5,A-n37-k5,739.8574325128618,669,1.98
6,A-n37-k6,1000.2470645884274,949,1.81
7,A-n38-k5,764.1236553696863,730,2.0
8,A-n39-k5,882.4841183046287,822,2.06
9,A-n39-k6,848.0859088996582,831,2.2
10,A-n44-k6,973.9909324860383,937,2.35
11,A-n45-k6,1011.470640714354,944,3.9
12,A-n45-k7,1154.4267598044646,1146,2.34
13,A-n46-k7,947.7410278956493,914,2.69
14,A-n48-k7,1141.7037608834419,1073,2.15
15,A-n53-k7,1094.0190975300447,1010,2.46
16,A-n54-k7,1193.5915559726516,1167,2.26
17,A-n55-k9,1105.1815606834034,1073,2.54
18,A-n60-k9,1399.6555086599355,1408,2.22
19,A-n61-k9,1074.104103521867,1035,2.63
20,A-n62-k8,1365.3378954264385,1290,2.11
21,A-n63-k10,1398.7250160427295,1315,2.69
22,A-n63-k9,1697.1909506751456,1634,3.03
23,A-n64-k9,1461.2485249646465,1402,2.51
24,A-n65-k9,1279.4080823753156,1177,2.68
25,A-n69-k9,1235.06493838961,1168,2.71
26,A-n80-k10,1915.3976985350034,1764,2.92
27,B-n31-k5,682.7779642373242,672,1.83
28,B-n34-k5,926.9787120960676,788,1.83
29,B-n35-k5,989.5479698728693,955,1.84
30,B-n38-k6,833.9682908991158,805,2.05
31,B-n39-k5,565.9318716304032,549,1.99
32,B-n41-k6,895.3718207430604,829,2.13
33,B-n43-k6,758.4650293954959,742,1.89
34,B-n44-k7,949.7526316891306,909,2.0
35,B-n45-k5,757.7651032921577,751,2.03
36,B-n45-k6,726.6490478029386,678,2.34
37,B-n50-k7,749.1156985817248,741,2.45
38,B-n50-k8,1361.8344290993766,1313,2.34
39,B-n51-k7,1180.9321507740738,1032,2.49
40,B-n52-k7,806.5311173194168,747,2.46
41,B-n56-k7,747.8508102880313,707,2.78
42,B-n57-k7,1287.53235218128,1153,2.5
43,B-n57-k9,1657.6248889403842,1598,2.45
44,B-n63-k10,1631.5177955238144,1537,2.82
45,B-n64-k9,923.6654606156636,861,2.61
46,B-n66-k9,1362.846252628014,1374,2.93
47,B-n67-k10,1103.366337648841,1033,2.75
48,B-n68-k9,1318.7216206641901,1304,2.54
49,B-n78-k10,1322.2416268979289,1266,2.85
50,P-n101-k4,750.9056901946582,681,2.39
51,P-n16-k8,473.7821123645115,435,2.71
52,P-n19-k2,220.64313526472102,212,1.5
53, P-n20-k2,240.98212302462625,220,1.26
54,P-n21-k2,234.1287293109946,211,1.55
55,P-n22-k2,247.03615966386315,216,1.45
56,P-n22-k8,588.7935242586069,603,2.52
57,P-n23-k8,538.0509693851773,554,2.38
58,P-n40-k5.vrp,524.0380029267802,458,1.86
59,P-n45-k5,555.5211862232816,510,2.01
60,P-n50-k10,736.6074766128636,696,2.57
61, P-n50-k7,610.503791976452,554,2.33
62,P-n50-k8,656.5373753337302,649,2.55
63,P-n51-k10,811.2768928474339,745,2.6
64,P-n55-k10,729.4604775366857,669,2.47
65,P-n55-k15,994.0859257800947,856,3.75
66,P-n55-k7,598.6808933662873,524,2.32
67,P-n55-k8,618.154940706962,576,2.3
68,P-n60-k10,812.2743146247251,706,2.51
69,P-n60-k15,1020.8281573853363,905,3.74
70,P-n65-k10,852.1246697087837,792,2.54
71,P-n70-k10,875.6887012565262,834,2.91
72,P-n76-k4,672.8512225973537,589,2.27
73,P-n76-k5,690.7247426336592,631,2.42
