,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845937,784,1.87
1,A-n33-k5,718.5513350368063,661,1.48
2,A-n33-k6,751.83017057034,742,1.89
3,A-n34-k5,809.7571638388457,778,1.46
4,A-n36-k5,882.0057868268536,799,1.37
5,A-n37-k5,741.8801892296074,669,1.43
6,A-n37-k6,1003.0505155014907,949,1.48
7,A-n38-k5,772.2283714979427,730,1.32
8,A-n39-k5,890.1935333673202,822,1.57
9,A-n39-k6,877.9520705524718,831,1.57
10,A-n44-k6,992.7826504314047,937,2.26
11,A-n45-k6,1031.1273738065145,944,1.74
12,A-n45-k7,1164.2985962071855,1146,1.91
13,A-n46-k7,952.1071732726224,914,1.91
14,A-n48-k7,1181.33344581394,1073,1.49
15,A-n53-k7,1117.82688996681,1010,3.02
16,A-n54-k7,1217.0151956876994,1167,1.63
17,A-n55-k9,1121.9740810751216,1073,2.27
18,A-n60-k9,1419.9216404443964,1408,2.27
19,A-n61-k9,1090.39937263234,1035,2.11
20,A-n62-k8,1390.4206561250608,1290,1.97
21,A-n63-k10,1403.1370588879583,1315,2.5
22,A-n63-k9,1726.425102389244,1634,2.34
23,A-n64-k9,1501.1101454657653,1402,2.15
24,A-n65-k9,1307.656633668488,1177,2.09
25,A-n69-k9,1262.2993050415105,1168,2.33
26,A-n80-k10,1939.5787861460349,1764,2.67
27,B-n31-k5,686.8448463366142,672,1.42
28,B-n34-k5,929.9076749535598,788,1.79
29,B-n35-k5,1012.391650829176,955,1.22
30,B-n38-k6,835.0379007317633,805,1.74
31,B-n39-k5,573.7136304115662,549,1.63
32,B-n41-k6,912.7090092016948,829,1.79
33,B-n43-k6,767.3126797713243,742,1.83
34,B-n44-k7,963.5038778047825,909,1.97
35,B-n45-k5,762.7522029073107,751,1.83
36,B-n45-k6,728.6079506819724,678,1.83
37,B-n50-k7,763.5810317219975,741,2.04
38,B-n50-k8,1371.1236950189661,1313,3.89
39,B-n51-k7,1194.599373270884,1032,1.91
40,B-n52-k7,809.8795336839046,747,1.67
41,B-n56-k7,750.4894090012738,707,1.71
42,B-n57-k7,1290.3762820800582,1153,2.06
43,B-n57-k9,1669.980478083597,1598,2.19
44,B-n63-k10,1639.6259132361813,1537,2.62
45,B-n64-k9,928.7543955519844,861,2.18
46,B-n66-k9,1405.3201268500354,1374,2.31
47,B-n67-k10,1110.9311254485544,1033,2.37
48,B-n68-k9,1331.908690574546,1304,2.1
49,B-n78-k10,1334.0878173296694,1266,2.5
50,P-n101-k4,770.3795889491385,681,1.67
51,P-n16-k8,478.7711300654122,435,1.58
52,P-n19-k2,220.64313526472102,212,0.85
53, P-n20-k2,240.98212302462625,220,0.97
54,P-n21-k2,241.87817088866103,211,0.93
55,P-n22-k2,247.03615966386315,216,1.05
56,P-n22-k8,589.3916936935431,603,1.62
57,P-n23-k8,563.5222590258683,554,1.83
58,P-n40-k5.vrp,524.0380029267802,458,1.23
59,P-n45-k5,566.7250447176649,510,1.45
60,P-n50-k10,739.3420385559932,696,2.27
61, P-n50-k7,617.015486614702,554,1.75
62,P-n50-k8,681.5554657387637,649,2.05
63,P-n51-k10,819.7590327169936,745,2.01
64,P-n55-k10,741.379094713896,669,2.06
65,P-n55-k15,995.4406336342014,856,3.02
66,P-n55-k7,626.1813077169431,524,1.52
67,P-n55-k8,626.2758512036752,576,1.63
68,P-n60-k10,818.2940462544586,706,2.11
69,P-n60-k15,1028.572363831265,905,3.13
70,P-n65-k10,863.2232537608397,792,2.08
71,P-n70-k10,895.6582070337042,834,2.36
72,P-n76-k4,684.2551857847227,589,1.69
73,P-n76-k5,717.657127918071,631,1.72
