,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,855.5082411662697,784,1.78
1,A-n33-k5,718.5513350368063,661,1.42
2,A-n33-k6,746.9497406496887,742,1.27
3,A-n34-k5,816.4745780143622,778,1.49
4,A-n36-k5,888.2316464523527,799,1.24
5,A-n37-k5,741.8801892296074,669,1.49
6,A-n37-k6,1008.1776388500602,949,2.16
7,A-n38-k5,792.0561668603833,730,1.95
8,A-n39-k5,901.3395644236048,822,1.74
9,A-n39-k6,918.1579508150792,831,1.58
10,A-n44-k6,998.0052430113652,937,1.7
11,A-n45-k6,1031.1273738065145,944,1.53
12,A-n45-k7,1165.6109628854786,1146,1.76
13,A-n46-k7,975.4422454179263,914,3.34
14,A-n48-k7,1179.337220782574,1073,1.62
15,A-n53-k7,1110.9500419312558,1010,1.91
16,A-n54-k7,1223.172596136,1167,1.68
17,A-n55-k9,1125.603402055354,1073,1.83
18,A-n60-k9,1439.028224953517,1408,2.02
19,A-n61-k9,1096.3187343576703,1035,2.27
20,A-n62-k8,1395.0663899017457,1290,1.94
21,A-n63-k10,1414.733651233783,1315,2.44
22,A-n63-k9,1734.829849664036,1634,2.07
23,A-n64-k9,1498.807833436847,1402,2.11
24,A-n65-k9,1302.3564632244122,1177,2.28
25,A-n69-k9,1268.768065204611,1168,2.37
26,A-n80-k10,1944.6829553818359,1764,2.43
27,B-n31-k5,687.0442468700239,672,1.54
28,B-n34-k5,931.7850790371988,788,1.62
29,B-n35-k5,1021.8032558318636,955,1.75
30,B-n38-k6,835.0254990618632,805,1.75
31,B-n39-k5,581.5755263832237,549,1.43
32,B-n41-k6,915.1084314817427,829,1.86
33,B-n43-k6,765.6638692645248,742,1.67
34,B-n44-k7,962.0079934425974,909,1.54
35,B-n45-k5,774.7982737145749,751,1.54
36,B-n45-k6,738.0184292395145,678,1.6
37,B-n50-k7,763.5534951683534,741,1.73
38,B-n50-k8,1369.8832982159904,1313,1.69
39,B-n51-k7,1196.773844711706,1032,1.85
40,B-n52-k7,814.2177541801494,747,1.76
41,B-n56-k7,754.4467519624011,707,2.14
42,B-n57-k7,1289.6266338732469,1153,2.03
43,B-n57-k9,1668.7464782568688,1598,2.32
44,B-n63-k10,1656.9409237724274,1537,2.77
45,B-n64-k9,934.3632051811863,861,2.66
46,B-n66-k9,1406.555265314989,1374,2.37
47,B-n67-k10,1114.3249302911966,1033,2.27
48,B-n68-k9,1348.3398947891035,1304,2.27
49,B-n78-k10,1345.7013741590906,1266,2.37
50,P-n101-k4,772.1287166994392,681,1.89
51,P-n16-k8,478.7711300654122,435,1.65
52,P-n19-k2,220.64313526472102,212,0.89
53, P-n20-k2,240.98212302462625,220,1.06
54,P-n21-k2,241.87817088866103,211,0.99
55,P-n22-k2,249.24778279110046,216,1.04
56,P-n22-k8,589.3916936935431,603,1.55
57,P-n23-k8,563.5222590258683,554,1.65
58,P-n40-k5.vrp,524.0380029267802,458,2.64
59,P-n45-k5,555.5211862232816,510,3.31
60,P-n50-k10,742.6716388087791,696,2.39
61, P-n50-k7,617.015486614702,554,1.91
62,P-n50-k8,667.9582277322689,649,2.12
63,P-n51-k10,821.6878489929594,745,2.34
64,P-n55-k10,751.3797123668428,669,2.37
65,P-n55-k15,995.4406336342014,856,3.25
66,P-n55-k7,619.6992083616058,524,2.19
67,P-n55-k8,626.2758512036752,576,1.96
68,P-n60-k10,818.7125237130529,706,2.28
69,P-n60-k15,1033.7863242179012,905,3.23
70,P-n65-k10,862.8005175535138,792,2.13
71,P-n70-k10,892.3710515042152,834,2.43
72,P-n76-k4,699.4570892812155,589,1.88
73,P-n76-k5,726.1352621875453,631,1.72
