,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,840.4981679594893,784,2.22
1,A-n33-k5,691.0354547182637,661,2.07
2,A-n33-k6,746.7429846841342,742,1.74
3,A-n34-k5,801.752093942384,778,1.85
4,A-n36-k5,871.0461918226354,799,1.96
5,A-n37-k5,739.7462493341739,669,2.13
6,A-n37-k6,1000.2470645884274,949,1.92
7,A-n38-k5,756.0980627985823,730,2.24
8,A-n39-k5,872.1394482348378,822,1.97
9,A-n39-k6,883.417500347211,831,2.15
10,A-n44-k6,982.2939730541788,937,2.05
11,A-n45-k6,1001.0945918203093,944,2.19
12,A-n45-k7,1154.4267598044646,1146,2.37
13,A-n46-k7,946.9262386336136,914,2.22
14,A-n48-k7,1159.0962915757473,1073,2.69
15,A-n53-k7,1078.2683410253728,1010,2.62
16,A-n54-k7,1204.8599408737102,1167,2.52
17,A-n55-k9,1099.1483834482326,1073,2.41
18,A-n60-k9,1391.675615934617,1408,2.5
19,A-n61-k9,1077.4407327194929,1035,2.74
20,A-n62-k8,1367.334205549223,1290,2.49
21,A-n63-k10,1405.970385914281,1315,2.76
22,A-n63-k9,1686.6368567477616,1634,2.55
23,A-n64-k9,1458.0034213462197,1402,2.48
24,A-n65-k9,1265.4785966122095,1177,2.74
25,A-n69-k9,1229.2380306084858,1168,2.61
26,A-n80-k10,1922.834307689557,1764,2.77
27,B-n31-k5,682.7779642373242,672,2.06
28,B-n34-k5,926.9787120960676,788,2.31
29,B-n35-k5,1007.4677036150647,955,2.01
30,B-n38-k6,834.8822298083627,805,2.12
31,B-n39-k5,574.602805042131,549,2.21
32,B-n41-k6,901.2469817662019,829,2.58
33,B-n43-k6,754.7008757027976,742,2.27
34,B-n44-k7,950.6710061988147,909,2.23
35,B-n45-k5,764.6309304044928,751,2.2
36,B-n45-k6,726.6490478029386,678,2.16
37,B-n50-k7,756.095169374964,741,2.53
38,B-n50-k8,1368.9432305658916,1313,2.3
39,B-n51-k7,1187.7041717746174,1032,2.31
40,B-n52-k7,809.6570359322757,747,2.27
41,B-n56-k7,750.7077915163492,707,2.6
42,B-n57-k7,1282.823190711327,1153,2.36
43,B-n57-k9,1656.2519249256861,1598,2.25
44,B-n63-k10,1630.8297558311997,1537,2.89
45,B-n64-k9,931.2100351915412,861,2.58
46,B-n66-k9,1413.1465623025908,1374,2.73
47,B-n67-k10,1100.2601877601242,1033,2.9
48,B-n68-k9,1323.441794201673,1304,2.63
49,B-n78-k10,1329.9637024441558,1266,2.97
50,P-n101-k4,758.6885387451067,681,2.9
51,P-n16-k8,473.7821123645115,435,2.23
52,P-n19-k2,220.64313526472102,212,1.64
53, P-n20-k2,240.98212302462625,220,1.7
54,P-n21-k2,241.87817088866103,211,1.66
55,P-n22-k2,249.24778279110046,216,1.54
56,P-n22-k8,588.7935242586069,603,2.12
57,P-n23-k8,545.2278394670176,554,2.21
58,P-n40-k5.vrp,524.0380029267802,458,2.24
59,P-n45-k5,565.5993047696993,510,2.04
60,P-n50-k10,734.8183054113751,696,2.81
61, P-n50-k7,610.503791976452,554,2.43
62,P-n50-k8,661.6473069820571,649,2.32
63,P-n51-k10,810.4641218321292,745,2.89
64,P-n55-k10,731.1542676745926,669,2.45
65,P-n55-k15,991.0607786695557,856,3.63
66,P-n55-k7,611.0582140147677,524,2.39
67,P-n55-k8,623.6174574931622,576,2.53
68,P-n60-k10,797.8942159973873,706,2.44
69,P-n60-k15,1010.0004476881408,905,3.68
70,P-n65-k10,854.275214468356,792,2.91
71,P-n70-k10,880.2324686375263,834,3.12
72,P-n76-k4,663.3823910589765,589,2.68
73,P-n76-k5,694.0955306461742,631,2.49
