,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845937,784,3.16
1,A-n33-k5,726.0443968088298,661,2.58
2,A-n33-k6,753.4638559892887,742,2.89
3,A-n34-k5,809.6304358393013,778,3.28
4,A-n36-k5,884.2952907750914,799,2.44
5,A-n37-k5,739.7462493341739,669,2.72
6,A-n37-k6,1008.707424359539,949,2.81
7,A-n38-k5,786.026563945698,730,3.18
8,A-n39-k5,930.7344242885116,822,2.53
9,A-n39-k6,929.5337220171537,831,2.58
10,A-n44-k6,1016.0297958496252,937,2.79
11,A-n45-k6,1026.0547225649543,944,3.25
12,A-n45-k7,1171.6329563624051,1146,3.07
13,A-n46-k7,985.1080426734268,914,2.79
14,A-n48-k7,1195.6707539356273,1073,2.86
15,A-n53-k7,1111.9616807299994,1010,3.26
16,A-n54-k7,1233.3377392901225,1167,2.91
17,A-n55-k9,1138.8701291535858,1073,3.18
18,A-n60-k9,1431.9221139542572,1408,3.15
19,A-n61-k9,1097.9897383612338,1035,3.38
20,A-n62-k8,1396.6514860324082,1290,3.1
21,A-n63-k10,1415.826767888264,1315,3.58
22,A-n63-k9,1736.7304722685851,1634,3.51
23,A-n64-k9,1464.0935138835705,1402,3.28
24,A-n65-k9,1294.7228568284365,1177,3.52
25,A-n69-k9,1271.8657980513224,1168,3.69
26,A-n80-k10,1949.0660726175872,1764,3.51
27,B-n31-k5,687.0442468700239,672,2.67
28,B-n34-k5,932.59306008254,788,2.76
29,B-n35-k5,1027.9240293959542,955,2.41
30,B-n38-k6,842.0485699616847,805,2.92
31,B-n39-k5,596.1051167748944,549,2.67
32,B-n41-k6,902.3027098562027,829,3.16
33,B-n43-k6,770.0547965806717,742,2.95
34,B-n44-k7,952.8393337120302,909,2.85
35,B-n45-k5,780.5619521819209,751,2.9
36,B-n45-k6,736.5760669708806,678,2.82
37,B-n50-k7,774.5519651958745,741,3.01
38,B-n50-k8,1369.8832982159904,1313,3.08
39,B-n51-k7,1191.5511967562234,1032,3.26
40,B-n52-k7,818.394925457431,747,3.25
41,B-n56-k7,763.6107666402735,707,3.31
42,B-n57-k7,1286.2398461558155,1153,3.26
43,B-n57-k9,1667.8961022014582,1598,3.56
44,B-n63-k10,1669.919183524148,1537,3.44
45,B-n64-k9,938.3800449614488,861,3.44
46,B-n66-k9,1420.9167730780332,1374,3.42
47,B-n67-k10,1129.1586773518131,1033,3.57
48,B-n68-k9,1345.380780197755,1304,3.26
49,B-n78-k10,1343.0317123878376,1266,4.09
50,P-n101-k4,777.0838629543997,681,4.01
51,P-n16-k8,473.7821123645115,435,2.77
52,P-n19-k2,220.64313526472102,212,2.72
53, P-n20-k2,240.98212302462625,220,2.86
54,P-n21-k2,241.87817088866103,211,2.66
55,P-n22-k2,249.24778279110046,216,2.85
56,P-n22-k8,588.7935242586069,603,2.69
57,P-n23-k8,543.4221270412532,554,2.93
58,P-n40-k5.vrp,524.0380029267802,458,2.94
59,P-n45-k5,572.0171459461702,510,2.86
60,P-n50-k10,739.0359794397827,696,3.27
61, P-n50-k7,617.015486614702,554,3.14
62,P-n50-k8,688.4360828763454,649,3.37
63,P-n51-k10,821.6878489929594,745,3.36
64,P-n55-k10,747.487647051613,669,3.73
65,P-n55-k15,995.0924667803407,856,4.1
66,P-n55-k7,623.2591294980767,524,3.09
67,P-n55-k8,628.9068468105927,576,3.34
68,P-n60-k10,812.2102527577631,706,3.55
69,P-n60-k15,1036.911979775233,905,3.95
70,P-n65-k10,877.1598378760773,792,3.49
71,P-n70-k10,885.9540062479456,834,3.79
72,P-n76-k4,684.8314799858762,589,3.95
73,P-n76-k5,722.2739000524301,631,3.74
