,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845937,784,2.46
1,A-n33-k5,725.7460583136552,661,2.13
2,A-n33-k6,753.3939424501257,742,1.89
3,A-n34-k5,802.740288067217,778,2.06
4,A-n36-k5,871.4482716669237,799,2.04
5,A-n37-k5,695.7515043526787,669,2.04
6,A-n37-k6,1008.3901017067208,949,2.39
7,A-n38-k5,783.7795470100535,730,2.48
8,A-n39-k5,928.6690980089667,822,2.19
9,A-n39-k6,920.9388517131084,831,2.03
10,A-n44-k6,1004.9542823751782,937,2.65
11,A-n45-k6,1009.6705361595276,944,2.28
12,A-n45-k7,1169.7781749093642,1146,2.48
13,A-n46-k7,957.2160746302162,914,2.28
14,A-n48-k7,1181.7447402515982,1073,2.46
15,A-n53-k7,1105.1170991674617,1010,2.65
16,A-n54-k7,1230.0830287765234,1167,2.05
17,A-n55-k9,1127.817126942909,1073,2.18
18,A-n60-k9,1433.4652689718514,1408,3.18
19,A-n61-k9,1097.9897383612338,1035,2.71
20,A-n62-k8,1396.6514860324082,1290,2.47
21,A-n63-k10,1415.826767888264,1315,3.3
22,A-n63-k9,1705.8515893747601,1634,2.49
23,A-n64-k9,1465.4083507992127,1402,3.08
24,A-n65-k9,1284.885952465447,1177,2.89
25,A-n69-k9,1267.0199717769244,1168,2.91
26,A-n80-k10,1926.6484295961652,1764,2.88
27,B-n31-k5,685.650808939984,672,2.04
28,B-n34-k5,930.9786481463133,788,2.13
29,B-n35-k5,1007.838969511969,955,2.24
30,B-n38-k6,837.9875386948962,805,2.16
31,B-n39-k5,596.1051167748944,549,1.96
32,B-n41-k6,905.5365920712899,829,2.08
33,B-n43-k6,769.8456235065391,742,2.2
34,B-n44-k7,953.3328560765103,909,2.43
35,B-n45-k5,772.4174251079672,751,2.48
36,B-n45-k6,731.565061146241,678,2.29
37,B-n50-k7,773.1878754123047,741,2.24
38,B-n50-k8,1344.9790727507852,1313,2.22
39,B-n51-k7,1186.9391553895364,1032,2.7
40,B-n52-k7,818.3011540147826,747,2.66
41,B-n56-k7,763.6107666402735,707,2.61
42,B-n57-k7,1209.1150343794855,1153,2.56
43,B-n57-k9,1657.3257545926017,1598,2.35
44,B-n63-k10,1666.3162993556216,1537,2.65
45,B-n64-k9,923.6619239783812,861,2.83
46,B-n66-k9,1411.1877632966196,1374,2.57
47,B-n67-k10,1126.5898011562958,1033,2.81
48,B-n68-k9,1331.152592582451,1304,2.65
49,B-n78-k10,1342.591297415858,1266,3.02
50,P-n101-k4,777.0838629543997,681,2.95
51,P-n16-k8,451.9470921298186,435,2.1
52,P-n19-k2,220.64313526472102,212,1.74
53, P-n20-k2,217.41558334616658,220,1.43
54,P-n21-k2,212.71153970290385,211,1.78
55,P-n22-k2,238.296827549354,216,1.7
56,P-n22-k8,588.7935242586069,603,2.19
57,P-n23-k8,546.4215005122796,554,2.53
58,P-n40-k5.vrp,524.0380029267802,458,1.85
59,P-n45-k5,559.7146231771044,510,2.08
60,P-n50-k10,734.376768510562,696,2.9
61, P-n50-k7,612.6661201840893,554,2.33
62,P-n50-k8,677.4493400761752,649,2.57
63,P-n51-k10,790.9911453359724,745,2.76
64,P-n55-k10,735.4007006549989,669,2.61
65,P-n55-k15,974.39013631953,856,3.69
66,P-n55-k7,623.2591294980767,524,3.69
67,P-n55-k8,628.9068468105927,576,2.84
68,P-n60-k10,804.3328497963142,706,3.05
69,P-n60-k15,1009.4911236590457,905,3.66
70,P-n65-k10,873.7668936886528,792,3.02
71,P-n70-k10,885.4447723844638,834,2.84
72,P-n76-k4,677.8817304030051,589,2.75
73,P-n76-k5,716.5952341194884,631,2.56
