,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,840.4981679594893,784,1.62
1,A-n33-k5,706.0731945961243,661,1.51
2,A-n33-k6,746.7429846841342,742,1.66
3,A-n34-k5,801.2987577859861,778,1.44
4,A-n36-k5,880.3146279759154,799,1.43
5,A-n37-k5,741.8801892296074,669,1.46
6,A-n37-k6,1000.2470645884274,949,1.67
7,A-n38-k5,764.1236553696863,730,1.59
8,A-n39-k5,878.8665454896487,822,1.62
9,A-n39-k6,880.2494538747508,831,1.63
10,A-n44-k6,979.2050353142647,937,1.83
11,A-n45-k6,1016.0814088016276,944,1.71
12,A-n45-k7,1155.4002805051061,1146,1.84
13,A-n46-k7,947.8442197051351,914,1.89
14,A-n48-k7,1161.6882647026632,1073,1.76
15,A-n53-k7,1110.491307135603,1010,1.91
16,A-n54-k7,1204.2880197533811,1167,1.92
17,A-n55-k9,1104.4939598733465,1073,2.27
18,A-n60-k9,1404.3686354558342,1408,2.17
19,A-n61-k9,1077.4407327194929,1035,2.21
20,A-n62-k8,1375.6385379680235,1290,2.65
21,A-n63-k10,1400.6947681832535,1315,2.78
22,A-n63-k9,1700.749811658782,1634,2.46
23,A-n64-k9,1490.0432042872815,1402,2.24
24,A-n65-k9,1282.3852854051174,1177,2.52
25,A-n69-k9,1235.412774662006,1168,2.53
26,A-n80-k10,1921.5584496546167,1764,2.48
27,B-n31-k5,682.7779642373242,672,1.6
28,B-n34-k5,928.7688388598424,788,1.56
29,B-n35-k5,1006.8382069501047,955,1.48
30,B-n38-k6,834.8822298083627,805,1.6
31,B-n39-k5,574.7237905153123,549,1.5
32,B-n41-k6,910.818821176655,829,1.82
33,B-n43-k6,759.9870173112512,742,1.64
34,B-n44-k7,951.348019788296,909,1.79
35,B-n45-k5,764.6309304044928,751,1.69
36,B-n45-k6,726.6490478029386,678,2.11
37,B-n50-k7,756.0000902909815,741,2.11
38,B-n50-k8,1368.7721713510782,1313,1.97
39,B-n51-k7,1192.8731489432205,1032,2.15
40,B-n52-k7,809.4670534961142,747,1.89
41,B-n56-k7,750.7077915163492,707,2.11
42,B-n57-k7,1289.4645056310574,1153,2.25
43,B-n57-k9,1670.1460511231214,1598,2.49
44,B-n63-k10,1630.8297558311997,1537,2.71
45,B-n64-k9,929.1839837773283,861,2.41
46,B-n66-k9,1418.826774965633,1374,2.4
47,B-n67-k10,1100.7650648482497,1033,2.96
48,B-n68-k9,1325.1649458515926,1304,2.27
49,B-n78-k10,1328.2357880700495,1266,2.61
50,P-n101-k4,762.5592412425062,681,1.79
51,P-n16-k8,478.7711300654122,435,1.95
52,P-n19-k2,220.64313526472102,212,0.97
53, P-n20-k2,240.98212302462625,220,1.05
54,P-n21-k2,241.87817088866103,211,1.05
55,P-n22-k2,247.03615966386315,216,1.05
56,P-n22-k8,589.3916936935431,603,1.78
57,P-n23-k8,563.5222590258683,554,1.85
58,P-n40-k5.vrp,524.0380029267802,458,1.55
59,P-n45-k5,565.5993047696993,510,1.48
60,P-n50-k10,737.5066311091672,696,2.32
61, P-n50-k7,610.503791976452,554,1.98
62,P-n50-k8,656.5373753337302,649,2.14
63,P-n51-k10,819.7590327169936,745,2.36
64,P-n55-k10,735.0463329898224,669,2.26
65,P-n55-k15,994.0859257800947,856,3.14
66,P-n55-k7,611.0582140147677,524,1.93
67,P-n55-k8,623.6174574931622,576,1.97
68,P-n60-k10,812.2743146247251,706,2.67
69,P-n60-k15,1026.4162900482947,905,3.4
70,P-n65-k10,857.0237154224018,792,2.49
71,P-n70-k10,884.5222918785063,834,2.78
72,P-n76-k4,672.0418635176159,589,2.01
73,P-n76-k5,702.9436474225404,631,2.29
