,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,949.328373860765,784,2.45
1,A-n33-k5,742.6873936134293,661,1.92
2,A-n33-k6,794.003841241102,742,2.12
3,A-n34-k5,863.2484127194451,778,2.31
4,A-n36-k5,870.6403842167132,799,2.24
5,A-n37-k5,821.7335454810507,669,2.73
6,A-n37-k6,1170.562941391023,949,2.32
7,A-n38-k5,888.1764858015815,730,2.65
8,A-n39-k5,951.6968438765474,822,2.49
9,A-n39-k6,918.4272285270348,831,4.27
10,A-n44-k6,1149.1826191342325,937,2.76
11,A-n45-k6,1120.433432618304,944,2.48
12,A-n45-k7,1330.2252035552262,1146,2.54
13,A-n46-k7,1073.7352467722828,914,3.17
14,A-n48-k7,1206.9008464509034,1073,2.61
15,A-n53-k7,1315.7123519880054,1010,2.84
16,A-n54-k7,1448.0552285068277,1167,3.23
17,A-n55-k9,1329.0621436670715,1073,2.53
18,A-n60-k9,1709.199361481856,1408,2.64
19,A-n61-k9,1263.9886492254464,1035,3.66
20,A-n62-k8,1610.1415571347222,1290,2.68
21,A-n63-k10,1581.7941215497706,1315,3.04
22,A-n63-k9,1847.3729154438677,1634,2.88
23,A-n64-k9,1670.7511313012167,1402,2.76
24,A-n65-k9,1514.2987290464364,1177,3.04
25,A-n69-k9,1557.2736212773864,1168,3.35
26,A-n80-k10,2304.7026059375285,1764,3.17
27,B-n31-k5,737.9582519164503,672,2.18
28,B-n34-k5,807.6350837950735,788,1.84
29,B-n35-k5,1022.0819510482655,955,2.0
30,B-n38-k6,872.6373020562258,805,2.35
31,B-n39-k5,599.4914507257539,549,2.31
32,B-n41-k6,1001.747299145252,829,2.55
33,B-n43-k6,832.394238039777,742,2.53
34,B-n44-k7,1040.0849109761443,909,2.26
35,B-n45-k5,1080.3990484351154,751,2.04
36,B-n45-k6,795.3752340821999,678,2.61
37,B-n50-k7,939.213903033887,741,2.89
38,B-n50-k8,1405.9400137708085,1313,3.25
39,B-n51-k7,1328.8611419548554,1032,3.39
40,B-n52-k7,921.4244362057443,747,2.73
41,B-n56-k7,848.705063568525,707,2.49
42,B-n57-k7,1321.2231754252891,1153,2.49
43,B-n57-k9,1766.9870821515287,1598,2.74
44,B-n63-k10,1730.2980104507526,1537,3.03
45,B-n64-k9,1063.4950269601845,861,3.31
46,B-n66-k9,1557.9964128239217,1374,3.76
47,B-n67-k10,1221.3278019330046,1033,3.36
48,B-n68-k9,1524.043181693156,1304,3.3
49,B-n78-k10,1478.8770238094357,1266,3.21
50,P-n101-k4,1038.4137455155037,681,3.13
51,P-n16-k8,462.6887024933947,435,2.68
52,P-n19-k2,275.616177896065,212,2.13
53, P-n20-k2,287.58764001832833,220,1.33
54,P-n21-k2,257.5929608462073,211,1.41
55,P-n22-k2,289.39112917049704,216,1.39
56,P-n22-k8,614.6000239418393,603,2.88
57,P-n23-k8,558.3207213676459,554,2.84
58,P-n40-k5.vrp,560.0374164825702,458,2.22
59,P-n45-k5,583.1283871678693,510,2.1
60,P-n50-k10,846.6363704264209,696,2.81
61, P-n50-k7,638.5435437778972,554,2.78
62,P-n50-k8,711.0099845042678,649,2.96
63,P-n51-k10,899.5735878996145,745,3.45
64,P-n55-k10,777.5463480897985,669,3.21
65,P-n55-k15,1065.0598994943748,856,4.57
66,P-n55-k7,655.7391292917201,524,2.69
67,P-n55-k8,677.200913212172,576,2.62
68,P-n60-k10,911.9655608933355,706,2.86
69,P-n60-k15,1093.3205915949877,905,3.64
70,P-n65-k10,1005.6255863459036,792,3.14
71,P-n70-k10,977.5144780285887,834,3.37
72,P-n76-k4,910.3337281271815,589,2.49
73,P-n76-k5,926.4352492541267,631,2.81
