,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,976.132405818454,784,3.25
1,A-n33-k5,869.4685418154869,661,2.75
2,A-n33-k6,846.585620102167,742,2.72
3,A-n34-k5,905.2100475579937,778,2.81
4,A-n36-k5,1022.6788905716951,799,2.8
5,A-n37-k5,824.2480021851355,669,3.22
6,A-n37-k6,1211.1562728682718,949,5.01
7,A-n38-k5,983.6402015167636,730,3.5
8,A-n39-k5,977.6371252038737,822,3.48
9,A-n39-k6,1032.322146886387,831,3.09
10,A-n44-k6,1114.2752796387126,937,3.16
11,A-n45-k6,1177.9719144077474,944,3.29
12,A-n45-k7,1303.712823237112,1146,3.58
13,A-n46-k7,1142.9195084950277,914,3.56
14,A-n48-k7,1349.930336656055,1073,3.43
15,A-n53-k7,1379.885156017682,1010,3.83
16,A-n54-k7,1407.5396776330024,1167,3.76
17,A-n55-k9,1304.0835980046118,1073,3.72
18,A-n60-k9,1694.2918290668708,1408,3.75
19,A-n61-k9,1311.300184314527,1035,3.88
20,A-n62-k8,1680.346541261948,1290,3.96
21,A-n63-k10,1587.4358569495723,1315,6.3
22,A-n63-k9,2105.3934820648665,1634,6.42
23,A-n64-k9,1744.0851814060568,1402,4.08
24,A-n65-k9,1652.2596319182317,1177,4.01
25,A-n69-k9,1561.1329576019125,1168,3.57
26,A-n80-k10,2294.69533436684,1764,4.78
27,B-n31-k5,751.285438238639,672,2.85
28,B-n34-k5,835.637266900772,788,2.57
29,B-n35-k5,1158.10332275551,955,2.76
30,B-n38-k6,877.9394625954637,805,3.24
31,B-n39-k5,643.7276493857088,549,3.14
32,B-n41-k6,1013.121835766188,829,3.33
33,B-n43-k6,850.715608366139,742,3.31
34,B-n44-k7,1096.082654521614,909,3.31
35,B-n45-k5,878.8867489231138,751,5.02
36,B-n45-k6,799.9197338336389,678,3.09
37,B-n50-k7,967.4289397994786,741,3.5
38,B-n50-k8,1474.1768597586579,1313,3.13
39,B-n51-k7,1299.0774345972682,1032,3.35
40,B-n52-k7,1049.5831238227834,747,3.33
41,B-n56-k7,834.4588629632004,707,3.87
42,B-n57-k7,1364.8243145894517,1153,4.47
43,B-n57-k9,1805.3292286480219,1598,4.27
44,B-n63-k10,1856.4959581679955,1537,3.91
45,B-n64-k9,1097.471482941749,861,4.61
46,B-n66-k9,1697.1129223787225,1374,4.15
47,B-n67-k10,1264.359469255455,1033,3.95
48,B-n68-k9,1532.8882407733772,1304,4.0
49,B-n78-k10,1610.4195597786404,1266,4.14
50,P-n101-k4,1183.3343353594805,681,7.01
51,P-n16-k8,457.4822475306682,435,6.02
52,P-n19-k2,265.47953033902445,212,2.42
53, P-n20-k2,284.3780091276999,220,2.12
54,P-n21-k2,284.64688982595777,211,2.65
55,P-n22-k2,274.44906278698164,216,2.28
56,P-n22-k8,607.6545618670225,603,6.27
57,P-n23-k8,551.0847555624696,554,4.69
58,P-n40-k5.vrp,606.7108538828472,458,2.63
59,P-n45-k5,623.6077625524979,510,3.07
60,P-n50-k10,824.6684149142347,696,4.05
61, P-n50-k7,739.8934380518349,554,3.16
62,P-n50-k8,780.0066051970339,649,3.55
63,P-n51-k10,870.4219847026301,745,3.71
64,P-n55-k10,858.4322523027862,669,3.41
65,P-n55-k15,1069.6758297960255,856,5.31
66,P-n55-k7,730.0772806745088,524,3.24
67,P-n55-k8,776.2205352471901,576,3.77
68,P-n60-k10,938.516446853653,706,4.05
69,P-n60-k15,1156.3860549559413,905,6.59
70,P-n65-k10,1000.3528874135817,792,4.34
71,P-n70-k10,1086.325568149805,834,4.05
72,P-n76-k4,974.1531028054957,589,3.33
73,P-n76-k5,977.0236135472649,631,3.95
