,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1004.219490047086,784,4.56
1,A-n33-k5,871.7642089593794,661,2.43
2,A-n33-k6,986.3526779297079,742,2.3
3,A-n34-k5,945.0019181965256,778,2.11
4,A-n36-k5,960.601320982322,799,2.5
5,A-n37-k5,779.4890110936817,669,2.27
6,A-n37-k6,1128.596505806999,949,2.96
7,A-n38-k5,999.8116104331635,730,2.73
8,A-n39-k5,1065.783995769609,822,3.1
9,A-n39-k6,1018.772192651895,831,2.68
10,A-n44-k6,1173.8387006931675,937,2.69
11,A-n45-k6,1195.5756577201469,944,2.87
12,A-n45-k7,1344.7695656834062,1146,3.05
13,A-n46-k7,1132.1232356181392,914,2.94
14,A-n48-k7,1337.8725840225313,1073,3.05
15,A-n53-k7,1249.6092343111336,1010,3.29
16,A-n54-k7,1436.8233113530885,1167,2.85
17,A-n55-k9,1360.219752123294,1073,3.3
18,A-n60-k9,1670.8070627547777,1408,3.03
19,A-n61-k9,1414.9515712578159,1035,3.14
20,A-n62-k8,1625.5058456571987,1290,2.81
21,A-n63-k10,1638.3345676479262,1315,3.57
22,A-n63-k9,1926.3764834539375,1634,3.17
23,A-n64-k9,1779.0327074331037,1402,3.41
24,A-n65-k9,1581.4422493734924,1177,3.27
25,A-n69-k9,1555.7888343026182,1168,3.35
26,A-n80-k10,2312.8769377232743,1764,3.78
27,B-n31-k5,725.558738433137,672,2.42
28,B-n34-k5,956.193963294105,788,2.35
29,B-n35-k5,1057.3558403953762,955,2.38
30,B-n38-k6,928.4017234807932,805,2.59
31,B-n39-k5,691.0966568747277,549,2.99
32,B-n41-k6,1060.7943378731977,829,2.61
33,B-n43-k6,823.4886680946454,742,2.91
34,B-n44-k7,1088.8344263535696,909,2.47
35,B-n45-k5,933.1896557096,751,2.9
36,B-n45-k6,907.3532920217931,678,3.18
37,B-n50-k7,955.4344918375318,741,2.84
38,B-n50-k8,1440.1004799273135,1313,2.59
39,B-n51-k7,1297.8097371688812,1032,2.66
40,B-n52-k7,906.979292621458,747,5.03
41,B-n56-k7,832.7326630419581,707,2.91
42,B-n57-k7,1317.9612858865225,1153,3.42
43,B-n57-k9,1799.1189046948843,1598,3.08
44,B-n63-k10,1808.8908499162228,1537,3.68
45,B-n64-k9,1054.0523686813674,861,3.34
46,B-n66-k9,1562.1486048631346,1374,3.19
47,B-n67-k10,1217.7512877595948,1033,3.65
48,B-n68-k9,1523.1711536018593,1304,3.18
49,B-n78-k10,1615.0460129412688,1266,3.84
50,P-n101-k4,1126.3084226362344,681,3.64
51,P-n16-k8,464.8003708562074,435,3.41
52,P-n19-k2,319.92178230649654,212,1.62
53, P-n20-k2,298.9301748436998,220,1.58
54,P-n21-k2,284.035220800663,211,1.83
55,P-n22-k2,290.4032143750023,216,2.45
56,P-n22-k8,643.9203891045884,603,3.97
57,P-n23-k8,569.792636158019,554,2.94
58,P-n40-k5.vrp,646.5055614762936,458,2.53
59,P-n45-k5,665.7832002791545,510,2.59
60,P-n50-k10,812.8075483688531,696,3.02
61, P-n50-k7,699.6084132706673,554,2.88
62,P-n50-k8,787.8593456217327,649,3.2
63,P-n51-k10,871.648223453027,745,3.37
64,P-n55-k10,808.2913335501988,669,3.43
65,P-n55-k15,1072.6686345553767,856,4.56
66,P-n55-k7,749.0108848336432,524,3.21
67,P-n55-k8,740.2592169184181,576,2.7
68,P-n60-k10,927.7693931655247,706,3.12
69,P-n60-k15,1091.21805765709,905,4.06
70,P-n65-k10,969.1750448364766,792,3.52
71,P-n70-k10,1070.6049412025704,834,3.74
72,P-n76-k4,939.8066423928632,589,3.14
73,P-n76-k5,997.5089856886656,631,3.13
