,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1031.1885667240736,784,3.32
1,A-n33-k5,839.8793390255275,661,3.12
2,A-n33-k6,918.0486395687508,742,2.89
3,A-n34-k5,1045.3388921259661,778,2.93
4,A-n36-k5,1046.0938842342957,799,3.57
5,A-n37-k5,824.0622847406285,669,3.58
6,A-n37-k6,1124.928001878382,949,3.2
7,A-n38-k5,949.3673128044716,730,2.98
8,A-n39-k5,998.7698398561488,822,3.64
9,A-n39-k6,1145.3156632807083,831,3.19
10,A-n44-k6,1100.5809997619997,937,3.06
11,A-n45-k6,1272.635205472134,944,4.33
12,A-n45-k7,1353.1115681822582,1146,3.82
13,A-n46-k7,1137.4987318684189,914,3.8
14,A-n48-k7,1304.9734420995571,1073,3.51
15,A-n53-k7,1318.8364141652985,1010,3.72
16,A-n54-k7,1520.46591444794,1167,4.03
17,A-n55-k9,1382.5190418389739,1073,4.1
18,A-n60-k9,1685.8805760989503,1408,3.83
19,A-n61-k9,1413.2182615266122,1035,3.83
20,A-n62-k8,1774.0438181232105,1290,3.39
21,A-n63-k10,1544.198232943285,1315,4.08
22,A-n63-k9,1960.643938767797,1634,3.95
23,A-n64-k9,1739.3892609113727,1402,3.46
24,A-n65-k9,1526.7884540186142,1177,3.92
25,A-n69-k9,1514.942714422714,1168,3.6
26,A-n80-k10,2409.9783181711555,1764,4.27
27,B-n31-k5,729.430818406827,672,3.25
28,B-n34-k5,1020.4925308698881,788,3.18
29,B-n35-k5,1108.6876087044602,955,3.0
30,B-n38-k6,911.0413985722906,805,3.08
31,B-n39-k5,819.6195293074811,549,2.69
32,B-n41-k6,1080.5514771310982,829,2.9
33,B-n43-k6,902.0190432884949,742,3.18
34,B-n44-k7,1127.659831528042,909,3.21
35,B-n45-k5,999.2706047876097,751,3.13
36,B-n45-k6,821.4978189300898,678,3.22
37,B-n50-k7,915.0600459045663,741,3.78
38,B-n50-k8,1488.8508920362174,1313,4.07
39,B-n51-k7,1392.8983115959218,1032,3.6
40,B-n52-k7,970.2088346920834,747,3.32
41,B-n56-k7,858.8346088592464,707,3.45
42,B-n57-k7,1413.2177414193325,1153,3.44
43,B-n57-k9,1799.3370048816944,1598,3.69
44,B-n63-k10,1824.4808583109625,1537,3.97
45,B-n64-k9,1098.291994041197,861,4.06
46,B-n66-k9,1644.3325344909003,1374,4.6
47,B-n67-k10,1316.8006152446,1033,4.43
48,B-n68-k9,1593.081339765044,1304,3.73
49,B-n78-k10,1605.9786724817084,1266,4.3
50,P-n101-k4,1348.7881782280797,681,4.57
51,P-n16-k8,457.4822475306682,435,3.8
52,P-n19-k2,262.59286809195635,212,4.03
53, P-n20-k2,312.7930439791028,220,2.09
54,P-n21-k2,267.6123829081767,211,2.57
55,P-n22-k2,285.9198413120255,216,2.58
56,P-n22-k8,629.7006494102047,603,4.09
57,P-n23-k8,557.9928652057467,554,3.72
58,P-n40-k5.vrp,598.331816752101,458,3.0
59,P-n45-k5,759.4346369263501,510,3.08
60,P-n50-k10,836.0683903141385,696,3.91
61, P-n50-k7,791.9268062821216,554,3.45
62,P-n50-k8,775.5121972185536,649,4.01
63,P-n51-k10,884.525106140054,745,3.9
64,P-n55-k10,836.692642509317,669,4.25
65,P-n55-k15,1079.2070956415778,856,5.09
66,P-n55-k7,803.6926678644327,524,3.62
67,P-n55-k8,777.5053496814302,576,4.11
68,P-n60-k10,1009.8813390487437,706,4.08
69,P-n60-k15,1115.4357687201368,905,4.99
70,P-n65-k10,1007.5320751328245,792,4.85
71,P-n70-k10,1013.0805018161046,834,4.35
72,P-n76-k4,955.1686642291265,589,5.1
73,P-n76-k5,1046.082201387697,631,3.63
