,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,953.7095510263566,784,4.04
1,A-n33-k5,875.8434335734712,661,2.93
2,A-n33-k6,847.3034299082832,742,9.43
3,A-n34-k5,962.5906869773524,778,2.98
4,A-n36-k5,1020.4171505574519,799,2.85
5,A-n37-k5,912.53127595,669,3.69
6,A-n37-k6,1123.4970257603154,949,3.29
7,A-n38-k5,943.3141571371576,730,4.64
8,A-n39-k5,1084.0142712266384,822,4.28
9,A-n39-k6,1150.859038601248,831,3.45
10,A-n44-k6,1207.2844900715145,937,3.96
11,A-n45-k6,1214.0905961195053,944,3.65
12,A-n45-k7,1402.8557743241067,1146,4.46
13,A-n46-k7,1204.7939162201665,914,4.43
14,A-n48-k7,1451.9279008022809,1073,3.01
15,A-n53-k7,1474.5704282347672,1010,3.37
16,A-n54-k7,1491.4336929998499,1167,4.02
17,A-n55-k9,1326.7671203178754,1073,4.22
18,A-n60-k9,1705.8141209768366,1408,3.77
19,A-n61-k9,1473.699921017036,1035,5.23
20,A-n62-k8,1806.276269331992,1290,3.97
21,A-n63-k10,1885.1215844950657,1315,4.0
22,A-n63-k9,1966.6932086974125,1634,3.55
23,A-n64-k9,1886.3917766816287,1402,6.49
24,A-n65-k9,1596.7720442505454,1177,5.26
25,A-n69-k9,1657.702825010614,1168,5.12
26,A-n80-k10,2465.8400487372674,1764,5.61
27,B-n31-k5,718.9649212617961,672,3.31
28,B-n34-k5,934.6016196227347,788,2.95
29,B-n35-k5,1076.6127902472062,955,8.79
30,B-n38-k6,887.2369424084329,805,2.81
31,B-n39-k5,651.4292171862813,549,3.75
32,B-n41-k6,991.104606339972,829,3.65
33,B-n43-k6,862.6477788420071,742,4.68
34,B-n44-k7,1115.967193038309,909,3.7
35,B-n45-k5,940.9090305280037,751,4.67
36,B-n45-k6,892.3493943837124,678,4.7
37,B-n50-k7,946.498066184958,741,3.25
38,B-n50-k8,1689.3545458925294,1313,3.38
39,B-n51-k7,1179.9455963855146,1032,4.24
40,B-n52-k7,953.6005695675244,747,3.95
41,B-n56-k7,939.5348524659514,707,4.07
42,B-n57-k7,1474.7539632462397,1153,3.73
43,B-n57-k9,1964.3672600551058,1598,4.13
44,B-n63-k10,2110.743078150553,1537,3.56
45,B-n64-k9,1159.7126599218386,861,3.97
46,B-n66-k9,1723.7297109140907,1374,5.69
47,B-n67-k10,1443.551962386307,1033,3.71
48,B-n68-k9,1686.1086577728229,1304,3.94
49,B-n78-k10,1776.4720428252135,1266,4.45
50,P-n101-k4,1306.6130256996225,681,6.75
51,P-n16-k8,454.3983428045983,435,5.34
52,P-n19-k2,290.1354096643052,212,3.07
53, P-n20-k2,316.0353637108061,220,4.16
54,P-n21-k2,291.6041236950084,211,3.0
55,P-n22-k2,270.5173001967273,216,2.5
56,P-n22-k8,633.9202016334688,603,4.84
57,P-n23-k8,576.6095674262343,554,4.5
58,P-n40-k5.vrp,598.2198340008837,458,3.15
59,P-n45-k5,795.8891610409913,510,3.65
60,P-n50-k10,873.8809084244538,696,4.67
61, P-n50-k7,734.7294776270329,554,8.11
62,P-n50-k8,840.1877849575426,649,7.73
63,P-n51-k10,917.5695511138243,745,4.88
64,P-n55-k10,833.7740878850493,669,5.11
65,P-n55-k15,1096.2295579817662,856,5.15
66,P-n55-k7,777.8262168098191,524,4.05
67,P-n55-k8,888.2645838689111,576,3.66
68,P-n60-k10,1001.8719653145469,706,4.67
69,P-n60-k15,1175.2171102331185,905,5.53
70,P-n65-k10,978.8818733236278,792,4.21
71,P-n70-k10,1073.0718800778366,834,4.65
72,P-n76-k4,1090.1079156408368,589,7.47
73,P-n76-k5,1012.92113388431,631,5.82
