,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,974.6684719891953,784,2.56
1,A-n33-k5,754.988412525109,661,1.45
2,A-n33-k6,938.160069662796,742,1.55
3,A-n34-k5,887.7355105489743,778,1.7
4,A-n36-k5,930.294650612866,799,1.46
5,A-n37-k5,916.5865652191756,669,1.67
6,A-n37-k6,1339.7985236055174,949,1.52
7,A-n38-k5,1389.2565861198934,730,1.62
8,A-n39-k5,1235.743860855484,822,1.88
9,A-n39-k6,1169.6306300589672,831,2.36
10,A-n44-k6,1918.6764613045236,937,1.51
11,A-n45-k6,1479.5562535941324,944,1.88
12,A-n45-k7,1281.177555711181,1146,2.23
13,A-n46-k7,1204.2639110795058,914,2.81
14,A-n48-k7,1310.9948962103194,1073,2.49
15,A-n53-k7,1796.8126607277811,1010,1.9
16,A-n54-k7,1821.970861668053,1167,2.4
17,A-n55-k9,1434.1822675564706,1073,2.2
18,A-n60-k9,1785.2031276805935,1408,2.79
19,A-n61-k9,1654.1363256532104,1035,2.51
20,A-n62-k8,1817.6635794744864,1290,2.76
21,A-n63-k10,1730.7783275022898,1315,2.72
22,A-n63-k9,2126.325559273446,1634,2.65
23,A-n64-k9,1912.4299305870634,1402,2.48
24,A-n65-k9,1541.313154624085,1177,2.83
25,A-n69-k9,1768.5896615433048,1168,2.51
26,A-n80-k10,2507.781239888681,1764,2.86
27,B-n31-k5,855.1535152003108,672,2.04
28,B-n34-k5,833.3232290107318,788,1.54
29,B-n35-k5,1120.3051448833926,955,2.0
30,B-n38-k6,934.7608647840648,805,1.85
31,B-n39-k5,672.1503797977676,549,2.08
32,B-n41-k6,1189.4515978173524,829,1.81
33,B-n43-k6,931.0339966286284,742,1.66
34,B-n44-k7,1136.7741081197987,909,1.99
35,B-n45-k5,1285.464544003232,751,16.36
36,B-n45-k6,875.8055727398271,678,2.01
37,B-n50-k7,1031.4474660224014,741,2.02
38,B-n50-k8,1523.1487861445914,1313,2.13
39,B-n51-k7,1323.7404640745215,1032,3.26
40,B-n52-k7,1037.4897892920712,747,2.42
41,B-n56-k7,1137.2780765680068,707,2.46
42,B-n57-k7,1639.968154102851,1153,2.52
43,B-n57-k9,1863.7799959105703,1598,2.23
44,B-n63-k10,2014.7822660638215,1537,2.6
45,B-n64-k9,1228.6940498247595,861,2.94
46,B-n66-k9,2338.0562725951268,1374,2.51
47,B-n67-k10,1504.48215303789,1033,2.83
48,B-n68-k9,1795.3674187033537,1304,2.65
49,B-n78-k10,1736.0584290228353,1266,3.25
50,P-n101-k4,1324.6408151271787,681,2.86
51,P-n16-k8,463.3857705892861,435,1.76
52,P-n19-k2,339.40482693584744,212,0.93
53, P-n20-k2,363.5506152713357,220,0.97
54,P-n21-k2,304.6989323417656,211,1.06
55,P-n22-k2,342.5460923730428,216,1.03
56,P-n22-k8,645.532139574265,603,1.86
57,P-n23-k8,550.09029573838,554,1.96
58,P-n40-k5.vrp,635.5577424928458,458,1.75
59,P-n45-k5,645.4205234931687,510,1.6
60,P-n50-k10,840.6131769855336,696,2.59
61, P-n50-k7,703.0074030668652,554,2.29
62,P-n50-k8,785.3001903537725,649,2.52
63,P-n51-k10,969.4688676152423,745,2.72
64,P-n55-k10,957.8609718824923,669,2.37
65,P-n55-k15,1120.0067911032982,856,3.48
66,P-n55-k7,749.0057754578186,524,2.59
67,P-n55-k8,834.4592402766636,576,2.63
68,P-n60-k10,1086.3908285981704,706,2.54
69,P-n60-k15,1203.2768451632005,905,3.79
70,P-n65-k10,1064.1173411061843,792,2.79
71,P-n70-k10,1073.7712847634841,834,3.09
72,P-n76-k4,1080.2859960521969,589,2.43
73,P-n76-k5,1292.7544650092952,631,2.2
