,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1274.0091446351296,784,1.73
1,A-n33-k5,1162.910794400918,661,1.42
2,A-n33-k6,1247.9110675883196,742,1.43
3,A-n34-k5,1205.6945907529746,778,1.83
4,A-n36-k5,1286.0232482338045,799,1.85
5,A-n37-k5,1210.20036972177,669,1.54
6,A-n37-k6,1418.834643806326,949,2.16
7,A-n38-k5,1258.783454200398,730,1.54
8,A-n39-k5,1391.4658607182105,822,1.88
9,A-n39-k6,1467.395103946645,831,1.91
10,A-n44-k6,1598.2540533729855,937,2.13
11,A-n45-k6,1882.722484949889,944,1.98
12,A-n45-k7,1805.8113120855855,1146,1.88
13,A-n46-k7,1633.4565661976765,914,2.0
14,A-n48-k7,1696.8300904218327,1073,2.18
15,A-n53-k7,1949.3056988523801,1010,2.32
16,A-n54-k7,1835.6425893307328,1167,2.09
17,A-n55-k9,2084.810735745891,1073,2.55
18,A-n60-k9,2475.240447380797,1408,2.38
19,A-n61-k9,2045.4029934346145,1035,2.34
20,A-n62-k8,2166.791236091821,1290,2.62
21,A-n63-k10,2342.0896158794394,1315,3.28
22,A-n63-k9,2578.1303290513238,1634,3.0
23,A-n64-k9,2343.1075985383904,1402,3.28
24,A-n65-k9,2383.9642386011915,1177,2.48
25,A-n69-k9,2516.507173030893,1168,2.85
26,A-n80-k10,2929.1986027111834,1764,2.78
27,B-n31-k5,903.4861622277267,672,1.52
28,B-n34-k5,1159.6424297564606,788,1.61
29,B-n35-k5,1521.8497017342959,955,1.79
30,B-n38-k6,1326.6487310021405,805,2.38
31,B-n39-k5,1300.0190812369235,549,12.89
32,B-n41-k6,1564.398263729785,829,1.95
33,B-n43-k6,1223.6965034278994,742,1.81
34,B-n44-k7,1458.33409432168,909,2.15
35,B-n45-k5,1422.5406573338116,751,1.86
36,B-n45-k6,1214.4661126751078,678,2.35
37,B-n50-k7,1832.066831880961,741,2.18
38,B-n50-k8,2010.1817145479056,1313,2.33
39,B-n51-k7,2149.5103623694367,1032,2.36
40,B-n52-k7,1473.4737187568585,747,2.04
41,B-n56-k7,1594.527176444376,707,1.9
42,B-n57-k7,2327.063113339511,1153,2.39
43,B-n57-k9,2413.687490302211,1598,2.67
44,B-n63-k10,2695.784231094808,1537,2.76
45,B-n64-k9,2123.090684836714,861,2.77
46,B-n66-k9,2249.4485860712125,1374,2.78
47,B-n67-k10,2158.0500638367707,1033,2.77
48,B-n68-k9,2503.280772181769,1304,3.69
49,B-n78-k10,2386.4261501520155,1266,3.32
50,P-n101-k4,1470.5234400156928,681,2.51
51,P-n16-k8,456.95281589967595,435,1.88
52,P-n19-k2,277.00875339590687,212,1.16
53, P-n20-k2,269.12425661377307,220,1.03
54,P-n21-k2,237.90784170843682,211,1.16
55,P-n22-k2,279.3545332613835,216,1.04
56,P-n22-k8,713.1277882965726,603,1.72
57,P-n23-k8,634.230666938982,554,2.09
58,P-n40-k5.vrp,826.6361463047776,458,1.56
59,P-n45-k5,948.492269234352,510,2.14
60,P-n50-k10,1301.1572622128106,696,2.94
61, P-n50-k7,1050.7754810187023,554,2.16
62,P-n50-k8,1208.0278155183494,649,2.59
63,P-n51-k10,1374.8986489817612,745,2.71
64,P-n55-k10,1307.7666439681786,669,2.99
65,P-n55-k15,1597.1747269285522,856,3.84
66,P-n55-k7,1062.8823986139882,524,2.49
67,P-n55-k8,1068.1957798587428,576,2.7
68,P-n60-k10,1386.675399312393,706,2.91
69,P-n60-k15,1775.9213142062,905,3.73
70,P-n65-k10,1537.3997123575678,792,2.78
71,P-n70-k10,1705.6117931973029,834,3.08
72,P-n76-k4,1154.3435284450313,589,3.05
73,P-n76-k5,1227.352011878426,631,2.11
