,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1461.980720069444,784,1.7
1,A-n33-k5,1202.161503178897,661,1.51
2,A-n33-k6,1232.4717895622202,742,1.93
3,A-n34-k5,1323.4153014162955,778,1.85
4,A-n36-k5,1326.0091027854078,799,1.76
5,A-n37-k5,1327.8141569642446,669,3.0
6,A-n37-k6,1501.4411644791753,949,2.26
7,A-n38-k5,1359.5142209973621,730,1.63
8,A-n39-k5,1398.32803449398,822,1.74
9,A-n39-k6,1652.487878425953,831,1.62
10,A-n44-k6,1648.9058424968591,937,2.2
11,A-n45-k6,1706.0935956989392,944,8.73
12,A-n45-k7,1862.8530454994361,1146,2.26
13,A-n46-k7,1757.5301714783125,914,2.07
14,A-n48-k7,1990.3423550127663,1073,2.37
15,A-n53-k7,2063.2588496268763,1010,2.34
16,A-n54-k7,2033.2909752233775,1167,2.56
17,A-n55-k9,2277.383763478398,1073,2.75
18,A-n60-k9,2716.1124831120433,1408,2.74
19,A-n61-k9,2213.21010411438,1035,3.04
20,A-n62-k8,2508.2856690905287,1290,2.36
21,A-n63-k10,2562.598716768858,1315,2.56
22,A-n63-k9,2936.846900073825,1634,2.8
23,A-n64-k9,2500.358947123092,1402,3.89
24,A-n65-k9,2857.195874657864,1177,2.67
25,A-n69-k9,2699.2457705735887,1168,3.3
26,A-n80-k10,3411.3506316322528,1764,2.94
27,B-n31-k5,888.8970065969073,672,1.72
28,B-n34-k5,1265.540753159456,788,3.34
29,B-n35-k5,1551.9869437789387,955,2.29
30,B-n38-k6,1363.6542370088368,805,1.72
31,B-n39-k5,1234.5187957679173,549,1.67
32,B-n41-k6,1607.3573790404166,829,2.23
33,B-n43-k6,1317.4043879757621,742,1.97
34,B-n44-k7,1612.0969802227726,909,2.2
35,B-n45-k5,1564.4001130223305,751,2.42
36,B-n45-k6,1257.668906770674,678,3.78
37,B-n50-k7,1865.9861735510406,741,2.21
38,B-n50-k8,2007.2775497975115,1313,2.5
39,B-n51-k7,2447.551368495002,1032,2.1
40,B-n52-k7,1769.5911021402164,747,2.24
41,B-n56-k7,1763.6119180853127,707,2.16
42,B-n57-k7,2306.858868219092,1153,2.44
43,B-n57-k9,2605.86195588288,1598,2.59
44,B-n63-k10,3093.5808821037103,1537,3.14
45,B-n64-k9,2413.5114952688064,861,2.48
46,B-n66-k9,2300.726776146796,1374,3.72
47,B-n67-k10,2377.099095982981,1033,2.79
48,B-n68-k9,2393.739072543657,1304,2.69
49,B-n78-k10,2812.374775370847,1266,3.46
50,P-n101-k4,1521.4757535493172,681,2.26
51,P-n16-k8,474.0652154837204,435,1.76
52,P-n19-k2,269.42204528519346,212,0.96
53, P-n20-k2,286.95776183207187,220,1.05
54,P-n21-k2,273.540338400524,211,1.4
55,P-n22-k2,317.9590527033728,216,0.97
56,P-n22-k8,744.7094329247682,603,1.93
57,P-n23-k8,629.3671397129842,554,2.13
58,P-n40-k5.vrp,801.5362156921502,458,1.94
59,P-n45-k5,996.5805943965577,510,1.7
60,P-n50-k10,1375.5758879194505,696,2.53
61, P-n50-k7,980.7047589342204,554,1.99
62,P-n50-k8,1233.1123421467712,649,2.22
63,P-n51-k10,1478.6955645883536,745,3.1
64,P-n55-k10,1289.9543532587174,669,2.67
65,P-n55-k15,1574.5453838400222,856,3.54
66,P-n55-k7,1140.606134290282,524,1.92
67,P-n55-k8,1159.7093252236548,576,2.14
68,P-n60-k10,1546.4429674190862,706,2.66
69,P-n60-k15,1709.1380385456564,905,3.75
70,P-n65-k10,1518.0713842021305,792,3.13
71,P-n70-k10,1756.4676700394614,834,3.05
72,P-n76-k4,1220.3888874942165,589,2.26
73,P-n76-k5,1439.669081440578,631,2.26
