,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,886.4577831134708,784,3.58
1,A-n33-k5,774.9245029188287,661,2.38
2,A-n33-k6,860.9597270784135,742,2.38
3,A-n34-k5,873.3873453503439,778,2.43
4,A-n36-k5,958.8163832710553,799,2.29
5,A-n37-k5,850.5636280927404,669,2.65
6,A-n37-k6,1104.4371013888099,949,2.94
7,A-n38-k5,916.2926668059171,730,2.59
8,A-n39-k5,935.9910560504538,822,2.25
9,A-n39-k6,1021.3378195595919,831,2.94
10,A-n44-k6,1165.606853535161,937,2.81
11,A-n45-k6,1144.8303737822787,944,2.8
12,A-n45-k7,1299.7282904309873,1146,3.11
13,A-n46-k7,1151.8011796882145,914,2.68
14,A-n48-k7,1269.500299621805,1073,2.76
15,A-n53-k7,1381.5936158083305,1010,2.64
16,A-n54-k7,1521.2031756566862,1167,3.56
17,A-n55-k9,1302.794281420949,1073,3.6
18,A-n60-k9,1764.224989345874,1408,3.83
19,A-n61-k9,1333.8969894102502,1035,3.72
20,A-n62-k8,1546.4065576521039,1290,3.51
21,A-n63-k10,1600.9478531621414,1315,3.52
22,A-n63-k9,2041.679566554565,1634,4.02
23,A-n64-k9,1746.9102795262231,1402,3.27
24,A-n65-k9,1483.5393656847718,1177,3.59
25,A-n69-k9,1483.5639865960195,1168,3.36
26,A-n80-k10,2278.9643467874594,1764,4.04
27,B-n31-k5,735.7904704643078,672,2.28
28,B-n34-k5,837.3153072056488,788,2.33
29,B-n35-k5,1086.3078020085961,955,2.61
30,B-n38-k6,853.3394297258957,805,2.59
31,B-n39-k5,768.3006995443193,549,2.5
32,B-n41-k6,1061.0593421908366,829,2.82
33,B-n43-k6,872.6574997576092,742,2.89
34,B-n44-k7,1071.4021520951655,909,2.86
35,B-n45-k5,971.2785743715706,751,2.37
36,B-n45-k6,839.6640957864024,678,2.95
37,B-n50-k7,995.7210200322636,741,3.52
38,B-n50-k8,1454.6744746146744,1313,3.3
39,B-n51-k7,1132.9086947684666,1032,2.78
40,B-n52-k7,941.3789508739737,747,2.99
41,B-n56-k7,817.2020039195047,707,2.94
42,B-n57-k7,1455.8966566392153,1153,2.94
43,B-n57-k9,1878.3977961536207,1598,3.21
44,B-n63-k10,1759.5485551418387,1537,3.3
45,B-n64-k9,1064.0927257365513,861,3.17
46,B-n66-k9,1613.6793770073293,1374,3.28
47,B-n67-k10,1300.9971459983262,1033,3.25
48,B-n68-k9,1516.7629060682737,1304,3.09
49,B-n78-k10,1647.781263841052,1266,4.04
50,P-n101-k4,1319.2451885115272,681,3.45
51,P-n16-k8,451.335080208618,435,2.37
52,P-n19-k2,274.5556222196051,212,1.72
53, P-n20-k2,304.95868399629387,220,1.92
54,P-n21-k2,244.30766363293117,211,1.77
55,P-n22-k2,306.38232961223133,216,1.52
56,P-n22-k8,637.5847365606369,603,2.65
57,P-n23-k8,541.4114677548683,554,2.35
58,P-n40-k5.vrp,569.1823718311822,458,2.5
59,P-n45-k5,640.9020914154491,510,2.61
60,P-n50-k10,840.5487064402088,696,3.75
61, P-n50-k7,653.5035113363492,554,2.93
62,P-n50-k8,739.2230357934642,649,3.16
63,P-n51-k10,841.8544454492297,745,3.32
64,P-n55-k10,823.4586328999212,669,3.33
65,P-n55-k15,1076.8198202845508,856,4.33
66,P-n55-k7,673.7521185714961,524,2.79
67,P-n55-k8,751.4436334365196,576,2.92
68,P-n60-k10,891.6045427478032,706,3.45
69,P-n60-k15,1083.4481404610026,905,4.02
70,P-n65-k10,933.573922370478,792,3.49
71,P-n70-k10,1027.45365862239,834,3.74
72,P-n76-k4,966.3746543135362,589,3.05
73,P-n76-k5,917.0607753371021,631,3.06
