,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,973.5839583005647,784,2.94
1,A-n33-k5,827.5376867399609,661,3.31
2,A-n33-k6,932.3834176316552,742,2.75
3,A-n34-k5,948.221744073707,778,2.34
4,A-n36-k5,1007.5520950813112,799,2.16
5,A-n37-k5,891.9706831463718,669,2.25
6,A-n37-k6,1143.502500249023,949,2.65
7,A-n38-k5,785.0250543754439,730,2.7
8,A-n39-k5,1046.59891073651,822,3.2
9,A-n39-k6,1087.0477963690282,831,2.55
10,A-n44-k6,1118.7562567840316,937,3.67
11,A-n45-k6,1293.7220561426716,944,2.98
12,A-n45-k7,1402.877426849223,1146,3.26
13,A-n46-k7,1418.1748847619465,914,2.66
14,A-n48-k7,1399.7339106222314,1073,2.64
15,A-n53-k7,1284.4085513896098,1010,3.03
16,A-n54-k7,1556.3515648340194,1167,2.96
17,A-n55-k9,1395.905418028265,1073,2.92
18,A-n60-k9,1621.2136974668936,1408,3.85
19,A-n61-k9,1408.180508218593,1035,3.74
20,A-n62-k8,1653.6381299103828,1290,5.33
21,A-n63-k10,1564.5407700630285,1315,4.11
22,A-n63-k9,2101.8440854752216,1634,4.04
23,A-n64-k9,1655.013119238663,1402,3.86
24,A-n65-k9,1537.7280664640894,1177,3.54
25,A-n69-k9,1717.3634584552951,1168,3.36
26,A-n80-k10,2277.389080691779,1764,3.82
27,B-n31-k5,846.779758938766,672,3.79
28,B-n34-k5,1051.6952144024228,788,2.26
29,B-n35-k5,1261.5228217492775,955,2.24
30,B-n38-k6,1055.294628077995,805,2.32
31,B-n39-k5,856.5755348775538,549,2.62
32,B-n41-k6,1023.4496106935112,829,2.65
33,B-n43-k6,926.5599588951803,742,2.33
34,B-n44-k7,1099.7201188422982,909,2.8
35,B-n45-k5,980.7776456149755,751,2.68
36,B-n45-k6,862.3950121982092,678,2.52
37,B-n50-k7,1018.8622658078177,741,2.93
38,B-n50-k8,1524.3688712970004,1313,3.12
39,B-n51-k7,1553.0685009228305,1032,2.92
40,B-n52-k7,1078.4996045652265,747,2.95
41,B-n56-k7,1015.0410337737652,707,2.85
42,B-n57-k7,1644.9715384914898,1153,3.17
43,B-n57-k9,1901.6165250057638,1598,3.32
44,B-n63-k10,1968.5674588630616,1537,3.18
45,B-n64-k9,1277.6119838956752,861,3.52
46,B-n66-k9,1779.2325280947916,1374,3.63
47,B-n67-k10,1572.7782021672613,1033,3.32
48,B-n68-k9,1726.7316708078617,1304,3.48
49,B-n78-k10,1724.3056982650103,1266,3.87
50,P-n101-k4,1278.1321121815945,681,3.69
51,P-n16-k8,451.9470921298185,435,2.41
52,P-n19-k2,235.01159877055568,212,1.74
53, P-n20-k2,219.13210413476497,220,1.72
54,P-n21-k2,240.9659663908696,211,2.1
55,P-n22-k2,223.90834800991482,216,1.76
56,P-n22-k8,680.0326328993709,603,2.68
57,P-n23-k8,563.6238318710351,554,2.47
58,P-n40-k5.vrp,618.3985335587561,458,2.38
59,P-n45-k5,663.8962707249569,510,2.56
60,P-n50-k10,837.9524497204906,696,3.19
61, P-n50-k7,699.7141610861502,554,2.91
62,P-n50-k8,785.7006994450808,649,3.12
63,P-n51-k10,874.4552091934037,745,3.2
64,P-n55-k10,820.940072978679,669,3.32
65,P-n55-k15,1067.1193868096989,856,4.14
66,P-n55-k7,828.5734312807423,524,2.9
67,P-n55-k8,788.3765732504908,576,3.04
68,P-n60-k10,1046.0168085176874,706,3.39
69,P-n60-k15,1104.956547027321,905,4.11
70,P-n65-k10,971.8622665481108,792,3.48
71,P-n70-k10,1118.8928553519286,834,3.49
72,P-n76-k4,929.9181193127944,589,3.01
73,P-n76-k5,979.6507828088893,631,2.83
