,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,864.3336588845978,784,3.25
1,A-n33-k5,813.3821142552106,661,3.1
2,A-n33-k6,821.2499709314052,742,2.56
3,A-n34-k5,904.692895258099,778,2.28
4,A-n36-k5,945.1132342625788,799,2.55
5,A-n37-k5,867.121818011183,669,2.38
6,A-n37-k6,1079.480144102886,949,2.9
7,A-n38-k5,843.8829495174832,730,2.9
8,A-n39-k5,1003.055436916976,822,2.01
9,A-n39-k6,1044.123020675074,831,2.96
10,A-n44-k6,1129.3743262461169,937,2.52
11,A-n45-k6,1255.6191523373247,944,2.48
12,A-n45-k7,1398.2955225817618,1146,2.41
13,A-n46-k7,1091.0702824470523,914,2.73
14,A-n48-k7,1234.730239402746,1073,2.5
15,A-n53-k7,1221.6127883987551,1010,3.18
16,A-n54-k7,1546.1992300871368,1167,3.06
17,A-n55-k9,1331.624909789658,1073,3.03
18,A-n60-k9,1711.9085087930955,1408,3.44
19,A-n61-k9,1234.7605763967952,1035,3.37
20,A-n62-k8,1734.8081832312812,1290,3.07
21,A-n63-k10,1615.946449778828,1315,3.58
22,A-n63-k9,1953.5828439284155,1634,3.37
23,A-n64-k9,1689.4708314821296,1402,3.71
24,A-n65-k9,1544.9297738926803,1177,3.45
25,A-n69-k9,1626.5251281443802,1168,3.53
26,A-n80-k10,2331.32983097366,1764,3.85
27,B-n31-k5,759.8157947563126,672,2.49
28,B-n34-k5,951.9556339116158,788,2.19
29,B-n35-k5,1003.7410252651347,955,2.58
30,B-n38-k6,865.0628423112298,805,2.55
31,B-n39-k5,704.1328857388862,549,2.42
32,B-n41-k6,1061.747721530365,829,2.71
33,B-n43-k6,897.5138818935104,742,2.69
34,B-n44-k7,1046.3704700594571,909,2.76
35,B-n45-k5,903.7890264107567,751,2.92
36,B-n45-k6,855.1444475676233,678,2.96
37,B-n50-k7,972.6992512630133,741,2.74
38,B-n50-k8,1444.899727701185,1313,3.47
39,B-n51-k7,1178.984930531304,1032,3.03
40,B-n52-k7,1014.9521297548243,747,2.87
41,B-n56-k7,821.4463286868187,707,2.99
42,B-n57-k7,1426.1517710382855,1153,2.97
43,B-n57-k9,1818.0050828097837,1598,2.94
44,B-n63-k10,1772.1976664599356,1537,3.57
45,B-n64-k9,1248.8717954209533,861,3.18
46,B-n66-k9,1658.8315792070516,1374,3.44
47,B-n67-k10,1377.3523198478201,1033,3.4
48,B-n68-k9,1644.4607107637244,1304,3.53
49,B-n78-k10,1661.0665756226751,1266,3.94
50,P-n101-k4,1223.5619228440446,681,3.69
51,P-n16-k8,473.7821123645115,435,3.88
52,P-n19-k2,238.383504680948,212,1.46
53, P-n20-k2,220.08750534355949,220,1.53
54,P-n21-k2,235.59194004030024,211,1.84
55,P-n22-k2,239.66205969264905,216,1.73
56,P-n22-k8,600.5569764283695,603,3.41
57,P-n23-k8,545.7620017283189,554,4.48
58,P-n40-k5.vrp,523.2868395690275,458,2.52
59,P-n45-k5,606.0587918547485,510,2.33
60,P-n50-k10,848.9469997144032,696,3.66
61, P-n50-k7,675.2702231045203,554,3.02
62,P-n50-k8,741.7460666188315,649,3.08
63,P-n51-k10,896.1437736703713,745,3.3
64,P-n55-k10,896.1769430610228,669,3.41
65,P-n55-k15,1030.3142721988374,856,5.05
66,P-n55-k7,664.9185835298749,524,2.9
67,P-n55-k8,700.4546425814765,576,2.86
68,P-n60-k10,995.880526496931,706,3.58
69,P-n60-k15,1124.3089406248946,905,4.01
70,P-n65-k10,1028.4690523687195,792,4.04
71,P-n70-k10,1120.6072484831814,834,4.02
72,P-n76-k4,904.0202955289805,589,3.04
73,P-n76-k5,925.9379650348558,631,5.07
