,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,966.9290204449852,784,2.47
1,A-n33-k5,718.9734132069289,661,3.87
2,A-n33-k6,841.111274444965,742,2.28
3,A-n34-k5,866.2498408768739,778,2.09
4,A-n36-k5,928.3290541211554,799,2.17
5,A-n37-k5,869.6092307589978,669,1.98
6,A-n37-k6,1000.8623309294453,949,2.53
7,A-n38-k5,930.6082912338652,730,2.44
8,A-n39-k5,928.184219845392,822,2.11
9,A-n39-k6,946.7310875530133,831,2.1
10,A-n44-k6,1117.5713924232282,937,2.14
11,A-n45-k6,1202.8053336987214,944,2.55
12,A-n45-k7,1299.6131944718547,1146,2.49
13,A-n46-k7,1170.219015168052,914,2.66
14,A-n48-k7,1292.5100166549353,1073,2.66
15,A-n53-k7,1244.267243736526,1010,2.85
16,A-n54-k7,1423.555977969196,1167,3.4
17,A-n55-k9,1270.9168723262069,1073,2.89
18,A-n60-k9,1685.329373558301,1408,3.28
19,A-n61-k9,1237.6623516550885,1035,3.61
20,A-n62-k8,1596.2410815668509,1290,3.17
21,A-n63-k10,1674.734373838177,1315,3.32
22,A-n63-k9,1979.0629554054406,1634,3.23
23,A-n64-k9,1740.3772719224335,1402,3.2
24,A-n65-k9,1583.5411931070576,1177,3.24
25,A-n69-k9,1558.658531412114,1168,2.92
26,A-n80-k10,2288.4125717824263,1764,3.64
27,B-n31-k5,849.9381044404909,672,1.97
28,B-n34-k5,871.706281636549,788,1.84
29,B-n35-k5,1144.4584036389915,955,2.18
30,B-n38-k6,858.9240952103412,805,2.38
31,B-n39-k5,655.7449864271558,549,2.47
32,B-n41-k6,972.4882351123,829,2.74
33,B-n43-k6,851.2811171413332,742,2.96
34,B-n44-k7,1050.637639977394,909,2.96
35,B-n45-k5,908.9059193769847,751,2.55
36,B-n45-k6,763.0278889188343,678,2.51
37,B-n50-k7,935.187262298547,741,2.69
38,B-n50-k8,1478.9565604902666,1313,2.8
39,B-n51-k7,1153.0576863823671,1032,2.84
40,B-n52-k7,946.295260980518,747,2.87
41,B-n56-k7,941.9254734389168,707,2.63
42,B-n57-k7,1367.2717474029714,1153,2.96
43,B-n57-k9,1795.23283343943,1598,3.16
44,B-n63-k10,1802.471036634688,1537,3.99
45,B-n64-k9,1061.7621996522503,861,3.46
46,B-n66-k9,1620.718792106046,1374,3.24
47,B-n67-k10,1334.2110450930459,1033,3.16
48,B-n68-k9,1527.4212351258866,1304,2.75
49,B-n78-k10,1635.856260090699,1266,3.69
50,P-n101-k4,1097.3236838499704,681,3.37
51,P-n16-k8,451.9470921298185,435,2.65
52,P-n19-k2,242.63238273211442,212,1.35
53, P-n20-k2,228.77648850037315,220,1.25
54,P-n21-k2,240.66036111514182,211,1.4
55,P-n22-k2,230.15172375864086,216,1.42
56,P-n22-k8,620.1296474869642,603,2.86
57,P-n23-k8,547.6300160528962,554,2.68
58,P-n40-k5.vrp,550.1264910579059,458,2.16
59,P-n45-k5,617.0017605437166,510,2.36
60,P-n50-k10,809.924434509059,696,3.34
61, P-n50-k7,702.7833323225587,554,4.0
62,P-n50-k8,729.4148582491725,649,2.83
63,P-n51-k10,855.1747723692099,745,3.39
64,P-n55-k10,812.8030073654587,669,3.14
65,P-n55-k15,1084.054427759732,856,4.14
66,P-n55-k7,741.3829840078713,524,2.75
67,P-n55-k8,757.6734903152839,576,2.64
68,P-n60-k10,967.2899617076737,706,3.99
69,P-n60-k15,1082.949793103976,905,4.1
70,P-n65-k10,1072.8698826145328,792,3.05
71,P-n70-k10,1133.8039241433364,834,3.63
72,P-n76-k4,866.8899816418505,589,2.56
73,P-n76-k5,1025.4296803245647,631,2.43
