,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,904.5992463051266,784,2.46
1,A-n33-k5,752.4660675046962,661,2.62
2,A-n33-k6,903.6299807605355,742,2.25
3,A-n34-k5,902.2589503814663,778,1.94
4,A-n36-k5,936.8905500429057,799,2.05
5,A-n37-k5,737.7510923355217,669,2.08
6,A-n37-k6,1051.0807061203093,949,2.35
7,A-n38-k5,892.5685380222169,730,2.16
8,A-n39-k5,1011.4554988031784,822,2.42
9,A-n39-k6,974.8044246296257,831,2.07
10,A-n44-k6,1005.9885092509606,937,7.85
11,A-n45-k6,1114.4798773931407,944,4.12
12,A-n45-k7,1347.587682280826,1146,2.94
13,A-n46-k7,1038.9646485319354,914,3.04
14,A-n48-k7,1232.1863529693605,1073,3.12
15,A-n53-k7,1247.782648644315,1010,3.72
16,A-n54-k7,1353.5007188885668,1167,3.06
17,A-n55-k9,1366.0767000915384,1073,3.51
18,A-n60-k9,1680.3918742794965,1408,3.44
19,A-n61-k9,1382.0627753528836,1035,3.57
20,A-n62-k8,1658.5583804807038,1290,3.11
21,A-n63-k10,1705.804428047859,1315,3.35
22,A-n63-k9,1992.4267127929745,1634,3.82
23,A-n64-k9,1719.6930298879975,1402,3.88
24,A-n65-k9,1544.4306736099645,1177,3.79
25,A-n69-k9,1497.7569041403315,1168,3.77
26,A-n80-k10,2256.2264915219057,1764,3.57
27,B-n31-k5,707.3625457676262,672,2.41
28,B-n34-k5,827.2067353892543,788,2.33
29,B-n35-k5,1011.070933107238,955,2.38
30,B-n38-k6,984.2298120316367,805,2.62
31,B-n39-k5,645.7678156684586,549,2.72
32,B-n41-k6,954.9467033421142,829,2.52
33,B-n43-k6,860.3876936678282,742,2.78
34,B-n44-k7,1035.9268935290736,909,3.55
35,B-n45-k5,858.3079771937947,751,2.73
36,B-n45-k6,798.6642849144837,678,3.16
37,B-n50-k7,998.7516987273514,741,2.91
38,B-n50-k8,1379.3210007108291,1313,2.94
39,B-n51-k7,1377.358132829844,1032,2.98
40,B-n52-k7,912.5218898740793,747,2.93
41,B-n56-k7,963.7782067604177,707,2.97
42,B-n57-k7,1293.9985470525246,1153,3.26
43,B-n57-k9,1835.9615126121869,1598,3.29
44,B-n63-k10,1903.0428760346472,1537,3.51
45,B-n64-k9,1152.5745582785974,861,3.77
46,B-n66-k9,1722.358722426823,1374,3.59
47,B-n67-k10,1294.062247478317,1033,3.88
48,B-n68-k9,1596.2173173692279,1304,3.35
49,B-n78-k10,1712.6608458099697,1266,4.24
50,P-n101-k4,1182.5668927558295,681,4.05
51,P-n16-k8,451.9470921298185,435,2.91
52,P-n19-k2,248.1806480575061,212,1.45
53, P-n20-k2,237.16122606366244,220,1.6
54,P-n21-k2,212.71153970290385,211,1.66
55,P-n22-k2,255.9847452625995,216,1.54
56,P-n22-k8,623.76084678231,603,3.14
57,P-n23-k8,537.9392434797478,554,3.2
58,P-n40-k5.vrp,587.3669780252743,458,2.37
59,P-n45-k5,643.0532726086127,510,2.99
60,P-n50-k10,848.8205662037046,696,3.58
61, P-n50-k7,715.0558802792264,554,2.82
62,P-n50-k8,698.2434491060205,649,3.23
63,P-n51-k10,866.722562955694,745,3.76
64,P-n55-k10,844.7524850259466,669,3.59
65,P-n55-k15,1079.9539874971629,856,4.79
66,P-n55-k7,680.283954409971,524,3.05
67,P-n55-k8,766.9923253877133,576,3.14
68,P-n60-k10,925.9721244827199,706,3.73
69,P-n60-k15,1118.0645926286174,905,4.35
70,P-n65-k10,1048.3897105845713,792,3.76
71,P-n70-k10,1036.7598299163308,834,3.75
72,P-n76-k4,854.5523532733482,589,2.94
73,P-n76-k5,1006.0381815478081,631,2.96
