,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,815.2981624598074,923.8071961027958,859.8568743528906,35.87317721295416,149.72199999999998
1,A-n33-k5,661,697.9922685816867,770.5667185345962,732.2465967199661,26.28959892665478,151.845
2,A-n33-k6,742,773.2833960478688,810.7256340353885,791.1599782659298,15.062850336769598,164.54250000000002
3,A-n34-k5,778,839.5186822287969,881.4225946924688,857.9464614819806,17.945303401224667,152.10500000000002
4,A-n36-k5,799,857.7589867544189,903.90837286407,873.0253603739512,18.618128129404063,151.835
5,A-n37-k5,669,717.1708950246226,778.1376477954901,738.4204839031654,24.701926838295712,154.8425
6,A-n37-k6,949,1047.01447728985,1190.442254333435,1115.2743074207845,54.023220292044634,164.2
7,A-n38-k5,730,812.6904200641388,962.8394419639866,872.3140564766052,55.289451377967296,162.9275
8,A-n39-k5,822,876.8840367240625,1003.6870752750758,933.4973091875531,45.678766829429335,162.39
9,A-n39-k6,831,890.4120465585547,946.4632414753584,918.5753063234207,19.88976339253525,163.3775
10,A-n44-k6,937,1035.3202750479418,1102.5330960815477,1070.4798773635316,26.497102828660886,169.0275
11,A-n45-k6,944,1022.3532781136281,1190.2652562430771,1114.7180332141224,63.66067906645436,180.8625
12,A-n45-k7,1146,1237.6489978281393,1308.8125366232828,1271.3537021671839,25.636630404804343,178.5025
13,A-n46-k7,914,968.5228941807975,1068.2139343828696,1023.2226772252968,35.9842603132503,182.11499999999998
14,A-n48-k7,1073,1175.9248273556873,1288.1365743425242,1219.926214038856,43.15491809022757,181.2025
15,A-n53-k7,1010,1112.4865733184613,1307.9210476163728,1214.2450578236273,76.46025115739961,186.7075
16,A-n54-k7,1167,1298.2538319966666,1434.9601155804462,1366.8345192780516,57.370445508411386,194.8625
17,A-n55-k9,1073,1235.4160131891645,1369.3823649515887,1292.3739560895442,53.67293182882349,217.6675
18,A-n60-k9,1408,1539.3542411742055,1648.2347344829404,1579.6709186763167,43.188767734879654,213.89000000000001
19,A-n61-k9,1035,1160.3300626479731,1228.9437655372114,1185.1641170738026,26.237153671102863,221.775
20,A-n62-k8,1290,1455.1471104501836,1576.4520181261917,1532.061474621664,48.93297637350211,203.01000000000002
21,A-n63-k10,1315,1543.7342721011396,1691.4048537087542,1585.910351583053,61.273012503680654,225.8875
22,A-n63-k9,1634,1808.88987327793,1897.2281182442384,1843.3719933294788,32.76268288092153,225.2475
23,A-n64-k9,1402,1535.4584898372375,1630.2352786822867,1591.6172499480972,35.4258611658112,223.49249999999998
24,A-n65-k9,1177,1388.7985897923663,1535.6119342878492,1452.1831197557672,55.30719045925908,226.5725
25,A-n69-k9,1168,1290.194042640933,1320.8813347847424,1304.6789930775426,11.498987704749709,228.795
26,A-n80-k10,1764,1991.967516017027,2110.418252909388,2055.6721135108082,44.21079751733617,238.47
