Parameters: numNests = 50 Pa = 0.25 Pc = 0.6 maxGenerations: 20000 stopCriterion = 20000
Dataset: A-n32-k5, Run time: 149.15, Best Solution Cost: 842.785755207392, Optimal Value: 784 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 32, 32
Dataset: A-n32-k5, Run time: 149.76, Best Solution Cost: 864.4056705902805, Optimal Value: 784 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 32, 32
Dataset: A-n32-k5, Run time: 148.54, Best Solution Cost: 852.9875874041771, Optimal Value: 784 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 32, 32
Dataset: A-n32-k5, Run time: 149.67, Best Solution Cost: 815.2981624598074, Optimal Value: 784 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 32, 32
Dataset: A-n32-k5, Run time: 151.49, Best Solution Cost: 923.8071961027958, Optimal Value: 784 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 32, 32

Dataset: A-n33-k5, Run time: 152.33, Best Solution Cost: 706.2326939323311, Optimal Value: 661 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 33, 33
Dataset: A-n33-k5, Run time: 148.83, Best Solution Cost: 737.7806006904157, Optimal Value: 661 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 33, 33
Dataset: A-n33-k5, Run time: 153.96, Best Solution Cost: 722.6467990731659, Optimal Value: 661 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 33, 33
Dataset: A-n33-k5, Run time: 152.17, Best Solution Cost: 770.5667185345962, Optimal Value: 661 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 33, 33
Dataset: A-n33-k5, Run time: 152.42, Best Solution Cost: 697.9922685816867, Optimal Value: 661 routesGen(gen, min) = 5, 5 numNodes(gen, req) = 33, 33


Dataset: A-n33-k6, Run time: 172.65, Best Solution Cost: 796.143985831965, Optimal Value: 742 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 33, 33
Dataset: A-n33-k6, Run time: 172.85, Best Solution Cost: 800.4086144019725, Optimal Value: 742 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 33, 33
Dataset: A-n33-k6, Run time: 170.97, Best Solution Cost: 773.2833960478688, Optimal Value: 742 routesGen(gen, min) = 7, 6 numNodes(gen, req) = 33, 33
