,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
0,A-n32-k5,784,1765.0043311359211,1859.1119636527344,1812.0581473943278,47.05381625840664,0.0,"2-opt, reinsertion, swap-2-2"
1,A-n33-k5,661,1453.0862497845592,1465.513347790008,1459.2997987872836,6.213549002724449,0.005,"2-opt, reinsertion, swap-2-2"
2,A-n33-k6,742,1476.505255131114,1505.429234925095,1490.9672450281046,14.46198989699053,0.01,"2-opt, reinsertion, swap-2-2"
3,A-n34-k5,778,1695.8030195088727,1767.9322597879896,1731.8676396484311,36.06462013955843,0.005,"2-opt, reinsertion, swap-2-2"
4,A-n36-k5,799,1736.1803920378309,1787.4027431164864,1761.7915675771587,25.611175539327746,0.01,"2-opt, reinsertion, swap-2-2"
5,A-n37-k5,669,1593.5968556301875,1737.4430227117637,1665.5199391709757,71.92308354078807,0.01,"2-opt, reinsertion, swap-2-2"
6,A-n37-k6,949,1877.5271019196882,1884.4996009475767,1881.0133514336326,3.4862495139442444,0.01,"2-opt, reinsertion, swap-2-2"
7,A-n38-k5,730,1715.5000589909914,1826.484419828489,1770.9922394097403,55.49218041874883,0.005,"2-opt, reinsertion, swap-2-2"
8,A-n39-k5,822,1887.5554849096793,1895.0672535902734,1891.3113692499765,3.7558843402970297,0.005,"2-opt, reinsertion, swap-2-2"
9,A-n39-k6,831,1916.137915067835,2059.752331649116,1987.9451233584755,71.80720829064057,0.005,"2-opt, reinsertion, swap-2-2"
10,A-n44-k6,937,2106.664853138536,2162.6213497252643,2134.6431014319,27.97824829336423,0.01,"2-opt, reinsertion, swap-2-2"
11,A-n45-k6,944,2435.768416474804,2531.6234865990696,2483.6959515369367,47.92753506213285,0.01,"2-opt, reinsertion, swap-2-2"
12,A-n45-k7,1146,2279.678640564859,2366.144166583921,2322.91140357439,43.23276300953103,0.005,"2-opt, reinsertion, swap-2-2"
13,A-n46-k7,914,2258.416569370082,2287.435154592603,2272.9258619813427,14.509292611260435,0.005,"2-opt, reinsertion, swap-2-2"
14,A-n48-k7,1073,2535.3678656730926,2568.070968119442,2551.7194168962674,16.351551223174738,0.01,"2-opt, reinsertion, swap-2-2"
15,A-n53-k7,1010,2786.580439020387,2809.118912431195,2797.849675725791,11.269236705403955,0.01,"2-opt, reinsertion, swap-2-2"
16,A-n54-k7,1167,2857.2435495510167,2974.6674523735055,2915.955500962261,58.7119514112444,0.01,"2-opt, reinsertion, swap-2-2"
17,A-n55-k9,1073,2841.6093344727738,2918.8200246848855,2880.2146795788294,38.60534510605589,0.01,"2-opt, reinsertion, swap-2-2"
18,A-n60-k9,1408,3232.8231085878356,3369.3775403252866,3301.100324456561,68.27721586872553,0.01,"2-opt, reinsertion, swap-2-2"
19,A-n61-k9,1035,2663.9226549363716,2813.297527846635,2738.6100913915034,74.68743645513177,0.01,"2-opt, reinsertion, swap-2-2"
20,A-n62-k8,1290,3364.988979358678,3490.140301165263,3427.5646402619705,62.57566090329237,0.01,"2-opt, reinsertion, swap-2-2"
