,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
0,A-n32-k5,784,850.8833099,963.2643134,899.5590941,32.06256322,2.356666667,"2-opt, shift-1, swap-2-2"
1,A-n33-k5,661,680.4052703,814.9596931,744.4200508,33.26483759,2.376666667,"2-opt, shift-1, swap-2-2"
2,A-n33-k6,742,774.7728485,931.5057972,833.3645565,38.56699662,2.523333333,"2-opt, shift-1, swap-2-2"
3,A-n34-k5,778,806.1775899,947.4070527,870.4239751,37.58660751,2.398,"2-opt, shift-1, swap-2-2"
4,A-n36-k5,799,873.9810925,1005.632671,920.4828571,29.17028717,2.480666667,"2-opt, shift-1, swap-2-2"
5,A-n37-k5,669,713.532525,849.0453099,779.6820561,28.65116688,2.506,"2-opt, shift-1, swap-2-2"
6,A-n37-k6,949,1020.38356,1212.635564,1103.086469,44.67628285,2.656,"2-opt, shift-1, swap-2-2"
7,A-n38-k5,730,792.0055232,1141.662064,890.6520717,90.13621203,2.634333333,"2-opt, shift-1, swap-2-2"
8,A-n39-k5,822,887.7911,1115.006336,989.9539432,59.89102691,2.5,"2-opt, shift-1, swap-2-2"
9,A-n39-k6,831,867.6092262,1030.264435,954.8935459,37.5762747,2.556,"2-opt, shift-1, swap-2-2"
10,A-n44-k6,937,1052.615185,1299.194482,1165.925498,68.58939568,2.690666667,"2-opt, shift-1, swap-2-2"
11,A-n45-k6,944,1035.125433,1182.603575,1104.694553,39.65590967,2.906333333,"2-opt, shift-1, swap-2-2"
12,A-n45-k7,1146,1223.094031,1369.090693,1298.412546,39.88332513,2.829666667,"2-opt, shift-1, swap-2-2"
13,A-n46-k7,914,966.0767558,1210.32378,1061.176975,49.34477973,2.870333333,"2-opt, shift-1, swap-2-2"
14,A-n48-k7,1073,1178.591535,1342.218447,1241.85336,39.34911668,2.902,"2-opt, shift-1, swap-2-2"
15,A-n53-k7,1010,1111.938343,1447.086044,1241.957088,80.34828305,3.075,"2-opt, shift-1, swap-2-2"
16,A-n54-k7,1167,1279.806005,1591.465158,1422.95839,67.27469468,3.027333333,"2-opt, shift-1, swap-2-2"
17,A-n55-k9,1073,1169.23782,1430.014083,1280.666381,69.55599195,3.424,"2-opt, shift-1, swap-2-2"
18,A-n60-k9,1408,1489.293142,1723.963406,1572.984448,43.8964934,3.467,"2-opt, shift-1, swap-2-2"
19,A-n61-k9,1035,1160.317027,1351.071167,1237.570402,43.18934181,3.588333333,"2-opt, shift-1, swap-2-2"
20,A-n62-k8,1290,1471.034264,1690.122872,1555.959338,50.39357271,3.311666667,"2-opt, shift-1, swap-2-2"
21,A-n63-k10,1315,1427.278119,1676.132015,1547.858882,59.53096539,3.709333333,"2-opt, shift-1, swap-2-2"
22,A-n63-k9,1634,1836.868664,2283.00508,1950.491278,88.920883,3.547666667,"2-opt, shift-1, swap-2-2"
23,A-n64-k9,1402,1614.683154,1830.646659,1688.140206,52.38865205,3.507,"2-opt, shift-1, swap-2-2"
24,A-n65-k9,1177,1348.862222,1600.47109,1439.079216,55.80128121,3.691666667,"2-opt, shift-1, swap-2-2"
25,A-n69-k9,1168,1359.18487,1572.950903,1427.008888,45.64063512,3.646666667,"2-opt, shift-1, swap-2-2"
26,A-n80-k10,1764,2039.149743,2314.602537,2171.016277,62.36541196,3.909,"2-opt, shift-1, swap-2-2"
27,B-n31-k5,672,690.4165868,796.9312781,711.4701313,24.84538864,2.416333333,"2-opt, shift-1, swap-2-2"
28,B-n34-k5,788,802.3157093,930.5101751,848.0845402,28.19123321,2.383333333,"2-opt, shift-1, swap-2-2"
29,B-n35-k5,955,986.5179087,1104.327161,1033.458758,33.91584671,2.419333333,"2-opt, shift-1, swap-2-2"
30,B-n38-k6,805,836.2079679,917.0276964,866.5778874,21.92452747,2.653666667,"2-opt, shift-1, swap-2-2"
31,B-n39-k5,549,578.4973772,799.1134098,627.9476483,40.63453721,2.511333333,"2-opt, shift-1, swap-2-2"
32,B-n41-k6,829,889.2351788,1373.307009,1013.937052,103.0078376,2.677,"2-opt, shift-1, swap-2-2"
33,B-n43-k6,742,785.4421185,989.6451712,830.067843,35.96230232,2.725333333,"2-opt, shift-1, swap-2-2"
34,B-n44-k7,909,965.8069629,1170.693195,1045.74123,41.09966442,2.845666667,"2-opt, shift-1, swap-2-2"
35,B-n45-k5,751,783.4360307,1194.181194,864.6527763,79.33567768,2.718666667,"2-opt, shift-1, swap-2-2"
36,B-n45-k6,678,744.4409899,925.0243262,774.0877006,32.10901289,2.891,"2-opt, shift-1, swap-2-2"
37,B-n50-k7,741,788.1488956,920.9016362,835.624282,41.02159069,2.95,"2-opt, shift-1, swap-2-2"
38,B-n50-k8,1313,1374.877623,1517.942624,1444.633995,37.06100225,3.078,"2-opt, shift-1, swap-2-2"
39,B-n51-k7,1032,1056.445097,1755.441893,1173.056146,149.8160317,3.104333333,"2-opt, shift-1, swap-2-2"
40,B-n52-k7,747,790.6523874,930.3553247,844.670091,35.58306617,3.018666667,"2-opt, shift-1, swap-2-2"
41,B-n56-k7,707,777.2898782,943.9249751,825.6563319,43.29231731,3.046666667,"2-opt, shift-1, swap-2-2"
42,B-n57-k7,1153,1175.338625,1432.467815,1281.667028,63.90930775,3.204666667,"2-opt, shift-1, swap-2-2"
43,B-n57-k9,1598,1693.995076,1930.527339,1758.949037,45.12307765,3.338666667,"2-opt, shift-1, swap-2-2"
44,B-n63-k10,1537,1651.328151,1865.231164,1737.300717,46.41235567,3.613,"2-opt, shift-1, swap-2-2"
45,B-n64-k9,861,956.1463398,1142.03282,1015.184978,43.58232,3.568333333,"2-opt, shift-1, swap-2-2"
46,B-n66-k9,1374,1396.417696,1698.448654,1541.161154,71.35834688,3.540666667,"2-opt, shift-1, swap-2-2"
47,B-n67-k10,1033,1159.295083,1376.642138,1231.991947,49.88647669,3.617333333,"2-opt, shift-1, swap-2-2"
48,B-n68-k9,1304,1408.498694,1601.329523,1493.218709,52.89936234,3.507,"2-opt, shift-1, swap-2-2"
49,B-n78-k10,1266,1381.324617,1614.429423,1493.912873,59.82803123,3.810666667,"2-opt, shift-1, swap-2-2"
50,P-n101-k4,681,998.224199,1130.850848,1065.52802,30.16851122,3.467666667,"2-opt, shift-1, swap-2-2"
51,P-n16-k8,435,451.3350802,477.3022112,459.8751803,7.212539267,2.227333333,"2-opt, shift-1, swap-2-2"
52,P-n19-k2,212,220.6431353,345.5548221,304.8488397,32.2767141,1.425333333,"2-opt, shift-1, swap-2-2"
53, P-n20-k2,220,255.2077255,356.9546773,319.6483826,24.67547284,1.443666667,"2-opt, shift-1, swap-2-2"
54,P-n21-k2,211,232.5593629,313.393402,268.7811541,18.32153177,1.506,"2-opt, shift-1, swap-2-2"
55,P-n22-k2,216,280.0825557,387.6240023,326.2768827,25.32242675,1.482333333,"2-opt, shift-1, swap-2-2"
56,P-n22-k8,603,594.8832963,678.6921818,617.9033411,19.57162236,2.536333333,"2-opt, shift-1, swap-2-2"
57,P-n23-k8,554,537.9392435,585.1466206,561.7273647,14.21099177,2.624333333,"2-opt, shift-1, swap-2-2"
58,P-n40-k5.vrp,458,476.6524583,597.5252336,533.6406794,24.52135277,2.457,"2-opt, shift-1, swap-2-2"
59,P-n45-k5,510,567.622129,674.3690478,614.9256609,26.01668593,2.504333333,"2-opt, shift-1, swap-2-2"
60,P-n50-k10,696,748.5960881,911.0981088,800.2116549,36.66857807,3.428,"2-opt, shift-1, swap-2-2"
