,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
0,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"swap-2-1, shift-1, swap-2-2",1147.903156862963,1223.7842820875308,40.78528330136285,2.775827160493827,9.940081857188176e-05
1,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"swap-2-1, shift-1, swap-2-2",1026.0530234043479,1091.0948070833333,41.54638823437455,2.773521739130435,0.04156975162896875
2,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"swap-2-1, shift-1, swap-2-2",659.4625237791666,704.5794346147222,24.850275087054072,2.7313472222222224,0.005110260660855864
3,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"swap-1-1, shift-1, swap-2-2",1142.0947811592591,1222.8820779485186,41.91513475635225,2.7455308641975313,0.003939075901134852
4,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"swap-1-1, shift-1, swap-2-2",1026.8220274565217,1105.0377821997101,47.02685324566705,2.800072463768116,0.2735436610893661
5,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"swap-1-1, shift-1, swap-2-2",660.84427755,705.0154660204167,25.54628571788901,2.7908055555555555,0.015158438877439449
6,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"2-opt, reinsertion, double-bridge",1141.5234181925928,1245.611884555432,62.11929031212389,2.9821851851851853,0.11281874216705877
7,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"2-opt, reinsertion, double-bridge",1030.6809576826083,1140.7781466340582,65.46329265628938,3.0268550724637686,7.687343458186032e-05
8,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"2-opt, reinsertion, double-bridge",643.4971984416666,698.3424746811111,33.01875880566525,2.970486111111111,0.7317059346728588
9,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"2-opt, exchange, double-bridge",1151.0794062148148,1261.175064984321,63.229218386840344,2.951296296296297,9.940081857188176e-05
10,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"2-opt, exchange, double-bridge",1038.9031494869564,1150.658429380435,69.2325246997726,2.9975797101449273,2.7015948487105512e-05
11,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"2-opt, exchange, double-bridge",648.469856975,711.4741127522221,34.309469971491126,2.936875,0.6475683676310555
12,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"2-opt, double-bridge",1302.471885937037,1472.6369797697535,103.2928677457087,2.7652098765432096,5.606116527496013e-06
13,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"2-opt, double-bridge",1135.9630697608695,1294.3971759668113,97.39772687234714,3.0362608695652176,2.7015948487105512e-05
14,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"2-opt, double-bridge",752.3150677083335,855.8134160872223,52.09100553385614,2.7012083333333337,1.821529714896801e-05
15,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"2-opt, shift-1",1150.5171415333334,1237.7827669519754,50.03123599285379,2.646703703703704,0.6829616948348547
16,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"2-opt, shift-1",1025.8038728391307,1094.8694166744926,44.98140028649123,2.6087971014492757,0.26043936484565566
17,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"2-opt, shift-1",654.5036710625,709.0002901756944,32.00178759326631,2.5755,0.048674875673469
18,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"2-opt, or-opt-2, double-bridge",1178.0209153592593,1279.867562388642,62.4981635731339,2.4770864197530864,6.28108477823397e-06
19,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"2-opt, or-opt-2, double-bridge",1045.890192404348,1153.3238886389852,64.81053232915554,2.522188405797101,3.0883947354500344e-05
20,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"2-opt, or-opt-2, double-bridge",661.0741805666667,716.0751576845832,31.995530476352002,2.4881249999999997,0.5677091661973526
21,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"2-opt, reinsertion, swap-2-2",1133.2280752148147,1231.2527890204938,54.61421045588426,2.2998395061728396,0.4140141737680194
22,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"2-opt, reinsertion, swap-2-2",1018.4746392608694,1117.2655395002898,60.174190977961594,2.3400434782608697,0.0021269364671226854
23,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"2-opt, reinsertion, swap-2-2",637.3794079291666,687.1543390465278,28.428969954849023,2.331513888888889,0.05558365877076873
24,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"swap-2-1, reinsertion, swap-2-2",1157.1544580407408,1262.000241864321,52.725516778468894,3.3513950617283945,0.0026722275818574603
25,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"swap-2-1, reinsertion, swap-2-2",1055.8398866173911,1150.1160981675362,56.52935689504863,3.5330289855072463,0.00012695899968328864
26,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"swap-2-1, reinsertion, swap-2-2",656.4611961708334,708.7350036708334,28.81936644864132,3.573833333333333,0.5872281657620673
27,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"2-opt, shift-1, double-bridge",1153.9543748851852,1237.9187311267901,52.19436464011601,2.187259259259259,0.9808326681373396
28,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"2-opt, shift-1, double-bridge",1027.784497873913,1101.5073338015943,53.13822234983716,2.2417971014492752,0.6051183204878607
29,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"2-opt, shift-1, double-bridge",653.7555376708333,711.1856571418056,33.66926444785869,2.209138888888889,0.5677091661973526
30,Set A,1045,"2-opt, shift-1, swap-2-2",1149.2851243814816,1236.824901623704,51.3967032715027,3.0033827160493822,"2-opt, or-opt-3, double-bridge",1186.2694697888887,1290.4344505122222,59.82560422222542,2.1993333333333336,6.28108477823397e-06
31,Set B,971,"2-opt, shift-1, swap-2-2",1029.2206519,1099.6979502485508,51.339100613954294,3.0278115942028987,"2-opt, or-opt-3, double-bridge",1049.5403998608695,1158.0694547013045,67.13255126082849,2.2129565217391303,2.7015948487105512e-05
32,Set P,576,"2-opt, shift-1, swap-2-2",654.9695268500001,712.2760592390277,32.12673961243681,2.9550555555555555,"2-opt, or-opt-3, double-bridge",671.192934325,730.9596682984721,31.97581400375367,2.183361111111111,0.06329083223334525
33,Set A,1045,"swap-2-1, shift-1, swap-2-2",1147.903156862963,1223.7842820875308,40.78528330136285,2.775827160493827,"swap-1-1, shift-1, swap-2-2",1142.0947811592591,1222.8820779485186,41.91513475635225,2.7455308641975313,0.7366069598886785
34,Set B,971,"swap-2-1, shift-1, swap-2-2",1026.0530234043479,1091.0948070833333,41.54638823437455,2.773521739130435,"swap-1-1, shift-1, swap-2-2",1026.8220274565217,1105.0377821997101,47.02685324566705,2.800072463768116,0.000418499334469344
35,Set P,576,"swap-2-1, shift-1, swap-2-2",659.4625237791666,704.5794346147222,24.850275087054072,2.7313472222222224,"swap-1-1, shift-1, swap-2-2",660.84427755,705.0154660204167,25.54628571788901,2.7908055555555555,0.8192020334011836
36,Set A,1045,"swap-2-1, shift-1, swap-2-2",1147.903156862963,1223.7842820875308,40.78528330136285,2.775827160493827,"2-opt, reinsertion, double-bridge",1141.5234181925928,1245.611884555432,62.11929031212389,2.9821851851851853,0.0009149575215593386
37,Set B,971,"swap-2-1, shift-1, swap-2-2",1026.0530234043479,1091.0948070833333,41.54638823437455,2.773521739130435,"2-opt, reinsertion, double-bridge",1030.6809576826083,1140.7781466340582,65.46329265628938,3.0268550724637686,2.7015948487105512e-05
