,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
0,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"swap-2-1, shift-1, swap-2-2",951.6176398,1014.152197,35.85373217,2.760684685,2.88E-07
1,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"swap-1-1, shift-1, swap-2-2",950.1855187,1018.298058,38.19509622,2.777166667,0.017132496
2,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"2-opt, reinsertion, double-bridge",945.550366,1035.535644,53.72063217,2.992274775,0.002865263
3,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"2-opt, exchange, double-bridge",953.2053105,1048.54391,55.71573303,2.961004505,1.35E-07
4,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"2-opt, double-bridge",1072.289907,1217.187236,84.85458487,2.828698198,7.73E-14
5,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"2-opt, shift-1",950.8856757,1021.866733,42.61430379,2.611828829,0.22238568
6,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"2-opt, or-opt-2, double-bridge",969.2948578,1057.68483,53.32412691,2.494684685,1.78E-08
7,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"2-opt, reinsertion, swap-2-2",936.7456828,1019.359957,47.84980208,2.322608108,0.924889415
8,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"swap-2-1, reinsertion, swap-2-2",963.2777901,1047.788066,46.15444536,3.479990991,5.81E-06
9,870,"2-opt, shift-1, swap-2-2",951.6492162,1024.080414,45.1290818,2.995301802,"2-opt, shift-1, double-bridge",952.5127632,1024.688246,46.47958522,2.211306306,0.566143332
