Sum of Best Solution Cost,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels, P-n20-k2, P-n50-k7,A-n32-k5,A-n33-k5,A-n33-k6,A-n34-k5,A-n36-k5,A-n37-k5,A-n37-k6,A-n38-k5,A-n39-k5,A-n39-k6,A-n44-k6,A-n45-k6,A-n45-k7,A-n46-k7,A-n48-k7,A-n53-k7,A-n54-k7,A-n55-k9,A-n60-k9,A-n61-k9,A-n62-k8,A-n63-k10,A-n63-k9,A-n64-k9,A-n65-k9,A-n69-k9,A-n80-k10,B-n31-k5,B-n34-k5,B-n35-k5,B-n38-k6,B-n39-k5,B-n41-k6,B-n43-k6,B-n44-k7,B-n45-k5,B-n45-k6,B-n50-k7,B-n50-k8,B-n51-k7,B-n52-k7,B-n56-k7,B-n57-k7,B-n57-k9,B-n63-k10,B-n64-k9,B-n66-k9,B-n67-k10,B-n68-k9,B-n78-k10,P-n101-k4,P-n16-k8,P-n19-k2,P-n21-k2,P-n22-k2,P-n22-k8,P-n23-k8,P-n40-k5.vrp,P-n45-k5,P-n50-k10,P-n50-k8,P-n51-k10,P-n55-k10,P-n55-k15,P-n55-k7,P-n55-k8,P-n60-k10,P-n60-k15,P-n65-k10,P-n70-k10,P-n76-k4,P-n76-k5,Grand Total
results03_shift1.csv,299.9154759,884.1272833,1076.272601,822.8250288,811.5325693,1040.403727,992.1797546,944.9817571,1262.366675,1259.70613,1306.127206,1113.380566,1418.036067,1330.921322,1358.961804,1095.061813,1351.383551,1660.6643,1689.979251,1506.102427,1734.2648,1529.752104,1926.672388,1706.202001,2088.217692,1930.742858,2008.865514,1685.990706,2450.88928,729.881294,907.9100288,1091.143031,954.4338778,723.521496,1237.403752,854.169033,1181.225901,1154.897885,973.7531367,931.5556816,1535.880506,1544.770147,1006.186425,906.4370368,1708.723339,2044.616848,2113.239054,1142.764454,2067.28726,1423.911978,1827.137011,2075.323793,1300.968771,451.9470921,316.7163861,296.7772265,371.3919009,641.1183822,572.1408641,554.0198173,669.0523937,890.1786207,757.4727496,949.5156641,924.4667142,1206.842073,748.8944892,750.2165868,950.0415706,1208.779504,1103.15156,1118.171722,1429.652085,1209.394037,88843.60983
results04_twoOpt.csv,259.7989882,711.7125892,1058.050929,856.3593691,970.5936243,1019.056801,1176.378834,1006.629552,1141.887882,1049.158924,1227.827405,1120.16718,1358.567825,1429.397114,1406.07279,1219.542834,1415.907044,1540.999776,1682.074103,1491.237697,1733.302185,1392.692621,1925.342833,1764.035964,1967.701549,1902.273563,1700.655888,1630.655186,2673.297569,767.6578487,1031.644432,1314.461263,937.0863417,724.9910437,1080.045013,979.5434903,1217.87133,1274.33787,1003.758755,1181.030883,1487.833152,1492.514006,1268.426154,1271.829335,1786.863442,1964.391267,1941.20935,1475.786075,1719.303718,1476.338329,1665.840968,1907.24897,1571.045036,454.3983428,304.0243476,300.4767621,309.1330055,631.3242893,568.6306853,656.7278886,736.5057672,907.5408713,761.9597689,1002.184118,941.8699535,1102.797563,909.5472093,822.3182727,983.4847204,1134.206032,1113.058129,1106.244774,1243.482871,1166.774851,89529.12692
results05_twoOpt_adaptivePa.csv,285.534195,760.9712799,1272.457403,882.2276385,923.4849424,924.9942889,1019.860685,893.5245852,1151.604703,991.4446568,1058.031359,1121.224614,1294.523206,1203.43761,1412.759344,1175.472241,1344.087445,1360.729848,1612.669234,1502.524676,1825.381197,1423.102239,1901.074409,1716.747755,2153.30837,1929.907403,1724.384422,1920.695197,2590.401278,846.1098935,983.4815465,1164.380033,1001.715799,1001.987944,1168.620117,886.6897962,1062.69297,1166.42415,913.0867218,1061.291906,1558.943784,1364.022604,1190.646072,1082.529959,1626.676233,1988.785441,2147.663793,1351.492251,1660.767813,1626.7535,1716.519361,1824.046542,1448.822241,464.0690944,297.4976277,290.6965048,295.4191642,608.2924868,575.9825802,716.2642193,738.3003036,875.0432151,768.8471493,979.1955321,829.3832834,1109.974795,737.6841612,838.5721458,1033.350842,1154.384037,1079.460308,1157.653499,1065.236233,1203.96706,88039.99093
results06_swap21.csv,316.0353637,734.7294776,953.709551,875.8434336,847.3034299,962.590687,1020.417151,912.531276,1123.497026,943.3141571,1084.014271,1150.859039,1207.28449,1214.090596,1402.855774,1204.793916,1451.927901,1474.570428,1491.433693,1326.76712,1705.814121,1473.699921,1806.276269,1885.121584,1966.693209,1886.391777,1596.772044,1657.702825,2465.840049,718.9649213,934.6016196,1076.61279,887.2369424,651.4292172,991.1046063,862.6477788,1115.967193,940.9090305,892.3493944,946.4980662,1689.354546,1179.945596,953.6005696,939.5348525,1474.753963,1964.36726,2110.743078,1159.71266,1723.729711,1443.551962,1686.108658,1776.472043,1306.613026,454.3983428,290.1354097,291.6041237,270.5173002,633.9202016,576.6095674,598.219834,795.889161,873.8809084,840.187785,917.5695511,833.7740879,1096.229558,777.8262168,888.2645839,1001.871965,1175.21711,978.8818733,1073.07188,1090.107916,1012.921134,84040.78858
results07_swap22.csv,307.7659288,956.7622385,1137.933653,914.2702231,983.0136458,1035.777419,1112.274569,999.0938849,1284.319448,1073.020152,1395.889961,1223.807008,1364.482154,1556.715728,1380.347927,1245.585625,1467.731454,1515.176482,1572.004062,1589.980578,1893.451118,1570.024227,1839.330406,1936.993432,2262.928735,2007.696345,1806.184491,2075.631719,2445.2146,758.1218045,1117.019305,1173.967242,936.9574147,920.3879272,1086.547345,1051.274391,1161.180817,1352.383703,983.5140595,1236.451381,1590.262478,1587.989715,1268.298799,1074.364966,1589.72611,1925.300638,1965.809832,1374.949173,1798.86752,1365.526853,1844.506314,1823.509848,1534.931465,481.7225078,294.4755877,330.4735964,295.8233626,707.4565678,597.7281671,743.9685545,726.0586366,970.8789019,839.427004,990.71274,1012.894963,1178.976213,812.388583,815.3691943,1008.973925,1342.077834,1174.040557,1249.922149,1019.162477,1129.158542,92196.94638
results08_doubleBridge.csv,348.6745151,855.3860227,1246.329819,952.7593825,1073.211343,1099.686365,1180.36287,1250.774353,1323.031732,1170.234649,1210.543952,1257.566092,1429.906944,1531.525595,1528.43624,1576.155383,1575.457615,1677.250523,1654.391648,1686.151655,2047.060451,1704.434644,2077.124913,1971.59339,2426.005534,2135.607741,1929.177769,1903.807804,2826.335193,899.4257647,1010.346553,1316.977005,1135.03328,1121.180836,1144.318065,1075.017869,1229.326311,1273.759572,1016.783531,1275.707,1608.611415,1583.274723,1287.90154,1195.836025,1961.57906,2052.452065,2086.455653,1445.207992,2025.301951,1807.792651,1915.112038,2037.481246,1699.959829,466.1807628,349.5664007,360.9500218,363.9139086,638.6123095,572.971226,702.2635865,900.8952734,964.4732,897.5152777,1036.097368,1029.402593,1223.162786,874.7602926,978.9440319,1049.36162,1299.410508,1257.920795,1356.601007,1273.444948,1363.776268,98814.0503
results09_shift1.csv,363.5506153,703.0074031,974.668472,754.9884125,938.1600697,887.7355105,930.2946506,916.5865652,1339.798524,1389.256586,1235.743861,1169.63063,1918.676461,1479.556254,1281.177556,1204.263911,1310.994896,1796.812661,1821.970862,1434.182268,1785.203128,1654.136326,1817.663579,1730.778328,2126.325559,1912.429931,1541.313155,1768.589662,2507.78124,855.1535152,833.323229,1120.305145,934.7608648,672.1503798,1189.451598,931.0339966,1136.774108,1285.464544,875.8055727,1031.447466,1523.148786,1323.740464,1037.489789,1137.278077,1639.968154,1863.779996,2014.782266,1228.69405,2338.056273,1504.482153,1795.367419,1736.058429,1324.640815,463.3857706,339.4048269,304.6989323,342.5460924,645.5321396,550.0902957,635.5577425,645.4205235,840.613177,785.3001904,969.4688676,957.8609719,1120.006791,749.0057755,834.4592403,1086.390829,1203.276845,1064.117341,1073.771285,1080.285996,1292.754465,89012.38226
results10_shift2.csv,301.4099619,785.0881038,1087.260842,915.612436,1120.889017,1387.352397,1118.309877,898.7315917,1309.634365,918.7793807,1500.329811,1121.190058,1550.758234,1486.564349,1703.873726,1172.183227,1473.245576,1479.048079,1550.904168,2563.671789,2171.219613,1510.354353,2185.448739,2339.333883,2381.911491,2632.586153,1846.38803,1866.109537,3252.926634,742.8773737,1076.118917,1240.118035,1134.130337,698.9564755,1022.670359,923.4817799,1299.57629,1017.764943,836.2433823,1229.363819,1710.983551,1570.800403,992.4408102,1199.286052,1440.184062,2103.391271,2264.337064,1490.100796,1835.672464,1409.035907,2346.493735,1675.573191,1199.646501,484.6276396,321.7611984,345.0481067,387.5308224,709.4203659,627.3465322,659.3585378,1047.399802,968.5725518,959.3278963,1034.713619,1142.714713,1517.892998,766.5258253,1051.731652,1098.111661,1508.027601,1133.898812,1206.905965,1121.207365,962.8715943,97145.3582
results11_exchange.csv,286.9539345,1020.175048,1241.858788,1168.924399,1155.310927,1173.455475,1306.375188,1157.665928,1491.305094,1417.034379,1322.142014,1418.75207,1636.658486,1925.892853,1719.65689,1664.445222,1701.769346,2048.636009,2089.271499,2091.260515,2414.768209,2234.615661,2345.948282,2649.617433,2828.39377,2393.366148,2583.061337,2501.733014,3012.006115,1000.037178,1261.839886,1374.951055,1347.76675,1219.87408,1539.979455,1316.657562,1585.546658,1400.00483,1216.724581,1587.051232,1977.106022,2172.369041,1617.179573,1986.416895,2249.698748,2436.574113,2541.781423,2145.299615,2313.773843,2178.778937,2378.66534,2685.721088,1671.594877,478.7534915,272.9379927,284.9106818,272.3422993,723.7990899,609.5976017,870.4369277,938.0252025,1211.804208,1185.579488,1391.897617,1289.105706,1545.648585,1164.454969,1115.753378,1449.251462,1718.082002,1548.923349,1711.563105,1365.046787,1314.041651,117668.4024
results12_reinsertion.csv,269.1242566,1050.775481,1274.009145,1162.910794,1247.911068,1205.694591,1286.023248,1210.20037,1418.834644,1258.783454,1391.465861,1467.395104,1598.254053,1882.722485,1805.811312,1633.456566,1696.83009,1949.305699,1835.642589,2084.810736,2475.240447,2045.402993,2166.791236,2342.089616,2578.130329,2343.107599,2383.964239,2516.507173,2929.198603,903.4861622,1159.64243,1521.849702,1326.648731,1300.019081,1564.398264,1223.696503,1458.334094,1422.540657,1214.466113,1832.066832,2010.181715,2149.510362,1473.473719,1594.527176,2327.063113,2413.68749,2695.784231,2123.090685,2249.448586,2158.050064,2503.280772,2386.42615,1470.52344,456.9528159,277.0087534,237.9078417,279.3545333,713.1277883,634.2306669,826.6361463,948.4922692,1301.157262,1208.027816,1374.898649,1307.766644,1597.174727,1062.882399,1068.19578,1386.675399,1775.921314,1537.399712,1705.611793,1154.343528,1227.352012,115073.7077
