,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,886.4641650351962,1157.6321021197928,1014.5878723330964,56.31642079950965,1.1986666666666668
1,A-n33-k5,661,738.1570362560517,908.645565199824,826.3405559201169,43.427180568552835,1.2049999999999996
2,A-n33-k6,742,797.5620108017159,1040.4436313472377,929.5003766278521,64.80430607833432,1.2566666666666668
3,A-n34-k5,778,874.499730291105,1066.5404522288018,973.0931277267915,43.589744882995646,1.1916666666666667
4,A-n36-k5,799,939.0119095583264,1111.3129438901933,1039.07361823137,42.054829392184715,1.225
5,A-n37-k5,669,847.8056998008169,1046.2493055327075,931.1893872045059,46.43022310730343,1.2166666666666666
6,A-n37-k6,949,1078.861006068873,1328.6407202368905,1195.4946380171984,52.9381300000996,1.3400000000000003
7,A-n38-k5,730,876.5323151712234,1088.2066162482738,977.2215533911659,55.041610330816376,1.2636666666666665
8,A-n39-k5,822,969.0836145954431,1146.7435008023774,1076.1949669371431,36.379293926645666,1.2583333333333333
9,A-n39-k6,831,982.0818086541537,1222.5314876976433,1098.67924647509,53.82238107788265,1.312666666666667
10,A-n44-k6,937,1136.9691571427716,1336.5776517812617,1248.705493503818,52.02628214041731,1.378
11,A-n45-k6,944,1224.5064533124473,1447.7607958764556,1327.2545087380754,67.92028399700682,1.4286666666666668
12,A-n45-k7,1146,1336.3584531250003,1471.66471306807,1392.799363147973,39.14254559313823,1.4213333333333331
13,A-n46-k7,914,1094.1131711474177,1344.060785760257,1246.8615525447929,55.803500250875956,1.4283333333333332
14,A-n48-k7,1073,1310.7181038563356,1558.8605221975502,1415.6885172572402,59.19302478109848,1.4426666666666668
15,A-n53-k7,1010,1342.4102907034128,1553.7689396373848,1455.9791004547271,54.359460341036126,1.520333333333333
16,A-n54-k7,1167,1471.7881662093919,1706.7970709580457,1591.5708712158655,58.74484451219629,1.5290000000000001
17,A-n55-k9,1073,1418.3191895949308,1650.391373072156,1537.4971504303257,61.48711811487939,1.6793333333333331
18,A-n60-k9,1408,1712.4659009510042,2013.177580587335,1834.716605808993,66.47975403965827,1.6966666666666665
19,A-n61-k9,1035,1377.7015969304016,1651.4853589596669,1512.9010886486917,76.86639660136872,1.774333333333333
20,A-n62-k8,1290,1695.6906878183681,1964.7642634492224,1841.7044454876013,68.72890024654698,1.615333333333333
21,A-n63-k10,1315,1738.260159861182,2011.5166663772784,1839.5222107081313,72.43188928368924,1.8190000000000002
22,A-n63-k9,1634,2043.953136898945,2346.792692368301,2190.367298223418,79.5036436035621,1.782333333333333
23,A-n64-k9,1402,1757.9732764193657,2113.479800498469,1922.1609458349278,87.19972215501797,1.730666666666667
