,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,1021.7094082924871,1387.855707894455,1125.5411422627049,85.73392474140634,1.430333333333333
1,A-n33-k5,661,860.8732149788683,1057.277871868285,967.092785513745,46.43062186220062,1.373
2,A-n33-k6,742,924.1725414196937,1165.0997387471007,1039.022423623774,61.66718848390075,1.4636666666666662
3,A-n34-k5,778,1015.7227160774744,1276.8877205592212,1133.9953172833132,61.75337660865811,1.363
4,A-n36-k5,799,1037.0426726461021,1374.2533877414032,1153.9199835357774,78.02683105555336,1.409333333333333
5,A-n37-k5,669,908.9767023004707,1079.9655221156484,1010.0293979133428,40.5728367739026,1.4669999999999996
6,A-n37-k6,949,1164.3706715688133,1603.0112629430685,1319.0685792706533,109.60837516527509,1.5343333333333335
7,A-n38-k5,730,975.2825122123539,1593.322478489494,1176.013903342312,149.0340830785595,1.4586666666666668
8,A-n39-k5,822,1068.4397362965137,1528.6691679206654,1313.4664213009962,135.26011845989382,1.4303333333333335
9,A-n39-k6,831,1108.7121192219852,1406.29618763025,1244.414919235283,80.5999944890494,1.5206666666666666
10,A-n44-k6,937,1246.5560240322366,1711.1851201485752,1448.6963769084714,96.32884116871628,1.5086666666666664
11,A-n45-k6,944,1194.6213708065497,1767.3792941341749,1428.7163996635102,112.17425454095316,1.6326666666666665
12,A-n45-k7,1146,1395.3421242600166,1584.740193219706,1511.3250945818368,50.808675695076175,1.5926666666666671
13,A-n46-k7,914,1220.2245714545468,1627.0322129043277,1372.003918282209,98.90510141727225,1.620666666666667
14,A-n48-k7,1073,1389.2960309545283,1714.9735595001239,1534.1416104288294,85.24544965857571,1.6220000000000003
15,A-n53-k7,1010,1242.955690962054,1915.513280704731,1586.27245700742,179.7147400928097,1.72
16,A-n54-k7,1167,1517.2945578683605,2059.3761661133663,1743.6478212104828,148.8782245834279,1.749333333333333
17,A-n55-k9,1073,1451.4307118113923,1926.9632983413612,1615.1630883664532,121.25279556904387,1.9110000000000003
18,A-n60-k9,1408,1796.2818626389906,2112.711578518539,1922.4291676946414,75.25032321647741,1.895
19,A-n61-k9,1035,1396.7329912440623,1638.487466055875,1527.1892332235002,59.35598485867803,2.004333333333333
20,A-n62-k8,1290,1811.725078550082,2264.8196056442494,1994.815738921756,114.00799806190966,1.8333333333333333
21,A-n63-k10,1315,1734.7333571080835,2093.310570020983,1902.0677391107797,95.7886438482172,2.0573333333333332
22,A-n63-k9,1634,1963.2788258323012,2454.328671791918,2217.384260430836,108.40963813698617,2.0126666666666666
23,A-n64-k9,1402,1905.745759089574,2417.49683146118,2057.32038923112,123.30948913031492,1.9879999999999998
24,A-n65-k9,1177,1668.8583142758891,2138.3710945148628,1840.4339478159816,88.83836284191676,2.045
25,A-n69-k9,1168,1604.1293206784871,2122.6944670122925,1876.3097536774255,140.48502822132696,2.0090000000000003
26,A-n80-k10,1764,2369.201130475461,2987.9346348713357,2647.298378688066,158.85510331637684,2.2103333333333337
27,B-n31-k5,672,739.415593088042,975.597302818749,808.6698002598242,54.821359997811776,1.4119999999999995
28,B-n34-k5,788,898.5396661724529,1223.1169623689793,1080.4450779885221,77.77360229529586,1.4523333333333333
29,B-n35-k5,955,1075.5538633636318,1503.0145330001956,1256.0353000807957,91.52052278572752,1.4159999999999997
30,B-n38-k6,805,933.1823703044777,1180.4348103052375,1029.0213585866402,65.39767170198118,1.5176666666666667
31,B-n39-k5,549,711.8052228621527,1118.0820861597156,874.040570474211,97.79361403642241,1.4609999999999996
32,B-n41-k6,829,1096.8657179328413,1639.5796605678468,1299.2495319457344,138.17815488401257,1.486
33,B-n43-k6,742,878.3048170006034,1195.8676177399668,1008.6678439282605,74.67192950955457,1.5720000000000005
34,B-n44-k7,909,1165.1817925605476,1603.025572118686,1300.7708791251205,118.03301382941774,1.6260000000000003
35,B-n45-k5,751,880.7184196239765,1715.6940810068002,1168.2646997319898,203.65358714718397,1.567666666666667
36,B-n45-k6,678,806.0698593068711,1080.1699029675017,962.7740519598212,62.83847275372779,1.6520000000000001
37,B-n50-k7,741,951.5536486414524,1355.6054307443478,1126.5437658669591,95.17535156879909,1.6809999999999996
38,B-n50-k8,1313,1562.4748386956085,1846.8091228500468,1686.5644235246207,82.91121859409137,1.7553333333333332
39,B-n51-k7,1032,1252.9533299280315,1851.7143508309068,1521.9476253068228,150.53407731188207,1.7850000000000004
40,B-n52-k7,747,916.0338705592819,1343.2999184384134,1067.3837063044775,94.87279063119823,1.7246666666666666
41,B-n56-k7,707,913.4276572230888,1405.6891820245414,1079.399933786854,101.44557172873569,1.7606666666666668
42,B-n57-k7,1153,1486.702381436459,1909.1520636840328,1698.5146206001616,118.85280521369316,1.8193333333333332
43,B-n57-k9,1598,1834.6605356106716,2238.247266833645,2020.4550262363439,96.27297798317655,1.8743333333333332
44,B-n63-k10,1537,1945.1853338981796,2374.2206500053608,2145.60649726035,104.34034325215646,2.0050000000000003
45,B-n64-k9,861,1115.1188643491603,1674.882255276609,1345.2257699762076,122.09541178099825,2.018333333333333
46,B-n66-k9,1374,1656.2509408211133,2181.122426160191,1878.0038123476577,146.64415371021525,1.9969999999999997
47,B-n67-k10,1033,1345.1306134282408,1738.5143290914557,1542.783301813695,98.5801274943264,2.0319999999999996
48,B-n68-k9,1304,1608.1558410611444,2080.651616412547,1858.039655012057,120.79763532573111,1.9856666666666665
49,B-n78-k10,1266,1688.9535586009238,2241.874242171681,1924.0543395404427,142.28418422740597,2.121666666666667
