,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,1684.9707000199503,1947.957366552125,1807.5479508393391,64.07090271453411,0.003
1,A-n33-k5,661,1317.8699215543895,1606.5558308101417,1479.9344223107344,67.11901967692138,0.0013333333333333333
2,A-n33-k6,742,1400.5851649043939,1584.869858847574,1512.478447966124,42.751579767296434,0.005666666666666668
3,A-n34-k5,778,1513.1155200295798,1741.2991792168264,1655.3901044530105,46.48570266132295,0.002
4,A-n36-k5,799,1616.4776016345627,1899.4866621957394,1795.7234894510127,59.21366126145649,0.004666666666666667
5,A-n37-k5,669,1533.4888043297894,1786.4778550429803,1662.388857377451,60.61952566777829,0.005666666666666668
6,A-n37-k6,949,1710.952804086543,2101.174713885192,1923.2610966003733,69.00684853453227,0.006000000000000002
7,A-n38-k5,730,1681.8913593042546,1918.3183454849313,1804.8716441628906,62.09516272675111,0.002333333333333333
8,A-n39-k5,822,1740.310243991532,1959.7140119941141,1872.4035428403106,50.77430093555904,0.003
9,A-n39-k6,831,1750.8739258458918,2142.3684680721494,1989.5611691719828,78.54121612854888,0.005666666666666668
10,A-n44-k6,937,2017.2388225761592,2287.4379338466524,2161.1649163362126,71.02094695117258,0.004
11,A-n45-k6,944,2321.8906754923923,2630.2227646748174,2487.533600964074,74.99770802438856,0.007333333333333334
12,A-n45-k7,1146,2234.793931864068,2453.3760900472275,2341.800668518531,53.571322733572494,0.003
13,A-n46-k7,914,2154.473396827104,2399.5478898273777,2284.48729809683,67.36160684466712,0.0026666666666666666
14,A-n48-k7,1073,2436.3669276251135,2734.8698063220745,2569.383294008104,72.85093720062224,0.0006666666666666666
15,A-n53-k7,1010,2519.9268416547648,2851.718759306137,2723.0121438146907,83.22619922319775,0.004666666666666667
16,A-n54-k7,1167,2735.804332719634,3026.160763656477,2901.9919972021153,70.26583551449775,0.004333333333333332
17,A-n55-k9,1073,2666.1257980463065,2923.586655935265,2797.232002844838,58.5052075383306,0.008333333333333335
18,A-n60-k9,1408,3072.768394395728,3467.0595777508893,3306.439117186224,95.83482186864562,0.009666666666666667
19,A-n61-k9,1035,2503.91598370156,2876.648910287409,2754.965105602334,73.48064915352181,0.010333333333333335
20,A-n62-k8,1290,3168.1474231813654,3595.1603004124477,3448.1875405402247,87.23062212070687,0.009000000000000001
21,A-n63-k10,1315,3085.801523500355,3439.510271213311,3273.0536690600206,76.41626028471738,0.008666666666666666
22,A-n63-k9,1634,3491.2739033351736,4004.84918797379,3737.9028381095163,115.73700259244963,0.009000000000000001
23,A-n64-k9,1402,3184.2103370375025,3545.2666914250412,3323.0479219680506,78.46817877975865,0.007666666666666668
24,A-n65-k9,1177,3309.48982383918,3618.0826442220687,3466.774195235078,78.73183429721776,0.009000000000000001
25,A-n69-k9,1168,3284.8240205398665,3594.098671218473,3456.5970225875967,71.91525059490802,0.009000000000000001
26,A-n80-k10,1764,4353.9659169365395,4702.0146026501525,4520.641105150927,92.27362296455424,0.009666666666666667
