,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,P-n101-k4,681,750.1704844136108,760.6714109051353,754.8821554516667,3.5723804156755485,2.882
1,P-n16-k8,435,473.7821123645115,473.78211236451153,473.78211236451153,4.0194366942304644e-14,3.085
2,P-n19-k2,212,220.64313526472105,220.64313526472105,220.64313526472105,0.0,1.714
3, P-n20-k2,220,233.75077110163184,240.98212302462622,238.8127174477279,3.313821756398621,1.625
4,P-n21-k2,211,234.1287293109946,241.87817088866103,239.17675140252223,3.483771515469716,1.6150000000000002
5,P-n22-k2,216,238.4750352164303,247.03615966386315,240.76724698809727,3.5419798035592294,1.6649999999999998
6,P-n22-k8,603,588.7935242586069,588.7935242586069,588.793524258607,1.1368683772161603e-13,2.7910000000000004
7,P-n23-k8,554,536.3446367940982,546.539431251352,540.1388991255952,2.9431074363417107,2.758
8,P-n40-k5.vrp,458,524.0380029267802,524.0380029267802,524.0380029267801,1.1368683772161603e-13,2.093
9,P-n45-k5,510,555.5211862232816,555.5211862232816,555.5211862232816,0.0,2.187
10,P-n50-k10,696,736.6074766128636,736.6074766128636,736.6074766128637,1.1368683772161603e-13,2.9989999999999997
11, P-n50-k7,554,610.503791976452,610.503791976452,610.503791976452,0.0,2.597
12,P-n50-k8,649,656.5373753337302,656.5373753337302,656.5373753337301,1.1368683772161603e-13,2.7950000000000004
13,P-n51-k10,745,810.1055448574173,815.7713453102788,814.1467264363306,2.184774392168286,2.996
14,P-n55-k10,669,729.3669350377097,729.4604775366857,729.4511232867882,0.028062749692810487,2.912
15,P-n55-k15,856,994.0859257800947,994.0859257800948,994.0859257800948,3.595093471822542e-14,3.9189999999999996
16,P-n55-k7,524,593.0919205154981,598.6808933662873,598.1219960812083,1.6766918552367316,2.5509999999999997
17,P-n55-k8,576,618.154940706962,618.154940706962,618.1549407069618,1.1368683772161603e-13,2.685
18,P-n60-k10,706,812.274314624725,812.274314624725,812.274314624725,0.0,3.123
19,P-n60-k15,905,1020.8281573853363,1020.8281573853363,1020.8281573853362,1.1368683772161603e-13,3.965
20,P-n65-k10,792,849.1981357074804,861.3062918867482,852.75017852645,2.982518638162923,3.2600000000000002
21,P-n70-k10,834,860.9383676465729,880.2324686375263,874.668044633631,4.772847831211007,3.497
22,P-n76-k4,589,649.161045576328,668.655060178489,657.870081794169,6.066967173008449,3.084
23,P-n76-k5,631,688.9679095320831,700.3761353102501,693.046867595099,3.0920960965423037,3.041
