,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,831.3314369671988,990.3374760138329,901.6493787113865,34.84859180522944,2.528666666666666
1,A-n33-k5,661,714.1047255658737,854.900062052595,766.3003492141779,39.66726123445842,2.302333333333333
2,A-n33-k6,742,765.6524049163955,940.2002768478695,844.7220399089726,43.62199030910636,2.5653333333333332
3,A-n34-k5,778,818.9760801514144,955.1096827809265,887.872183738981,34.23461315775691,2.3539999999999996
4,A-n36-k5,799,894.6787298220069,1076.5597589518075,960.518211067118,40.58390704673357,2.480666666666666
5,A-n37-k5,669,723.657540980296,871.014265735237,789.6475266915007,41.80857173892091,2.488333333333333
6,A-n37-k6,949,1030.1924364551307,1237.573612902176,1097.807253783207,51.179492761136444,2.4490000000000003
7,A-n38-k5,730,802.4659967877623,1154.9714210484042,913.283835431246,91.62787725141314,2.3776666666666673
8,A-n39-k5,822,931.6018003069948,1119.4467703735738,1000.4288731053255,48.08136987418516,2.292666666666667
9,A-n39-k6,831,905.0811658267389,1048.2119264870878,961.6071220702495,35.44670286685841,2.2430000000000003
10,A-n44-k6,937,1044.7718670389127,1260.4127265392,1125.6241542611458,47.6384464806903,2.478
11,A-n45-k6,944,1052.434111651777,1214.2963155303125,1114.344835949347,41.68603942920881,2.7820000000000005
12,A-n45-k7,1146,1235.565590082462,1357.2649763924508,1293.9105912728608,29.671246521591332,2.5529999999999995
13,A-n46-k7,914,985.7019262621637,1151.1395878613207,1050.5832401026034,37.6483549487611,2.6619999999999995
14,A-n48-k7,1073,1148.549129007901,1336.0608823345885,1241.980055659213,50.6336495048934,2.6236666666666664
15,A-n53-k7,1010,1083.5582354596297,1307.6838310679905,1184.1849505805053,48.72913960925211,3.0930000000000004
16,A-n54-k7,1167,1277.412996653934,1479.211945741504,1365.443921419901,48.864450411900755,2.6896666666666667
17,A-n55-k9,1073,1151.9506001943607,1361.5371586288036,1245.2851269200123,49.04774178122253,2.957333333333334
18,A-n60-k9,1408,1499.7688662848761,1649.342295708214,1574.5553868524598,41.46696244555957,2.9296666666666673
19,A-n61-k9,1035,1139.6393744631132,1277.8633534859198,1204.9127041662698,39.24988609101385,3.073333333333333
20,A-n62-k8,1290,1416.3411218244564,1645.8741262432432,1516.8883695376055,49.39757336278325,2.953
