,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,839.0665481799814,976.0919482306801,906.434004439801,44.214807096338866,1.29
1,A-n33-k5,661,701.8398221911664,896.8390668152591,768.1058994410346,44.110467803924344,1.2570000000000003
2,A-n33-k6,742,750.0312115030288,948.223063722323,864.0096163492357,50.4461141522602,1.356666666666667
3,A-n34-k5,778,804.1954103534052,965.0975565207673,884.8710234363791,40.12040159914949,1.2556666666666665
4,A-n36-k5,799,829.3917909212657,983.3789303098449,905.8284057168261,40.1550725148408,1.296
5,A-n37-k5,669,731.5090745465565,951.8238394950679,789.1843895922159,50.558727187591174,1.3226666666666667
6,A-n37-k6,949,999.1281017793917,1183.5238585443526,1106.5792606488797,42.76365392094291,1.4200000000000002
7,A-n38-k5,730,775.2575475501517,1028.6465124353108,894.8087774891513,59.33087503192922,1.3583333333333336
8,A-n39-k5,822,905.8643218787666,1115.2976291676823,985.9391083579815,55.52616212397365,1.3303333333333331
9,A-n39-k6,831,883.272985035046,1154.6999927241134,999.6514040294055,57.225582277758434,1.404
10,A-n44-k6,937,1031.6350706649068,1238.0638374922664,1130.9855439309315,52.63025290321173,1.4469999999999996
11,A-n45-k6,944,1010.1456461378176,1334.2404349122526,1131.5506100305952,72.89544341737363,1.5259999999999998
12,A-n45-k7,1146,1243.5791398760293,1456.7663779614593,1326.1558757303414,51.700519373697624,1.4899999999999998
13,A-n46-k7,914,1021.1507533591473,1242.72680209409,1100.4611667897877,50.83921291740463,1.5153333333333332
14,A-n48-k7,1073,1142.9340340880299,1471.6663490565788,1273.3760722746595,64.93954104623758,1.5290000000000001
15,A-n53-k7,1010,1109.2689856548227,1418.5510766385078,1252.2760403490454,79.11720734540317,1.6063333333333332
16,A-n54-k7,1167,1311.4740405249474,1540.6312024626147,1425.6565906633055,55.172212212235536,1.6333333333333333
17,A-n55-k9,1073,1244.125919794446,1461.9533387952713,1352.4834026920596,52.46789030326886,1.8136666666666668
18,A-n60-k9,1408,1548.0661099434806,1807.4998266978287,1664.7341109548565,67.44678932693843,1.8010000000000004
19,A-n61-k9,1035,1234.3795961091914,1411.2068699016472,1321.1225280400752,51.36793131997054,1.894
20,A-n62-k8,1290,1525.0578169818912,1792.0705428260712,1627.4501691563814,73.52080529649662,1.7213333333333334
21,A-n63-k10,1315,1499.9394112368464,1760.5017649648785,1613.0086248981638,54.901609020518066,1.9386666666666668
22,A-n63-k9,1634,1820.3602138442477,2063.910914810482,1938.6884418132838,54.63876570316371,1.889
23,A-n64-k9,1402,1603.194627760383,1856.5478147193191,1719.510776488948,59.47233487152677,1.8569999999999998
24,A-n65-k9,1177,1403.0259276057652,1740.8706527769677,1544.3302917692602,81.659930372276,1.9066666666666665
25,A-n69-k9,1168,1389.042872378023,1821.7183258795123,1541.923489363119,99.08452285509027,1.896666666666667
26,A-n80-k10,1764,2109.868121435755,2427.123669263818,2260.415738513049,74.50396586475301,2.0563333333333333
27,B-n31-k5,672,693.5233315608883,921.7371656116763,749.6480561329142,57.86069352289475,1.283
28,B-n34-k5,788,834.644932820262,1058.6347137041869,928.8049046864024,61.45410126393252,1.296
29,B-n35-k5,955,986.9696000035763,1199.8861207630698,1084.469367203342,61.24746328639318,1.2926666666666669
30,B-n38-k6,805,820.2608898205218,1003.6649419161533,887.154131985395,46.68278804097142,1.4029999999999996
31,B-n39-k5,549,574.0123157737441,742.8897818126883,648.7506649817975,44.10642416308335,1.3413333333333337
32,B-n41-k6,829,891.326741429215,1334.2736732056435,1028.3156986024883,82.84661431896845,1.4326666666666665
33,B-n43-k6,742,766.256340174054,956.092881654974,849.7470400504257,50.337239199779006,1.44
34,B-n44-k7,909,1021.5742876757683,1209.9863348963077,1084.7053175543024,45.788423218571545,1.5106666666666664
35,B-n45-k5,751,787.8574744493019,1118.3955064577058,895.1617375007305,77.13129785326075,1.457
36,B-n45-k6,678,758.2315037851687,955.112097336714,851.6091642715166,56.82087466282167,1.5233333333333334
37,B-n50-k7,741,795.4607364099215,1003.1338464129715,918.6066193382812,51.619141102796576,1.587666666666667
38,B-n50-k8,1313,1349.7559975833371,1620.1630547639784,1466.5769840939415,55.33891515153615,1.6566666666666665
39,B-n51-k7,1032,1090.6017921742855,1465.2610333316725,1268.280145103114,82.19862006987938,1.6696666666666664
40,B-n52-k7,747,831.2011039025917,1223.9616371307898,926.5752648531593,90.2486390283921,1.5983333333333336
41,B-n56-k7,707,758.1496430317296,955.646515066722,849.2618256301711,52.414938940975745,1.6316666666666664
42,B-n57-k7,1153,1291.0731896165262,1648.1063278772576,1449.85013181918,86.5664885503625,1.720333333333333
43,B-n57-k9,1598,1701.1358389792006,1926.4361855804436,1824.1363546152263,57.86372406854486,1.7760000000000002
44,B-n63-k10,1537,1702.5766248512555,2056.0954412048377,1854.0298582114008,76.14493563688566,1.9326666666666668
45,B-n64-k9,861,997.950003183081,1406.2194520496323,1136.2038140145967,91.53122449807437,1.9349999999999996
46,B-n66-k9,1374,1481.1847093456042,1771.5953983851555,1646.8648668650703,81.64124520778704,1.9146666666666665
47,B-n67-k10,1033,1191.0323265098564,1501.740361434829,1367.9035673883272,79.1367984674721,1.9573333333333336
48,B-n68-k9,1304,1471.7389703731249,1790.3666880546843,1596.3419568415422,76.90572371606675,1.8830000000000002
49,B-n78-k10,1266,1512.3262183129953,1683.06299041354,1586.8557086251544,50.432849295325205,2.074666666666667
50,P-n101-k4,681,1105.7826391218036,1321.716704296049,1174.9119144632955,49.4921154463333,1.8689999999999998
51,P-n16-k8,435,451.335080208618,485.23542621037205,461.3870026590865,9.669629464726736,1.2060000000000002
52,P-n19-k2,212,216.72747092786253,284.0993666313944,240.89123841824832,18.51548605197914,0.9233333333333335
53, P-n20-k2,220,217.41558334616656,302.0465212731196,240.06053150206435,20.125101838576015,0.934
54,P-n21-k2,211,212.71153970290385,260.8277498844443,227.35713061782232,14.724893584695339,0.9736666666666666
55,P-n22-k2,216,217.85215074022966,304.7016195317777,244.4623536030401,20.459438196582017,0.968
56,P-n22-k8,603,620.4455660449635,733.6986860062176,677.2033942977304,27.248648928946867,1.4113333333333336
57,P-n23-k8,554,543.311329490105,629.1452974074656,583.5526203499118,24.476720000412826,1.4416666666666667
58,P-n40-k5.vrp,458,496.58491797400546,600.825864919849,538.1685870075847,27.456958385731962,1.3339999999999999
59,P-n45-k5,510,558.210038626035,711.3627644845812,622.019823307902,34.376679773089315,1.372
60,P-n50-k10,696,755.0631170660466,940.6504001393301,835.6806204315702,39.86524870012157,1.8589999999999998
61, P-n50-k7,554,618.2331097722587,731.3493390027086,669.4866758403091,31.106308161014617,1.5546666666666666
62,P-n50-k8,649,691.0869730696107,832.280865284363,737.0512579077729,35.24694441782872,1.7093333333333331
63,P-n51-k10,745,824.3958640485346,993.7902851701048,890.9503553801514,40.957830173333775,1.8823333333333332
64,P-n55-k10,669,766.8716341420004,909.6687075023202,831.3260234833746,39.833404499092495,1.8219999999999998
65,P-n55-k15,856,1038.3510540599996,1196.5526728335615,1096.814540343444,34.47416960643572,2.4556666666666667
66,P-n55-k7,524,640.3467855957523,785.4665674195805,681.8195304549117,35.26708829817303,1.6116666666666666
67,P-n55-k8,576,640.477788022928,835.6308905082666,713.2806208200449,43.36234527179126,1.5996666666666666
68,P-n60-k10,706,861.4222032252617,1035.2509689971125,913.6490629200478,44.634514100171046,1.9296666666666664
69,P-n60-k15,905,1090.772396976461,1212.559841154803,1140.690378409657,31.406310876119345,2.425
70,P-n65-k10,792,919.9165703645516,1056.475951248899,986.0119513450912,36.67479414878201,1.9416666666666664
71,P-n70-k10,834,967.8924107070881,1144.963284347283,1027.5061068355656,42.767092238366374,2.0183333333333335
72,P-n76-k4,589,795.7871535634015,1104.408075881391,937.6789322870242,70.94094800194667,1.5860000000000005
73,P-n76-k5,631,829.8321235418396,1126.1334305446128,948.5125470596171,63.87977681961247,1.6593333333333333
