,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,857.3410636027405,1078.4245564058824,933.6860989092004,46.824753657253325,1.3356666666666668
1,A-n33-k5,661,718.5189810974252,859.0680931022398,768.8340078307152,35.22871510074662,1.274666666666667
2,A-n33-k6,742,765.1119574696272,960.0473653258558,838.4734793421007,46.66621330364433,1.3336666666666666
3,A-n34-k5,778,816.2146161978244,1033.6340346047389,907.9594088643794,50.06680222867963,1.2560000000000002
4,A-n36-k5,799,888.0190815877604,1063.323746455325,945.8953777956442,38.73122193840942,1.3053333333333335
5,A-n37-k5,669,743.1102866813355,897.558808873544,826.9397120000391,33.47412206236379,1.3519999999999999
6,A-n37-k6,949,1038.1096202531721,1466.3864163503329,1157.5027606998333,78.43574447972638,1.358
7,A-n38-k5,730,847.011316446286,1244.920597202822,973.3046129314642,118.4095021676339,1.3583333333333332
8,A-n39-k5,822,951.8278334059188,1237.0775661302087,1056.082718182427,62.025822115095835,1.2986666666666666
9,A-n39-k6,831,887.8536414885165,1101.260883149014,1001.169523441539,44.24253239046919,1.391333333333333
10,A-n44-k6,937,1089.8713685879843,1421.9062761073194,1218.4394844033009,65.82696147443323,1.4209999999999998
11,A-n45-k6,944,1059.6335297483602,1230.8747258731787,1161.6465560413824,48.98851432768851,1.5523333333333333
12,A-n45-k7,1146,1282.1388769176488,1531.1564626547242,1349.5249862020817,44.19784490783746,1.5093333333333334
13,A-n46-k7,914,1056.6065488149427,1276.447225015566,1122.3077158782914,53.867128646048194,1.5489999999999997
14,A-n48-k7,1073,1214.6016236838248,1368.751814564819,1290.0144328849128,43.69016975180155,1.5479999999999996
15,A-n53-k7,1010,1215.7559934579635,1541.5111677568686,1336.2340696093065,88.63054200564233,1.6186666666666667
16,A-n54-k7,1167,1350.8810257259565,1733.3390784616936,1479.9193165384065,85.35877595683121,1.63
17,A-n55-k9,1073,1213.2158117304336,1456.0244584320467,1336.7799086540385,54.34369764499917,1.7660000000000002
18,A-n60-k9,1408,1525.0392592233654,1887.8347424052417,1648.7639748043266,64.22857142634685,1.8023333333333333
