,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,842.8062880749102,1098.0145873388835,912.6684688311028,53.39998391776805,1.2133333333333334
1,A-n33-k5,661,702.0834117553311,818.8700550624242,758.7526236589208,35.55026604496511,1.213666666666667
2,A-n33-k6,742,786.6561286420657,929.9037807043985,841.4053302966321,35.40444454689215,1.2416666666666665
3,A-n34-k5,778,830.9172074585583,1039.5975425776794,898.305783009688,40.1415281891934,1.1273333333333335
4,A-n36-k5,799,887.6419755472923,1022.695283182131,951.4608359248124,38.944109062271274,1.151333333333333
5,A-n37-k5,669,775.8691089731473,879.8478178157575,831.3967593833181,27.12063070853297,1.1786666666666668
6,A-n37-k6,949,1014.666607614853,1255.221582631073,1114.6590225730215,56.76620510633473,1.224333333333333
7,A-n38-k5,730,814.8355030010175,1154.8905911465185,917.7877335267146,71.07859144022986,1.1966666666666665
8,A-n39-k5,822,930.2796002016696,1136.3023402369724,1028.6913444702802,55.68402841442081,1.159
9,A-n39-k6,831,898.406658541584,1093.7682083393483,992.3899643047055,41.02081671974296,1.2476666666666665
10,A-n44-k6,937,1079.587983434793,1293.737137001045,1179.787466253391,58.63789078302576,1.4243333333333335
11,A-n45-k6,944,1058.5860677823625,1234.286041863064,1158.5636263090078,45.78975551942824,1.5336666666666665
12,A-n45-k7,1146,1248.7726392366603,1428.2174888960596,1321.4820602371963,39.41307173369358,1.5113333333333334
13,A-n46-k7,914,1006.1150269154747,1165.1124777783843,1097.2022920649629,45.06170899654343,1.5846666666666667
14,A-n48-k7,1073,1189.9132497415294,1385.2893260299347,1294.6599747072728,39.90405518661269,1.5119999999999998
15,A-n53-k7,1010,1184.21690344075,1535.719827705028,1310.5091598286992,75.63772390922514,1.5650000000000002
16,A-n54-k7,1167,1345.8482567922435,1584.2288976162572,1454.7453368302765,56.628642854546904,1.5863333333333334
17,A-n55-k9,1073,1196.5261356877625,1465.1277861605852,1329.4474145259774,66.73644985527105,1.6803333333333337
18,A-n60-k9,1408,1490.2126153360991,1726.9875238280915,1628.6865282231709,55.18747726821248,1.7280000000000002
19,A-n61-k9,1035,1230.4064651126107,1453.139782677816,1327.5026044622127,51.07396321299092,1.8960000000000001
20,A-n62-k8,1290,1538.42708198498,1788.682759127198,1631.1744795213424,53.19461707069873,1.6733333333333333
21,A-n63-k10,1315,1543.5078154385478,1736.6624249284032,1632.596588046232,46.217367695676614,1.7196666666666665
22,A-n63-k9,1634,1908.4514505442564,2148.6663760289844,2010.8525919251224,57.39450641543569,1.7183333333333335
23,A-n64-k9,1402,1673.5812220039254,1875.5895293547965,1751.9325025175017,53.67306917819397,1.7640000000000002
24,A-n65-k9,1177,1448.54576312478,1673.7958352501764,1519.358053384011,48.66612825153746,1.8243333333333331
25,A-n69-k9,1168,1400.28189703015,1639.8775182359666,1525.9333110309656,53.37921210490401,1.611333333333333
26,A-n80-k10,1764,2158.5841340718844,2480.7248014506645,2291.4196898872274,74.35854495425077,1.988
27,B-n31-k5,672,691.3391377368343,797.7457660692945,715.9052149184862,25.343252223200007,1.3406666666666667
28,B-n34-k5,788,816.0798485577276,950.6761239285305,866.5713993575025,30.562265769880355,1.3406666666666667
29,B-n35-k5,955,1005.4812119032247,1107.4638717813314,1041.3240799829903,24.3722879568192,1.2263333333333333
30,B-n38-k6,805,840.4230673353445,974.4616770707635,879.2359819189148,28.55839675436182,1.257
31,B-n39-k5,549,592.4030212034934,736.0753670546445,648.2823588344191,39.440422446476404,1.1740000000000002
32,B-n41-k6,829,907.1630805259261,1108.2480761565291,971.2992996621207,49.17994031026379,1.4166666666666665
33,B-n43-k6,742,795.0288759808018,906.6827604551702,842.710859338886,28.194538723986906,1.382
34,B-n44-k7,909,1003.8701081637952,1160.5181744569495,1050.169564248283,30.1540201455946,1.3423333333333336
35,B-n45-k5,751,812.4177171551389,1202.9601040188768,895.796121861526,79.30892193589487,1.3476666666666666
36,B-n45-k6,678,762.8087267932754,1088.2817719626719,818.8317872467645,62.168439312972026,1.520333333333333
37,B-n50-k7,741,820.0477828208273,1026.6632397995563,900.9329214872037,50.475739867328194,1.5913333333333335
38,B-n50-k8,1313,1379.0934792,1543.1784768489765,1442.0508374702893,47.07025530985001,1.5513333333333332
39,B-n51-k7,1032,1075.4709459207943,1415.6998825150595,1194.170558419625,78.67368670373592,1.6823333333333332
40,B-n52-k7,747,819.7474773225899,1080.0977951533346,905.3556826586771,52.64355467143499,1.4823333333333335
41,B-n56-k7,707,804.303508182063,960.029213922458,859.620059218957,40.903278736674196,1.7533333333333336
42,B-n57-k7,1153,1271.031030657955,1528.9588322233567,1375.985954540706,71.347238361106,1.6373333333333333
43,B-n57-k9,1598,1692.3046197358426,2000.9703636279055,1813.9877066471058,65.21400347025909,1.9103333333333332
44,B-n63-k10,1537,1706.6378560943256,1951.0239343342118,1775.875654639037,49.43130035630496,2.0533333333333332
45,B-n64-k9,861,985.2402400690664,1230.6135686311463,1098.6442456229674,65.0235851000165,1.8319999999999999
46,B-n66-k9,1374,1499.429199020792,1744.4946511899097,1618.7993663961038,59.343234062280345,1.8313333333333333
47,B-n67-k10,1033,1182.4805417617388,1371.5432621007285,1270.978309477089,51.56799748794932,1.8073333333333332
48,B-n68-k9,1304,1445.7997136764725,1778.8633049729506,1551.693308612725,79.24070942411177,1.7346666666666668
49,B-n78-k10,1266,1524.6420823155518,1700.6228462079782,1593.851456631446,46.572909394032614,1.9496666666666667
50,P-n101-k4,681,1113.8486466963043,1291.9362066073427,1205.1975936585175,40.24904634864885,1.7476666666666667
51,P-n16-k8,435,451.335080208618,478.97319649209805,460.79216231792805,6.8614649213036145,1.2453333333333334
52,P-n19-k2,212,274.4001950936441,350.8556199671551,311.34536217784074,20.922177086561057,0.7856666666666666
53, P-n20-k2,220,244.5542523340656,359.1994213779143,316.8586868344149,25.981961232056424,0.8476666666666668
54,P-n21-k2,211,234.54392247991393,306.2382130560827,272.7380707136724,18.20060304796296,0.8226666666666668
55,P-n22-k2,216,247.0151336313968,362.80086555184505,305.2808437622407,28.997514113599404,0.8036666666666668
56,P-n22-k8,603,588.7935242586069,663.5606947434649,625.0456680812446,21.892542825362362,1.22
57,P-n23-k8,554,539.7336883330048,605.4047229192322,570.4579737601069,17.392921791446046,1.224
58,P-n40-k5.vrp,458,507.3802122608181,621.8947324880572,550.5590202063805,26.668627629172274,1.1836666666666669
59,P-n45-k5,510,574.8923436503048,723.6709471243282,631.5956795406975,31.434580172363766,1.2939999999999998
60,P-n50-k10,696,764.7503847031813,916.8406002523583,823.0282984728095,36.26786496882365,1.710666666666667
61, P-n50-k7,554,618.1201808777341,745.7910777594848,670.5982631167535,29.33508273684191,1.5783333333333334
62,P-n50-k8,649,687.4724633629893,812.390243109873,741.8666003082836,26.296930491568236,1.646666666666667
63,P-n51-k10,745,818.1617274947544,914.6493759076598,861.8353660226159,24.408699243480953,1.772
64,P-n55-k10,669,759.9019117163981,889.5001075453448,803.4065204674656,28.94483164132489,1.6536666666666666
65,P-n55-k15,856,1019.3671933212638,1139.8540282808685,1062.6120580991385,30.17810334479777,2.1779999999999995
66,P-n55-k7,524,649.2941268954555,746.9325466697244,691.2448871903266,21.965793191942186,1.5139999999999998
67,P-n55-k8,576,660.7672836781585,777.0256187995049,718.3189308493722,25.975983774619657,1.3936666666666666
68,P-n60-k10,706,837.4290432215558,977.9429570294323,914.9086188000905,30.738760371279408,1.9140000000000004
69,P-n60-k15,905,1055.1139324307637,1176.1803034807745,1114.5817934832778,29.10593601471118,2.1703333333333332
70,P-n65-k10,792,915.4251479065454,1039.4418270419137,982.2256028760845,33.43003066759015,1.7733333333333339
71,P-n70-k10,834,973.0814985704584,1163.1656023122187,1047.1036966743488,44.78358203846045,1.9383333333333335
72,P-n76-k4,589,872.6812382659324,1124.3360795184285,1006.0877300955536,65.9376722099317,1.4473333333333334
73,P-n76-k5,631,819.42537989095,1199.3420151067276,997.3562422510685,100.00464397530521,1.5566666666666669
