,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,875.2217199054103,1071.0869860178677,975.0331478992215,49.906343946365425,1.5710000000000002
1,A-n33-k5,661,754.7722626420518,856.6918838768362,804.2897249977239,28.022931306007532,1.3923333333333336
2,A-n33-k6,742,819.6077902220641,980.4488957338014,884.5142607864435,41.12272576853563,1.436
3,A-n34-k5,778,867.4834604983802,1065.3358589381646,951.8044182221862,53.46544280109576,1.3773333333333335
4,A-n36-k5,799,910.8692557807908,1140.578229307309,981.8239016516094,42.0820238193086,1.3990000000000002
5,A-n37-k5,669,793.6399398977355,994.0383270078407,866.8152168941065,43.369390219900126,1.433
6,A-n37-k6,949,1054.2592593697455,1242.639852602931,1139.930775625762,47.10029665580191,1.517
7,A-n38-k5,730,821.8106696704696,1050.533908516725,934.8121716666077,49.38409254193862,1.4700000000000002
8,A-n39-k5,822,970.8197115563539,1155.993693925942,1048.4722066471072,47.17668860515613,1.4360000000000002
9,A-n39-k6,831,971.8075556953781,1160.0635876970528,1059.798811474504,45.65236237698734,1.6179999999999997
10,A-n44-k6,937,1114.4501303842003,1296.5605062819516,1187.0792550404958,42.987897420761925,1.8023333333333338
11,A-n45-k6,944,1121.0805527955715,1287.370357767539,1199.8740512209056,46.987585789578475,1.6340000000000003
12,A-n45-k7,1146,1299.0934521971528,1428.4275130261535,1357.6562305895436,34.84398050261432,1.5916666666666666
13,A-n46-k7,914,1098.4572936807872,1236.094758051766,1159.8831474004683,35.62829834972678,1.6613333333333338
14,A-n48-k7,1073,1261.5273914818908,1418.7127312118444,1334.3114693186637,43.53515411954593,1.614666666666667
15,A-n53-k7,1010,1206.060906273019,1445.5605571343674,1326.4196148577096,53.206365131658806,1.755
16,A-n54-k7,1167,1356.3875662556306,1595.2822915719594,1482.5311463017565,48.62275476530386,1.7539999999999998
17,A-n55-k9,1073,1272.5736709343626,1514.0956197776197,1403.604836971076,64.77304141702325,1.8889999999999998
18,A-n60-k9,1408,1596.7882656407896,1801.592398888118,1693.4398624088403,52.27395477998288,1.9046666666666663
19,A-n61-k9,1035,1260.494987141449,1444.3045782444683,1370.2084049287664,38.592305437755954,1.9743333333333328
20,A-n62-k8,1290,1589.5603290162703,1842.1092709073039,1685.1188235764537,64.95462039572739,1.8439999999999999
21,A-n63-k10,1315,1585.1585785168866,1830.9337323200775,1689.7981736825545,54.79733582951803,2.047
22,A-n63-k9,1634,1940.2067710672013,2124.3554839376584,2025.8119668296015,42.07217637785487,2.011
23,A-n64-k9,1402,1709.8682966175206,1960.1161340121905,1808.5669929070639,51.79514237865986,1.984333333333333
