,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,947.5000497753801,1152.3334534747805,1040.9059989739117,49.4432247812442,1.3746666666666667
1,A-n33-k5,661,759.7511229679792,979.5230346004873,877.2884743354599,44.89527638428723,1.3290000000000004
2,A-n33-k6,742,823.3493508334191,1073.7004293158889,950.6149055320859,61.58667457275182,1.4053333333333333
3,A-n34-k5,778,915.6547824307419,1239.6052712787246,1039.9069051292456,81.95110438694526,1.3133333333333335
4,A-n36-k5,799,940.1162721961003,1202.4462351534448,1052.4803090041537,54.55246590863713,1.3569999999999998
5,A-n37-k5,669,820.1692478706257,1264.4257407469447,935.8950220688522,109.38441494238144,1.390333333333333
6,A-n37-k6,949,1119.0790931441957,1377.7289424648525,1213.9566014630645,56.3554579867233,1.4863333333333333
7,A-n38-k5,730,898.1229645602002,1221.3292018213635,1000.7062993068448,78.99617875610829,1.4456666666666667
8,A-n39-k5,822,1049.739491963104,1336.9915048404919,1144.0002713472286,72.43618062391428,1.395
9,A-n39-k6,831,1018.4086497861634,1381.6480692509645,1138.0384391559264,75.94238189443477,1.4626666666666668
10,A-n44-k6,937,1180.7611574707842,1363.6479753309702,1272.4348158486832,58.62749034616027,1.5216666666666667
11,A-n45-k6,944,1089.7650498199157,1524.7429388664434,1282.2819959010876,104.0009271211571,1.5770000000000004
12,A-n45-k7,1146,1330.882916759941,1532.0274120736617,1425.4207483577607,50.70069625330051,1.5513333333333337
13,A-n46-k7,914,1122.2626750899676,1337.54893266193,1226.3661659785807,47.89838680001586,1.5823333333333338
14,A-n48-k7,1073,1287.2843879803022,1515.1625825935257,1386.3781203603312,44.85982813055354,1.5846666666666667
15,A-n53-k7,1010,1310.3807894898207,1738.8892444097028,1463.4561426910975,109.13976101066584,1.6683333333333337
16,A-n54-k7,1167,1398.8929349768944,1851.0520473809154,1572.4246964133415,105.27803570715578,1.6916666666666664
17,A-n55-k9,1073,1366.9505771506658,1734.9177051272466,1479.0964601038183,83.47652568684495,1.848333333333333
18,A-n60-k9,1408,1623.9532740762015,2092.3824467978893,1797.7260028582343,82.14040166491787,1.8733333333333335
19,A-n61-k9,1035,1347.2728298815093,1610.062243214171,1450.192316810954,63.63199048449375,1.963666666666667
20,A-n62-k8,1290,1643.4616531191302,2081.5064487539175,1798.3974405261338,97.61833270898438,1.7963333333333331
21,A-n63-k10,1315,1576.4645528075678,2020.5766172304736,1770.2020819919014,94.10170997636111,2.029333333333333
22,A-n63-k9,1634,1937.3829823458918,2304.8006961521796,2082.203054922541,76.97564528527596,1.99
23,A-n64-k9,1402,1773.7374945112756,2047.1982173128451,1904.0227838584349,70.93781319408025,1.9350000000000003
24,A-n65-k9,1177,1517.0529665006627,1978.9383948115944,1671.6446518962573,100.58042962510761,1.982
25,A-n69-k9,1168,1559.222405690572,1973.0274396231046,1734.3031687889263,119.17137648922998,1.9636666666666664
26,A-n80-k10,1764,2355.653863006546,2648.6934116249913,2491.764582983579,75.75239018593618,2.137666666666666
27,B-n31-k5,672,704.8652370154414,837.2616937071624,746.166859503599,31.463284340171096,1.3619999999999999
28,B-n34-k5,788,847.7412233055462,1090.7162351496952,955.0049375301197,58.23240902437838,1.3363333333333334
29,B-n35-k5,955,1043.6423154917356,1292.8457002754362,1145.8380751812272,66.08279797248132,1.3666666666666667
30,B-n38-k6,805,866.9862153745964,1004.1218269677871,934.8891496363425,30.463510173020207,1.4743333333333335
31,B-n39-k5,549,651.6245684740707,901.8011648126,754.3488867088274,59.580026960897555,1.4229999999999998
32,B-n41-k6,829,963.802512362005,1286.8083676756432,1104.5538989847587,66.81250107867743,1.4926666666666668
33,B-n43-k6,742,847.4854932106199,992.815519780152,919.1122924816875,37.857089845710114,1.5130000000000006
34,B-n44-k7,909,997.2976073811127,1238.6642445670568,1137.1244567261178,56.926825221218984,1.597
35,B-n45-k5,751,873.4168678313652,1327.4884361866366,1041.2135660650288,134.2105572720052,1.4906666666666668
36,B-n45-k6,678,792.4144906307938,1033.8967128024337,858.7107244699034,45.63050775509219,1.613333333333333
37,B-n50-k7,741,919.6345747918176,1131.9605181430138,1013.0818898322881,59.73682008402522,1.6396666666666664
38,B-n50-k8,1313,1423.2556371964909,1661.7638313453501,1552.553458198537,62.02295444423424,1.6863333333333335
39,B-n51-k7,1032,1236.2747721260118,1659.7941200673486,1345.1951717517145,86.10022898433847,1.7263333333333335
40,B-n52-k7,747,889.9406565715187,1144.8437691793313,994.8157612171489,59.327182292570406,1.6843333333333335
41,B-n56-k7,707,846.4607124652111,1126.1334716814235,950.9631383172352,70.47938044623953,1.7073333333333336
42,B-n57-k7,1153,1345.4741216118368,1693.2139707518552,1498.3118763474256,76.93982189635261,1.7910000000000004
43,B-n57-k9,1598,1763.9298018053014,2041.9741816382252,1887.6656374891777,81.34800415778338,1.8506666666666667
44,B-n63-k10,1537,1790.3612630817152,2158.4486825627946,1953.024586050481,85.98861099207616,1.9923333333333333
45,B-n64-k9,861,1043.6700754928925,1445.8940965227873,1196.906070710616,90.45513935542746,1.9653333333333332
46,B-n66-k9,1374,1601.7019445804835,1930.0489984298865,1721.2892575248086,90.1125448748465,2.0003333333333333
47,B-n67-k10,1033,1273.9495993963067,1628.7527513007408,1416.5119827911287,74.2746143317391,2.0103333333333335
48,B-n68-k9,1304,1533.2773349669885,1855.2743410064465,1682.2668025076587,81.14405014639276,1.9509999999999998
49,B-n78-k10,1266,1569.993882179701,2002.875706197954,1778.9565227822995,113.60461520163989,2.102
50,P-n101-k4,681,1248.0268842430428,1428.4886137943895,1343.8857163079815,50.413563144603806,2.0166666666666666
51,P-n16-k8,435,451.9470921298185,493.12421206129704,472.36217767652755,11.655867106416284,1.2453333333333332
52,P-n19-k2,212,273.6933233838573,351.11152672446576,312.31943664910307,22.837387330457368,0.9996666666666666
53, P-n20-k2,220,266.3085720116526,362.6016144214593,322.58131589756914,23.129110164855646,1.012666666666667
54,P-n21-k2,211,279.7230627903184,350.62310308659085,313.12079651760115,17.634436236107767,1.049
55,P-n22-k2,216,261.29277220667194,362.4944162358965,325.47208167475645,26.244963628567877,1.0593333333333332
56,P-n22-k8,603,635.0434311595087,753.0860387556046,688.4470218714149,29.12557004020753,1.4313333333333333
57,P-n23-k8,554,557.2894006794068,638.5611104244323,603.0736435894137,20.776316519989575,1.5010000000000001
58,P-n40-k5.vrp,458,590.0212404065064,739.0772782086842,666.3262560158815,33.03397468823116,1.4040000000000001
59,P-n45-k5,510,664.4946346683028,807.1715132258244,742.106854723028,36.19589597838469,1.4466666666666665
60,P-n50-k10,696,828.7476561503395,954.0144134360468,877.1506957269734,35.57965497070307,1.9086666666666663
61, P-n50-k7,554,682.4912792067792,830.3082632754883,766.9956091194829,33.3257036495741,1.614666666666667
62,P-n50-k8,649,757.088657101091,893.7355336216096,813.4815777572709,31.249106662844216,1.7713333333333336
63,P-n51-k10,745,903.2565334722257,1034.0529104418504,958.0224036267005,33.72671599983678,1.916
64,P-n55-k10,669,831.5895234157226,1024.45577221307,894.2813597642095,43.194855097795525,1.8656666666666666
65,P-n55-k15,856,1062.4392547690125,1171.808332217629,1117.4693147760113,30.94970887606227,2.5040000000000004
66,P-n55-k7,524,687.1003225049351,847.453476313417,780.488108021974,32.11526485320868,1.6809999999999996
67,P-n55-k8,576,764.1191200304171,982.0718494918731,827.0319728838143,47.92936379764669,1.6246666666666665
68,P-n60-k10,706,912.8708237991046,1090.7017567783878,1006.5675096188578,48.54315826231187,1.9556666666666667
69,P-n60-k15,905,1109.20395486503,1249.6019193110576,1176.1414426230635,37.791308770790025,2.433666666666667
70,P-n65-k10,792,1016.1816822812613,1199.648113251637,1090.535571261854,42.905744399545185,1.983333333333333
71,P-n70-k10,834,1087.6134108611873,1309.749323040986,1146.6795408789078,50.96761600125096,2.0829999999999997
72,P-n76-k4,589,888.600728830786,1298.5616861739181,1139.3519992049573,114.05099407885805,1.6996666666666667
73,P-n76-k5,631,883.1908506720583,1310.652223935976,1121.654885975974,136.3661854595184,1.76
