,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,1464.4328744206969,1605.6352796858505,1535.0340770532737,70.60120263257681,0.04
1,A-n33-k5,661,1335.961745285682,1339.891455788937,1337.9266005373095,1.9648552516275686,0.04
2,A-n33-k6,742,1208.77278513025,1374.52581239256,1291.6492987614051,82.87651363115504,0.04
3,A-n34-k5,778,1521.1339187900564,1557.5168051116702,1539.3253619508632,18.191443160806898,0.04
4,A-n36-k5,799,1521.4245715171119,1673.0221233996856,1597.2233474583986,75.79877594128686,0.04
5,A-n37-k5,669,1310.9199926066592,1375.5647944202797,1343.2423935134693,32.32240090681023,0.04
6,A-n37-k6,949,1531.253692081795,1635.4966582052648,1583.3751751435298,52.12148306173492,0.045
7,A-n38-k5,730,1510.6904331734995,1660.2023969954569,1585.4464150844783,74.75598191097868,0.04
8,A-n39-k5,822,1661.5775624655612,1715.6291154135124,1688.6033389395368,27.02577647397561,0.05
9,A-n39-k6,831,1665.859005406301,1702.9897837691638,1684.4243945877324,18.56538918143133,0.05
10,A-n44-k6,937,1856.4930723871855,2136.3683597547592,1996.4307160709723,139.93764368378686,0.045
11,A-n45-k6,944,2049.117910323119,2138.0050732608283,2093.561491791974,44.443581468854745,0.05
12,A-n45-k7,1146,1911.607373226739,2115.4964152697708,2013.551894248255,101.94452102151592,0.05
13,A-n46-k7,914,1894.3585465091282,2119.2816048299806,2006.8200756695544,112.46152916042615,0.05
14,A-n48-k7,1073,2094.5200208488113,2352.7157604668846,2223.617890657848,129.09786980903664,0.05
15,A-n53-k7,1010,2230.1604835404546,2468.546080180421,2349.353281860438,119.19279831998324,0.05
16,A-n54-k7,1167,2670.88196428942,2680.1622396048047,2675.5221019471123,4.640137657692321,0.055
17,A-n55-k9,1073,2406.370356508189,2504.3908470750052,2455.380601791597,49.01024528340804,0.06
18,A-n60-k9,1408,3076.7208838295487,3195.4975976984424,3136.1092407639953,59.38835693444685,0.06
19,A-n61-k9,1035,2317.430511391686,2490.3350828817756,2403.882797136731,86.45228574504472,0.06
20,A-n62-k8,1290,3085.1611575475913,3191.7530178414954,3138.4570876945436,53.29593014695206,0.055
21,A-n63-k10,1315,2968.4469792834007,2973.8625181261764,2971.1547487047883,2.707769421387866,0.06
22,A-n63-k9,1634,3436.347571295793,3467.4539029384687,3451.900737117131,15.55316582133787,0.06
23,A-n64-k9,1402,2939.549396617895,3089.721383159266,3014.635389888581,75.08599327068555,0.065
24,A-n65-k9,1177,3164.7899827917886,3222.6457882062045,3193.7178854989966,28.927902707207977,0.06
25,A-n69-k9,1168,3249.6558278055527,3308.63923753749,3279.1475326715213,29.491704865968586,0.06
26,A-n80-k10,1764,4155.2677808160315,4171.184660209918,4163.226220512975,7.95843969694306,0.065
27,B-n31-k5,672,893.276942077608,945.9968006102356,919.6368713439218,26.35992926631377,0.04
28,B-n34-k5,788,1253.454194307938,1292.886821500428,1273.170507904183,19.71631359624496,0.04
29,B-n35-k5,955,1745.4158519253444,1895.6435748866525,1820.5297134059983,75.11386148065401,0.045
30,B-n38-k6,805,1470.8034012928108,1484.6841281504271,1477.7437647216188,6.940363428808155,0.04
31,B-n39-k5,549,1444.2470388194479,1445.8484184909717,1445.0477286552098,0.8006898357618866,0.045
32,B-n41-k6,829,1774.9089282766574,1779.1928798210777,1777.0509040488676,2.1419757722101167,0.045
33,B-n43-k6,742,1420.3616788080267,1497.9451034463134,1459.15339112717,38.79171231914336,0.05
34,B-n44-k7,909,1748.6810182989586,1964.6049224259934,1856.642970362476,107.9619520635174,0.05
35,B-n45-k5,751,1911.1146394471616,1963.1423575107221,1937.1284984789418,26.01385903178027,0.05
36,B-n45-k6,678,1270.699353476493,1384.1347749131007,1327.4170641947967,56.71771071830392,0.05
37,B-n50-k7,741,1972.2295069009842,1995.6119762356059,1983.920741568295,11.691234667310821,0.05
38,B-n50-k8,1313,2262.981097842333,2286.179101217035,2274.580099529684,11.59900168735112,0.05
39,B-n51-k7,1032,2390.4681239685774,2607.826169849765,2499.147146909171,108.67902294059377,0.055
40,B-n52-k7,747,2037.89245707173,2164.485366619856,2101.188911845793,63.29645477406302,0.05
41,B-n56-k7,707,2188.638782294451,2209.4927963791447,2199.065789336798,10.427007042346759,0.05
42,B-n57-k7,1153,2760.8083321856307,3003.169054621332,2881.988693403481,121.18036121785076,0.05
43,B-n57-k9,1598,2868.654548457708,2982.4626102510038,2925.558579354356,56.90403089664778,0.055
44,B-n63-k10,1537,3343.1499238286938,3542.800032720163,3442.9749782744284,99.82505444573462,0.06
45,B-n64-k9,861,2409.2539672732987,2554.603936602974,2481.9289519381364,72.67498466483767,0.06
46,B-n66-k9,1374,2815.389728981784,2942.14618869524,2878.767958838512,63.37822985672801,0.06
47,B-n67-k10,1033,2803.8685169031655,2831.40169348958,2817.635105196373,13.766588293207178,0.06
48,B-n68-k9,1304,3184.280542446552,3269.920340130461,3227.1004412885068,42.81989884195468,0.06
49,B-n78-k10,1266,3722.433584261781,3768.73087721785,3745.5822307398157,23.14864647803438,0.065
50,P-n101-k4,681,2900.2030477553412,2960.2861622705177,2930.2446050129292,30.041557257588238,0.065
51,P-n16-k8,435,488.3449518319117,503.75958020938145,496.0522660206466,7.70731418873487,0.035
52,P-n19-k2,212,324.9795837462854,383.16795563452456,354.073769690405,29.094185944119573,0.03
53, P-n20-k2,220,340.5615000895411,382.238768575103,361.40013433232207,20.838634242780955,0.03
54,P-n21-k2,211,358.2460909890112,379.04321620475105,368.6446535968811,10.398562607869934,0.03
