,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,883.8868693567935,1111.6877897365134,949.073196202649,54.275012033954596,2.5089999999999995
1,A-n33-k5,661,732.0501300012402,897.8213242069467,807.6983532352549,41.99170458411851,2.5076666666666663
2,A-n33-k6,742,799.2446784098565,988.0754338328691,880.0300053194388,48.80385641212333,2.658
3,A-n34-k5,778,849.1641432323337,1000.8877343165359,931.6794653328765,43.85818079233515,2.491333333333333
4,A-n36-k5,799,906.27350776892,1044.2049518935682,960.1214190731731,34.60754603887971,2.553
5,A-n37-k5,669,750.6434798329229,1113.9593463818264,820.9294966707436,65.3964800101025,2.611
6,A-n37-k6,949,1032.611377873399,1243.4247293175843,1132.3729694884346,56.64914435501634,2.756333333333333
7,A-n38-k5,730,819.8718519854073,1135.461168571823,960.6736377835563,77.38431431285073,2.6356666666666664
8,A-n39-k5,822,993.5895826413524,1175.2898624516447,1062.6620218721005,47.67726830150522,2.6189999999999998
9,A-n39-k6,831,937.9781546641233,1186.2966090425052,1035.3431069716391,57.557018909647844,2.7449999999999997
10,A-n44-k6,937,1109.382273512514,1421.911077656886,1218.0586676624584,61.35338169088548,2.855000000000001
11,A-n45-k6,944,1097.111204019095,1399.544375354807,1204.0439389883793,84.35406938633625,2.996
12,A-n45-k7,1146,1272.077927381823,1487.3342060711964,1364.9851706477016,48.4853375947904,2.943666666666666
13,A-n46-k7,914,1067.2746725620377,1270.6545617304025,1139.2181203199705,48.240135276193755,2.9766666666666666
14,A-n48-k7,1073,1194.8747471638858,1489.4100892976717,1301.1346113696595,67.49461566202079,3.0076666666666663
15,A-n53-k7,1010,1201.6541506933613,1576.399210641561,1312.1598018641612,81.78398795931551,3.140333333333333
16,A-n54-k7,1167,1359.4269248677979,1716.0234588479727,1486.3703071849498,89.04752644517755,3.158
17,A-n55-k9,1073,1253.7464234317786,1528.1816462915667,1372.7002181915484,59.233093515524295,3.528666666666666
18,A-n60-k9,1408,1551.81321442399,1813.7239163454592,1663.051697865757,61.10432863525236,3.5200000000000005
19,A-n61-k9,1035,1192.567546040521,1426.6619747445607,1318.3803876214943,46.69294417391694,3.658000000000001
20,A-n62-k8,1290,1532.9749110851512,1857.3127872254345,1638.9936401155787,71.77091433990809,3.3623333333333325
21,A-n63-k10,1315,1521.5005570623425,1819.4735382048234,1653.142530965842,70.33068680433684,3.7720000000000002
22,A-n63-k9,1634,1848.9362577207448,2220.5140032444233,1957.9243452004598,72.41798138534355,3.6910000000000003
23,A-n64-k9,1402,1639.5711376652043,1854.620169640142,1733.2571867810075,57.77133760459382,3.6326666666666667
24,A-n65-k9,1177,1408.706570968726,1656.556544598665,1502.0611671528382,60.89117648301584,3.737666666666667
25,A-n69-k9,1168,1413.2169494407322,1659.3638320120501,1525.4504488645734,54.470100743199495,3.653333333333333
26,A-n80-k10,1764,2096.7077052835416,2362.5776876571026,2246.585207147795,67.17342230591906,3.9793333333333343
27,B-n31-k5,672,696.1096932499471,822.9763415980586,740.6003731800623,42.09950585632343,2.5286666666666666
28,B-n34-k5,788,832.3905785810841,1036.0194817403901,926.1974356468646,53.555792666760034,2.525333333333334
29,B-n35-k5,955,1015.2634455546191,1229.7115187392824,1097.3355162442053,56.54837380861922,2.5326666666666666
30,B-n38-k6,805,827.4733765547156,1014.4144423954793,888.2197734000238,47.0007517772699,2.7606666666666664
31,B-n39-k5,549,589.4534211977752,810.3785469826842,672.5390032354074,56.47673836472362,2.6173333333333333
32,B-n41-k6,829,898.8243742648401,1106.6243738189846,1027.9661093054278,48.06119728140066,2.793
33,B-n43-k6,742,805.5452355297217,938.986889421522,880.8761055045013,36.908353212128034,2.823333333333333
34,B-n44-k7,909,1007.8510570690742,1210.7975601189648,1088.520653481926,42.825526759873725,2.957333333333333
