,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,886.5470084058109,1146.7732406399373,963.9978820930374,61.23858841766153,2.590333333333333
1,A-n33-k5,661,735.2055956767421,882.4292441899394,812.3955292976327,42.669677959063264,2.3283333333333336
2,A-n33-k6,742,795.6205953821371,1006.1017299472021,885.8800783002766,58.06152787967075,2.537666666666667
3,A-n34-k5,778,856.1137745866195,1040.917800439099,940.6805978613924,46.04901437756198,2.436666666666666
4,A-n36-k5,799,907.4544615147967,1098.036320417035,967.7586963237416,40.49179398334644,2.3670000000000004
5,A-n37-k5,669,738.9433720253246,994.2960985251459,830.279172251924,50.814862104656214,2.3506666666666667
6,A-n37-k6,949,1071.7733207275762,1241.0590552684134,1140.0436971723736,44.62365229546299,3.2316666666666665
7,A-n38-k5,730,845.1307233488545,1164.3493383586913,935.6531893077077,78.58222843056514,3.2529999999999997
8,A-n39-k5,822,925.1402330747976,1174.6192886583833,1046.985162698536,59.53016442786123,3.1559999999999997
9,A-n39-k6,831,910.2669199584228,1120.6455758655877,1030.0687530435844,52.687329008905294,3.228333333333333
10,A-n44-k6,937,1057.9773747625745,1370.1772960698825,1192.797535878416,70.56488397088644,3.233
11,A-n45-k6,944,1087.1164795517634,1499.5848700917952,1225.0493268685905,102.02219044318247,3.3406666666666665
12,A-n45-k7,1146,1282.425874327117,1484.168595224315,1366.2653806405121,46.14884224293848,3.2183333333333337
13,A-n46-k7,914,1030.2284473837433,1327.2979867601694,1145.9825776104126,59.678520562573105,3.263333333333333
14,A-n48-k7,1073,1253.4181091967346,1439.1754027555435,1319.8107665331431,51.34428222588748,3.377
15,A-n53-k7,1010,1178.5398377782396,1433.2506704299865,1319.936441120693,70.72883646034616,3.497666666666667
16,A-n54-k7,1167,1357.4071026835136,1594.2542327395938,1470.233325126911,53.2471547031603,3.454
17,A-n55-k9,1073,1232.2113910329772,1582.3400398111978,1366.0327428197681,75.97770210845164,3.7556666666666656
18,A-n60-k9,1408,1515.1247615550772,1869.6488132953305,1688.1532817698464,81.90944389803897,3.3489999999999998
19,A-n61-k9,1035,1202.2729751159297,1478.1135877702095,1337.4211047840065,70.37317890281093,3.324666666666667
20,A-n62-k8,1290,1504.3357783530416,1796.396247233998,1628.4084208352892,72.3059482383177,3.0443333333333342
21,A-n63-k10,1315,1545.440236070459,1806.24387132228,1671.5584574335073,70.71943753482331,3.459666666666666
22,A-n63-k9,1634,1883.7374550282925,2333.3384296326562,2003.0632667335508,100.92493439105439,3.3323333333333327
23,A-n64-k9,1402,1620.1669891717074,1861.9682115369806,1749.2843093320132,53.487897721244885,3.3586666666666662
24,A-n65-k9,1177,1455.6762569069806,1696.3391538449168,1540.8348194594996,59.23650724186386,3.3513333333333337
25,A-n69-k9,1168,1395.5827341219006,1762.1067512717655,1544.7820049192474,87.37411477395699,3.3416666666666663
26,A-n80-k10,1764,2168.311880644545,2522.689564114077,2305.4675958887296,87.78398964111143,3.596333333333333
27,B-n31-k5,672,692.9111455610256,850.5494012459326,748.8824879128534,45.4432274089824,2.2413333333333325
28,B-n34-k5,788,808.6100964564855,1062.2002046294995,917.6782249672659,60.894680459181636,2.259666666666667
29,B-n35-k5,955,1008.6266840606991,1262.0140857153342,1111.8807419780144,65.67974949953309,2.2916666666666665
30,B-n38-k6,805,841.6872198927415,1135.5072592059903,909.7437134731366,66.08930324056371,2.4660000000000006
31,B-n39-k5,549,576.2118055171377,719.9905381513184,649.2735533442977,41.15214276816079,2.3599999999999994
32,B-n41-k6,829,927.8058037032181,1157.1202500073196,1054.4086467129518,68.59863761986435,2.5239999999999996
33,B-n43-k6,742,802.5374890909109,958.0790662101189,869.9583789315889,42.60862498456223,2.5653333333333337
34,B-n44-k7,909,1016.2042823438378,1265.7626411717783,1109.774117820967,60.09831383001381,2.7180000000000004
35,B-n45-k5,751,796.9539587617295,1052.2746812953185,901.5178396348614,59.03667462324301,2.627666666666667
36,B-n45-k6,678,764.8621969511603,1035.013723880417,870.9777266223441,70.35877772431672,2.6686666666666663
37,B-n50-k7,741,780.7594719034776,1068.5138817366383,909.4558229732522,72.64153079657662,3.8296666666666668
38,B-n50-k8,1313,1405.650043505904,1633.9997295643002,1514.3314939859322,54.90783590538484,3.131
39,B-n51-k7,1032,1101.164155769638,1428.7416705061096,1262.9011629586537,81.13185206620102,3.619666666666667
40,B-n52-k7,747,847.2067968095907,1055.1070183818642,939.7098145888937,48.97542990224,3.330666666666666
41,B-n56-k7,707,783.4847923094379,986.6194495756857,873.5097690693431,52.62095520594362,2.947333333333333
42,B-n57-k7,1153,1233.0410004593052,1656.700724308433,1406.0992868086687,87.41576000670872,3.0356666666666667
43,B-n57-k9,1598,1737.530140962393,1984.6743499059976,1836.9696857874123,60.99532549763787,3.1093333333333333
44,B-n63-k10,1537,1708.0387970812135,2022.3044018740156,1859.9223479889906,69.97851231846501,3.379
45,B-n64-k9,861,1002.8263334630694,1336.6201498319165,1122.772839739729,89.83940993132465,3.385666666666667
46,B-n66-k9,1374,1487.5354478996421,1847.4565656600496,1644.048813521056,89.27954030434228,3.348333333333334
47,B-n67-k10,1033,1179.92796966477,1471.099968477159,1312.5511558342,71.19742680481397,3.7003333333333335
48,B-n68-k9,1304,1487.3626312005053,1848.4298987256961,1588.0312241682122,77.70860327997919,3.6210000000000004
49,B-n78-k10,1266,1538.5543529934425,1745.351630829684,1629.1081267977077,57.824563767215786,4.077333333333333
50,P-n101-k4,681,940.5142765499807,1147.1872616203261,1038.3935028695596,50.16879995241893,3.871
51,P-n16-k8,435,451.94709212981854,483.18893567107517,465.9675192291572,7.8790888188211845,2.376
52,P-n19-k2,212,225.04444066479402,304.1238450456096,262.3070619533977,18.708553299287043,1.4726666666666668
53, P-n20-k2,220,217.41558334616656,315.07127468157256,264.1648959835594,22.83899682416222,1.4803333333333337
54,P-n21-k2,211,234.6571911168422,298.3721835081134,257.99854580198524,13.87141961136685,1.603666666666667
55,P-n22-k2,216,233.1977457946914,325.81622135533297,267.82224927225667,17.653342915628535,1.5356666666666665
56,P-n22-k8,603,605.860564788901,733.4244259897717,681.6502638344007,33.37135879376904,2.697666666666667
57,P-n23-k8,554,568.5926102769006,643.400116685414,605.3665809986925,19.96290647979292,2.8490000000000006
58,P-n40-k5.vrp,458,510.99598175944095,607.2782787655916,570.9003359910678,22.748635985843993,2.6476666666666673
59,P-n45-k5,510,588.8274312257098,734.1066840913713,658.6337572931163,45.385714038957964,2.5909999999999997
60,P-n50-k10,696,759.692238785929,995.1141675033443,835.2490689622811,42.852503706198036,3.7436666666666674
61, P-n50-k7,554,648.2548618835741,778.6881732583528,700.1497864432735,33.027675491484246,2.9266666666666663
62,P-n50-k8,649,702.4472968204504,847.7902560483783,761.3973451366336,37.187427662825996,3.341333333333332
63,P-n51-k10,745,814.2857706867743,984.0320130371935,893.4074112825159,37.36406149058919,3.616333333333333
64,P-n55-k10,669,781.7498839005553,963.2848062251296,847.0930624369618,39.01741540931459,3.539333333333333
65,P-n55-k15,856,1040.0695453309293,1268.2716705970386,1148.6114233162787,46.73525017942868,4.744
66,P-n55-k7,524,639.5850168079882,776.6623167201155,709.5505749570456,29.309231104978696,3.126
67,P-n55-k8,576,698.5627024951323,853.2418682717457,746.8484154082131,36.217875377973925,2.9789999999999996
68,P-n60-k10,706,859.2345399606234,1095.228579324484,943.7907060757481,44.47755926172764,3.655333333333333
69,P-n60-k15,905,1090.25822496633,1272.9636792393085,1171.718096625399,47.16055643991324,4.326666666666667
70,P-n65-k10,792,945.5057194831785,1085.5960100566776,1003.7701103890998,36.69505558576469,3.448666666666667
71,P-n70-k10,834,974.6011769668418,1128.6490991661817,1046.199498521807,34.335110320275255,3.6293333333333337
72,P-n76-k4,589,751.4695493382478,1037.1472377928164,886.8388037261905,57.61314564477195,2.818333333333334
73,P-n76-k5,631,816.3101360368496,1046.9402673778063,902.9659610762907,56.9391642530962,2.901666666666666
